No., Glass No., Data Source, Year, Data Source Number, SiO2, Al2O3, MgO, CaO, Na2O, Density ( g/cm3 ), Density (Predictive Value), Density (Residual)
952, GB03-023968, Handbook of Glass Data, 1987, v. 00C  p. 0667, 50.0, , 36.5, 13.5, , 2821.0, , 
953, GB03-023969, Handbook of Glass Data, 1987, v. 00C  p. 0667, 50.0, , 45.6, 4.4, , 2780.0, , 
954, GB03-023970, Handbook of Glass Data, 1987, v. 00C  p. 0667, 50.0, , 47.8, 2.2, , 2777.0, , 
955, GB03-023971, Handbook of Glass Data, 1987, v. 00C  p. 0667, 50.0, , 50.0, , , 2758.0, , 
956, GB03-024059, Handbook of Glass Data, 1987, v. 00C  p. 0671, 50.0, , 12.5, 37.5, , 2874.0, , 
957, GB03-024060, Handbook of Glass Data, 1987, v. 00C  p. 0671, 50.0, , 25.0, 25.0, , 2847.0, , 
958, GB03-024128, Handbook of Glass Data, 1987, v. 00C  p. 0674, 51.7, , 16.04, 32.26, , 2854.0, , 
959, GB03-024129, Handbook of Glass Data, 1987, v. 00C  p. 0674, 52.94, , 23.53, 23.53, , 2821.0, , 
960, GB03-024130, Handbook of Glass Data, 1987, v. 00C  p. 0674, 54.32, , 30.58, 15.1, , 2772.0, , 
961, GJ02-026026, Glass Science and Technology, 1984, v. 057  p. 0097, 74.0, , , 10.0, 16.0, 2470.0, , 
962, GJ02-026116, Glass Science and Technology, 1986, v. 059  p. 0326, 80.0, , , , 20.0, 2400.0, , 
963, GJ02-031947, J. Chemical Soc. Japan, 1981, v. 000  p. 1577, 66.7, , , , 33.3, 2496.0, , 
964, GJ02-031954, J. Chemical Soc. Japan, 1981, v. 000  p. 1577, 50.0, , , , 50.0, 2560.0, , 
965, GJ02-032266, Glass Industry, 1984, v. 000  p. 0015, 71.74, , , 12.81, 15.45, 2532.0, , 
966, GJ02-032267, J. Australian Ceramic Soc., 1984, v. 020  p. 0053, 74.86, 0.92, , 10.38, 13.84, 2486.0, , 
967, GJ02-032268, J. Australian Ceramic Soc., 1984, v. 020  p. 0053, 73.59, 0.92, , 11.66, 13.83, 2499.0, , 
968, GJ02-032269, J. Australian Ceramic Soc., 1984, v. 020  p. 0053, 73.88, 0.8, , 10.91, 14.41, 2495.0, , 
969, GJ02-032270, J. Australian Ceramic Soc., 1984, v. 020  p. 0053, 73.96, 0.92, , 10.7, 14.42, 2493.0, , 
970, GJ02-032271, J. Australian Ceramic Soc., 1984, v. 020  p. 0053, 73.75, 0.92, , 10.6, 14.73, 2494.0, , 
971, GJ02-032272, J. Australian Ceramic Soc., 1984, v. 020  p. 0053, 73.68, 0.92, , 10.38, 15.02, 2495.0, , 
972, GJ03-032343, Glass Physics & Chemistry, 1980, v. 006  p. 0444, 76.67, 12.38, 10.96, , , 2410.0, , 
973, GJ03-032344, Glass Physics & Chemistry, 1980, v. 006  p. 0444, 67.78, 13.72, 18.5, , , 2497.0, , 
974, GJ03-032345, Glass Physics & Chemistry, 1980, v. 006  p. 0444, 68.69, 15.56, 15.75, , , 2500.0, , 
975, GJ03-032346, Glass Physics & Chemistry, 1980, v. 006  p. 0444, 71.57, 14.99, 13.43, , , 1000.0, , 
976, GJ03-032347, Glass Physics & Chemistry, 1980, v. 006  p. 0444, 73.04, 14.34, 12.62, , , 1000.0, , 
977, GJ03-032348, Glass Physics & Chemistry, 1980, v. 006  p. 0444, 69.39, 15.6, 15.0, , , 1000.0, , 
978, GJ03-032349, Glass Physics & Chemistry, 1980, v. 006  p. 0444, 71.27, 13.89, 14.84, , , 2469.0, , 
979, GJ03-032350, Glass Physics & Chemistry, 1980, v. 006  p. 0444, 69.4, 14.37, 16.23, , , 2487.0, , 
980, GJ03-032351, Glass Physics & Chemistry, 1980, v. 006  p. 0444, 65.89, 15.4, 18.7, , , 2519.0, , 
981, GJ03-032352, Glass Physics & Chemistry, 1980, v. 006  p. 0444, 69.62, 12.06, 18.31, , , 2481.0, , 
982, GJ03-032353, Glass Physics & Chemistry, 1980, v. 006  p. 0444, 72.99, 15.81, 11.2, , , 2519.0, , 
983, GJ03-032354, Glass Physics & Chemistry, 1980, v. 006  p. 0444, 62.92, 11.77, 25.31, , , 2558.0, , 
984, GJ03-032355, Glass Physics & Chemistry, 1980, v. 006  p. 0444, 69.15, 19.4, 11.45, , , 2498.0, , 
985, GJ02-032489, Glass Physics & Chemistry, 1986, v. 012  p. 0105, 50.0, 2.5, , , 47.5, 2570.0, , 
986, GJ02-032490, Glass Physics & Chemistry, 1986, v. 012  p. 0105, 50.0, 3.5, , , 46.5, 2572.0, , 
987, GJ02-032491, Glass Physics & Chemistry, 1986, v. 012  p. 0105, 50.0, 5.0, , , 45.0, 2570.0, , 
988, GJ02-032492, Glass Physics & Chemistry, 1986, v. 012  p. 0105, 50.0, 6.5, , , 43.5, 2558.0, , 
989, GJ02-032493, Glass Physics & Chemistry, 1986, v. 012  p. 0105, 50.0, 7.5, , , 42.5, 2562.0, , 
990, GJ02-032494, Glass Physics & Chemistry, 1986, v. 012  p. 0105, 50.0, 9.7, , , 40.3, 2548.0, , 
991, GJ02-032495, Glass Physics & Chemistry, 1986, v. 012  p. 0105, 50.0, 11.0, , , 39.0, 2548.0, , 
992, GJ02-032496, Glass Physics & Chemistry, 1986, v. 012  p. 0105, 50.0, 13.5, , , 36.5, 2545.0, , 
993, GJ02-032497, Glass Physics & Chemistry, 1986, v. 012  p. 0105, 50.0, 16.0, , , 34.0, 2530.0, , 
994, GJ02-032498, Glass Physics & Chemistry, 1986, v. 012  p. 0105, 50.0, 17.5, , , 32.5, 2534.0, , 
995, GJ02-032499, Glass Physics & Chemistry, 1986, v. 012  p. 0105, 50.0, 18.4, , , 31.6, 2526.0, , 
996, GJ02-032500, Glass Physics & Chemistry, 1986, v. 012  p. 0105, 50.0, 21.2, , , 28.8, 2515.0, , 
997, GJ02-032501, Glass Physics & Chemistry, 1986, v. 012  p. 0105, 50.0, 23.8, , , 26.2, 2510.0, , 
998, GJ02-032502, Glass Physics & Chemistry, 1986, v. 012  p. 0105, 55.0, 15.0, , , 30.0, 2500.0, , 
999, GJ02-032503, Glass Physics & Chemistry, 1986, v. 012  p. 0105, 45.0, 10.0, , , 45.0, 2592.0, , 
1000, GJ06-032504, Glass Physics & Chemistry, 1986, v. 012  p. 0105, 75.0, 12.5, , , 12.5, 2344.0, , 
1001, GJ06-032505, Glass Physics & Chemistry, 1986, v. 012  p. 0105, 66.6, 16.7, , , 16.7, 2431.0, , 
1002, GJ03-032507, Glass Physics & Chemistry, 1986, v. 012  p. 0105, 50.0, , 25.0, 25.0, , 2851.0, , 
1003, GJ02-032510, Glass Physics & Chemistry, 1986, v. 012  p. 0105, 50.0, 25.0, , , 25.0, 2510.0, , 
1004, GJ02-032721, J. American Ceramic Soc., 1969, v. 052  p. 0169, 75.0, , , , 25.0, 2434.0, , 
1005, GP01-034179, Japanese Patent, 1983, A194758, 100.0, 0.005894, , , , 2200.0, , 
1006, GJ02-036740, Physics and Chemistry of  Glasses, 1981, v. 022  p. 0006, 70.0, , , , 30.0, 2375.0, , 
1007, GJ06-036774, Physics and Chemistry of  Glasses, 1981, v. 022  p. 0138, 85.0, 15.0, , , , 2340.0, , 
1008, GJ06-036775, Physics and Chemistry of  Glasses, 1981, v. 022  p. 0138, 80.0, 20.0, , , , 2390.0, , 
1009, GJ06-036776, Physics and Chemistry of  Glasses, 1981, v. 022  p. 0138, 75.0, 25.0, , , , 2430.0, , 
1010, GJ06-036777, Physics and Chemistry of  Glasses, 1981, v. 022  p. 0138, 70.0, 30.0, , , , 2480.0, , 
1011, GJ06-036778, Physics and Chemistry of  Glasses, 1981, v. 022  p. 0138, 65.0, 35.0, , , , 2640.0, , 
1012, GJ02-036939, J. American Ceramic Soc., 1972, v. 055  p. 0186, 75.0, , , , 25.0, 2432.0, , 
1013, GJ02-037026, J. American Ceramic Soc., 1978, v. 061  p. 0027, 60.0, , , , 40.0, 2515.0, , 
1014, GJ02-037027, J. American Ceramic Soc., 1978, v. 061  p. 0027, 60.0, 8.0, , , 32.0, 2495.0, , 
1015, GJ02-037028, J. American Ceramic Soc., 1978, v. 061  p. 0027, 60.0, 16.0, , , 24.0, 2455.0, , 
1016, GJ06-037029, J. American Ceramic Soc., 1978, v. 061  p. 0027, 60.0, 20.0, , , 20.0, 2440.0, , 
1017, GJ06-037030, J. American Ceramic Soc., 1978, v. 061  p. 0027, 60.0, 22.5, , , 17.5, 2450.0, , 
1018, GJ02-037031, J. American Ceramic Soc., 1978, v. 061  p. 0027, 80.0, , , , 20.0, 2380.0, , 
1019, GJ02-037032, J. American Ceramic Soc., 1978, v. 061  p. 0027, 75.0, 5.0, , , 20.0, 2400.0, , 
1020, GJ02-037033, J. American Ceramic Soc., 1978, v. 061  p. 0027, 70.0, 10.0, , , 20.0, 2430.0, , 
1021, GJ06-037034, J. American Ceramic Soc., 1978, v. 061  p. 0027, 56.0, 24.0, , , 20.0, 2460.0, , 
1022, GJ03-037035, J. American Ceramic Soc., 1978, v. 061  p. 0027, 60.0, 8.0, , 32.0, , 2710.0, , 
1023, GJ03-037036, J. American Ceramic Soc., 1978, v. 061  p. 0027, 60.0, 13.33, , 26.67, , 2630.0, , 
1024, GJ03-037037, J. American Ceramic Soc., 1978, v. 061  p. 0027, 60.0, 20.0, , 20.0, , 2600.0, , 
1025, GJ06-037038, J. American Ceramic Soc., 1978, v. 061  p. 0027, 60.0, 17.5, , 22.5, , 2605.0, , 
1026, GJ06-037084, J. American Ceramic Soc., 1982, v. 065  p. 0078, 93.86, 6.14, , , , 2281.0, , 
1027, GJ06-037086, J. American Ceramic Soc., 1982, v. 065  p. 0078, 87.16, 12.84, , , , 2362.0, , 
1028, GJ06-037087, J. American Ceramic Soc., 1982, v. 065  p. 0078, 71.79, 28.21, , , , 2553.0, , 
1029, GJ06-037088, J. American Ceramic Soc., 1982, v. 065  p. 0078, 62.92, 37.08, , , , 2630.0, , 
1030, GJ06-037089, J. American Ceramic Soc., 1982, v. 065  p. 0078, 53.08, 46.92, , , , 2735.0, , 
1031, GJ06-037090, J. American Ceramic Soc., 1982, v. 065  p. 0078, 33.38, 66.62, , , , 2960.0, , 
1032, GJ02-037097, J. American Ceramic Soc., 1982, v. 065  p. 0111, 75.0, , , , 25.0, 2430.0, , 
1033, GJ02-037120, J. American Ceramic Soc., 1982, v. 065  p. 0231, 75.0, , , , 25.0, 2430.0, , 
1034, GJ02-037294, Glass Technology, 1975, v. 016  p. 0025, 67.8, , 16.1, , 16.1, 2474.0, , 
1035, GJ02-039055, J. Non-Crystalline Solids, 1982, v. 053  p. 0165, 58.29, , 2.4, , 39.31, 2230.0, , 
1036, GJ02-039056, J. Non-Crystalline Solids, 1982, v. 053  p. 0165, 55.81, , 4.84, , 39.35, 2519.0, , 
1037, GJ02-039057, J. Non-Crystalline Solids, 1982, v. 053  p. 0165, 53.34, , 7.26, , 39.4, 2491.0, , 
1038, GJ02-039058, J. Non-Crystalline Solids, 1982, v. 053  p. 0165, 50.86, , 9.7, , 39.44, 2486.0, , 
1039, GJ02-039059, J. Non-Crystalline Solids, 1982, v. 053  p. 0165, 58.23, , , 2.5, 39.27, 2580.0, , 
1040, GJ02-039060, J. Non-Crystalline Solids, 1982, v. 053  p. 0165, 55.97, , , 4.52, 39.51, 2671.0, , 
1041, GJ02-039061, J. Non-Crystalline Solids, 1982, v. 053  p. 0165, 53.17, , , 7.5, 39.34, 2682.0, , 
1042, GJ02-039062, J. Non-Crystalline Solids, 1982, v. 053  p. 0165, 50.69, , , 10.02, 39.29, 2720.0, , 
1043, GJ02-039359, J. Non-Crystalline Solids, 1987, v. 096  p. 0913, 77.55, , , , 22.45, 2470.0, , 
1044, GJ02-039360, J. Non-Crystalline Solids, 1987, v. 096  p. 0913, 77.64, , , , 22.35, 2470.0, , 
1045, GJ02-039518, Physics and Chemistry of  Glasses, 1983, v. 024  p. 0047, 62.4, 5.8, , , 31.8, 2502.0, , 
1046, GJ02-039568, Physics and Chemistry of  Glasses, 1983, v. 024  p. 0172, 70.0, , , , 30.0, 2470.0, , 
1047, GJ02-039579, Physics and Chemistry of  Glasses, 1983, v. 024  p. 0166, 61.8, , , , 38.2, 2510.0, , 
1048, GJ06-039580, Physics and Chemistry of  Glasses, 1983, v. 024  p. 0166, 62.0, 1.0, , , 37.0, 2506.0, , 
1049, GJ02-039581, Physics and Chemistry of  Glasses, 1983, v. 024  p. 0166, 62.1, 4.3, , , 33.6, 2499.0, , 
1050, GJ02-039582, Physics and Chemistry of  Glasses, 1983, v. 024  p. 0166, 61.6, 7.7, , , 30.7, 2490.0, , 
1051, GJ02-039583, Physics and Chemistry of  Glasses, 1983, v. 024  p. 0166, 62.1, 9.8, , , 28.1, 2487.0, , 
1052, GJ02-039584, Physics and Chemistry of  Glasses, 1983, v. 024  p. 0166, 62.2, 14.8, , , 23.0, 2477.0, , 
1053, GJ02-039585, Physics and Chemistry of  Glasses, 1983, v. 024  p. 0166, 63.9, 16.5, , , 19.6, 2470.0, , 
1054, GJ02-039586, Physics and Chemistry of  Glasses, 1983, v. 024  p. 0166, 63.3, 17.9, , , 18.8, 2469.0, , 
1055, GJ06-039587, Physics and Chemistry of  Glasses, 1983, v. 024  p. 0166, 63.8, 18.1, , , 18.1, 2465.0, , 
1056, GJ06-039588, Physics and Chemistry of  Glasses, 1983, v. 024  p. 0166, 61.6, 20.7, , , 17.7, 2463.0, , 
1057, GJ06-039589, Physics and Chemistry of  Glasses, 1983, v. 024  p. 0166, 61.2, 23.0, , , 15.8, 2460.0, , 
1058, GJ06-039590, Physics and Chemistry of  Glasses, 1983, v. 024  p. 0166, 61.0, 25.2, , , 13.8, 2455.0, , 
1059, GJ03-039619, Physics and Chemistry of  Glasses, 1984, v. 025  p. 0064, 64.99, , , 19.99, 15.02, 2624.0, , 
1060, GJ03-039683, Physics and Chemistry of  Glasses, 1987, v. 028  p. 0164, 65.0, , , 20.0, 15.0, 2560.0, , 
1061, GJ02-039819, J. Ceramic Soc. Japan, 1983, v. 091  p. 0116, 83.33, , , , 16.67, 2362.0, , 
1062, GJ02-039820, J. Ceramic Soc. Japan, 1983, v. 091  p. 0116, 82.0, , , , 18.0, 2365.0, , 
1063, GJ02-039821, J. Ceramic Soc. Japan, 1983, v. 091  p. 0116, 80.0, , , , 20.0, 2397.0, , 
1064, GJ02-039822, J. Ceramic Soc. Japan, 1983, v. 091  p. 0116, 77.5, , , , 22.5, 2405.0, , 
1065, GJ02-039823, J. Ceramic Soc. Japan, 1983, v. 091  p. 0116, 72.5, , , , 27.5, 2452.0, , 
1066, GJ02-039824, J. Ceramic Soc. Japan, 1983, v. 091  p. 0116, 70.0, , , , 30.0, 2465.0, , 
1067, GJ02-039825, J. Ceramic Soc. Japan, 1983, v. 091  p. 0116, 66.7, , , , 33.3, 2485.0, , 
1068, GJ02-040383, J. Non-Crystalline Solids, 1975, v. 017  p. 0061, 75.0, , , , 25.0, 2410.0, , 
1069, GJ06-040621, J. Non-Crystalline Solids, 1979, v. 030  p. 0285, 65.0, 10.0, , , 25.0, 2460.0, , 
1070, GJ03-041060, Glass Physics & Chemistry, 1981, v. 007  p. 0158, 60.0, , , 40.0, , 2767.0, , 
1071, GJ03-041061, Glass Physics & Chemistry, 1981, v. 007  p. 0158, 60.0, 5.0, , 35.0, , 2721.0, , 
1072, GJ03-041062, Glass Physics & Chemistry, 1981, v. 007  p. 0158, 60.0, 10.0, , 30.0, , 2674.0, , 
1073, GJ06-041063, Glass Physics & Chemistry, 1981, v. 007  p. 0158, 60.0, 13.0, , 27.0, , 2655.0, , 
1074, GJ06-041064, Glass Physics & Chemistry, 1981, v. 007  p. 0158, 60.0, 15.0, , 25.0, , 2635.0, , 
1075, GJ06-041065, Glass Physics & Chemistry, 1981, v. 007  p. 0158, 60.0, 18.0, , 22.0, , 2618.0, , 
1076, GJ06-041066, Glass Physics & Chemistry, 1981, v. 007  p. 0158, 60.0, 20.0, , 20.0, , 2605.0, , 
1077, GJ06-041067, Glass Physics & Chemistry, 1981, v. 007  p. 0158, 60.0, 22.0, , 18.0, , 2608.0, , 
1078, GJ06-041068, Glass Physics & Chemistry, 1981, v. 007  p. 0158, 60.0, 25.0, , 15.0, , 2606.0, , 
1079, GJ06-041069, Glass Physics & Chemistry, 1981, v. 007  p. 0158, 60.0, 30.0, , 10.0, , 2609.0, , 
1080, GJ06-041070, Glass Physics & Chemistry, 1981, v. 007  p. 0158, 50.4, 3.24, , 46.37, , 2886.0, , 
1081, GJ06-041071, Glass Physics & Chemistry, 1981, v. 007  p. 0158, 50.0, 4.32, , 45.68, , 2874.0, , 
1082, GJ06-041072, Glass Physics & Chemistry, 1981, v. 007  p. 0158, 50.0, 5.44, , 44.56, , 2864.0, , 
1083, GJ06-041073, Glass Physics & Chemistry, 1981, v. 007  p. 0158, 50.0, 6.59, , 43.41, , 2850.0, , 
1084, GJ06-041074, Glass Physics & Chemistry, 1981, v. 007  p. 0158, 50.0, 7.75, , 42.25, , 2838.0, , 
1085, GJ06-041075, Glass Physics & Chemistry, 1981, v. 007  p. 0158, 50.0, 10.14, , 39.86, , 2816.0, , 
1086, GJ06-041076, Glass Physics & Chemistry, 1981, v. 007  p. 0158, 50.0, 14.0, , 36.0, , 2776.0, , 
1087, GJ06-041077, Glass Physics & Chemistry, 1981, v. 007  p. 0158, 50.0, 16.0, , 34.0, , 2762.0, , 
1088, GJ06-041078, Glass Physics & Chemistry, 1981, v. 007  p. 0158, 50.0, 17.89, , 32.11, , 2746.0, , 
1089, GJ06-041079, Glass Physics & Chemistry, 1981, v. 007  p. 0158, 49.02, 20.24, , 30.75, , 2722.0, , 
1090, GJ06-041080, Glass Physics & Chemistry, 1981, v. 007  p. 0158, 50.0, 25.0, , 25.0, , 2698.0, , 
1091, GJ06-041081, Glass Physics & Chemistry, 1981, v. 007  p. 0158, 49.5, 27.13, , 23.37, , 2697.0, , 
1092, GJ06-041082, Glass Physics & Chemistry, 1981, v. 007  p. 0158, 50.0, 30.0, , 20.0, , 2698.0, , 
1093, GJ06-041083, Glass Physics & Chemistry, 1981, v. 007  p. 0158, 50.51, 33.33, , 16.16, , 2698.0, , 
1094, GJ06-041084, Glass Physics & Chemistry, 1981, v. 007  p. 0158, 50.0, 36.0, , 14.0, , 2697.0, , 
1095, GJ02-041102, Glass Physics & Chemistry, 1981, v. 007  p. 0131, 85.0, , , , 15.0, 2329.0, , 
1096, GJ02-041103, Glass Physics & Chemistry, 1981, v. 007  p. 0131, 80.0, , , , 20.0, 2386.0, , 
1097, GJ02-041104, Glass Physics & Chemistry, 1981, v. 007  p. 0131, 75.0, , , , 25.0, 2424.0, , 
1098, GJ02-041105, Glass Physics & Chemistry, 1981, v. 007  p. 0131, 70.0, , , , 30.0, 2461.0, , 
1099, GJ02-041106, Glass Physics & Chemistry, 1981, v. 007  p. 0131, 67.0, , , , 33.0, 2473.0, , 
1100, GJ02-041107, Glass Physics & Chemistry, 1981, v. 007  p. 0131, 65.0, , , , 35.0, 2489.0, , 
1101, GJ02-043482, Verres et Refractaires, 1981, v. 035  p. 0065, 90.28, , , , 9.72, 2300.0, , 
1102, GJ02-043483, Verres et Refractaires, 1981, v. 035  p. 0065, 85.39, , , , 14.61, 2340.0, , 
1103, GJ02-043484, Verres et Refractaires, 1981, v. 035  p. 0065, 76.56, , , , 23.44, 2420.0, , 
1104, GJ03-043487, Verres et Refractaires, 1981, v. 035  p. 0065, 69.01, , 12.85, 5.13, 13.0, 2500.0, , 
1105, GJ03-043559, Verres et Refractaires, 1982, v. 036  p. 0547, 63.16, 5.26, , 31.58, , 2670.0, , 
1106, GJ03-044883, J. American Ceramic Soc., 1973, v. 056  p. 0514, 70.6, 0.6, 5.9, 10.5, 12.4, 2500.0, , 
1107, GJ06-044964, J. American Ceramic Soc., 1975, v. 058  p. 0461, 93.87, 6.13, , , , 2250.0, , 
1108, GJ02-045110, J. American Ceramic Soc., 1981, v. 064  p. 0061, 75.0, , , , 25.0, 2446.0, , 
1109, GJ02-045111, J. American Ceramic Soc., 1981, v. 064  p. 0061, 96.0, , , , 4.0, 2238.0, , 
1110, GJ02-045112, J. American Ceramic Soc., 1981, v. 064  p. 0061, 90.0, , , , 10.0, 2306.0, , 
1111, GI03-045485, Proc. ICG, 1983, v. 002  p. 1081, 44.85, 15.1, , 40.05, , 2820.0, , 
1112, GJ03-045685, Glass Physics & Chemistry, 1981, v. 007  p. 0403, 52.0, , 16.0, 32.0, , 2854.0, , 
1113, GJ03-045686, Glass Physics & Chemistry, 1981, v. 007  p. 0403, 52.0, 4.0, 14.67, 29.33, , 2813.0, , 
1114, GJ03-045687, Glass Physics & Chemistry, 1981, v. 007  p. 0403, 52.0, 8.0, 13.33, 26.67, , 2780.0, , 
1115, GJ03-045688, Glass Physics & Chemistry, 1981, v. 007  p. 0403, 52.0, 11.0, 12.33, 24.67, , 2751.0, , 
1116, GJ03-045689, Glass Physics & Chemistry, 1981, v. 007  p. 0403, 52.0, 12.0, 12.0, 24.0, , 2747.0, , 
1117, GJ03-045690, Glass Physics & Chemistry, 1981, v. 007  p. 0403, 52.0, 14.0, 11.33, 22.67, , 2728.0, , 
1118, GJ03-045691, Glass Physics & Chemistry, 1981, v. 007  p. 0403, 52.0, 16.0, 10.67, 21.33, , 2716.0, , 
1119, GJ03-045692, Glass Physics & Chemistry, 1981, v. 007  p. 0403, 52.0, 18.0, 10.0, 20.0, , 2703.0, , 
1120, GJ03-045693, Glass Physics & Chemistry, 1981, v. 007  p. 0403, 52.0, 19.2, 9.6, 19.2, , 2695.0, , 
1121, GJ03-045694, Glass Physics & Chemistry, 1981, v. 007  p. 0403, 52.0, 20.0, 9.33, 18.67, , 2694.0, , 
1122, GJ03-045695, Glass Physics & Chemistry, 1981, v. 007  p. 0403, 52.0, 21.0, 9.0, 18.0, , 2694.0, , 
1123, GJ03-045696, Glass Physics & Chemistry, 1981, v. 007  p. 0403, 52.0, 22.0, 8.67, 17.33, , 2688.0, , 
1124, GJ03-045697, Glass Physics & Chemistry, 1981, v. 007  p. 0403, 52.0, 24.0, 8.0, 16.0, , 2684.0, , 
1125, GJ03-045698, Glass Physics & Chemistry, 1981, v. 007  p. 0403, 52.94, , 23.53, 23.53, , 2821.0, , 
1126, GJ03-045699, Glass Physics & Chemistry, 1981, v. 007  p. 0403, 52.95, 4.71, 21.17, 21.17, , 2774.0, , 
1127, GJ03-045700, Glass Physics & Chemistry, 1981, v. 007  p. 0403, 52.94, 8.0, 19.53, 19.53, , 2745.0, , 
1128, GJ03-045701, Glass Physics & Chemistry, 1981, v. 007  p. 0403, 52.94, 11.76, 17.65, 17.65, , 2717.0, , 
1129, GJ03-045702, Glass Physics & Chemistry, 1981, v. 007  p. 0403, 52.94, 13.64, 16.71, 16.71, , 2700.0, , 
1130, GJ03-045703, Glass Physics & Chemistry, 1981, v. 007  p. 0403, 52.94, 14.58, 16.24, 16.24, , 2696.0, , 
1131, GJ03-045704, Glass Physics & Chemistry, 1981, v. 007  p. 0403, 52.94, 15.69, 15.68, 15.69, , 2688.0, , 
1132, GJ03-045705, Glass Physics & Chemistry, 1981, v. 007  p. 0403, 52.94, 16.94, 15.06, 15.06, , 2684.0, , 
1133, GJ03-045706, Glass Physics & Chemistry, 1981, v. 007  p. 0403, 52.94, 18.82, 14.12, 14.12, , 2679.0, , 
1134, GJ03-045707, Glass Physics & Chemistry, 1981, v. 007  p. 0403, 52.94, 21.18, 12.94, 12.94, , 2671.0, , 
1135, GJ03-045708, Glass Physics & Chemistry, 1981, v. 007  p. 0403, 52.93, 23.53, 11.77, 11.77, , 2664.0, , 
1136, GJ03-045709, Glass Physics & Chemistry, 1981, v. 007  p. 0403, 52.94, 25.41, 10.82, 10.83, , 2664.0, , 
1137, GJ03-045710, Glass Physics & Chemistry, 1981, v. 007  p. 0403, 52.94, 27.29, 9.88, 9.89, , 2662.0, , 
1138, GJ03-045711, Glass Physics & Chemistry, 1981, v. 007  p. 0403, 52.94, 29.18, 8.94, 8.94, , 2665.0, , 
1139, GJ03-045712, Glass Physics & Chemistry, 1981, v. 007  p. 0403, 53.86, , 30.76, 15.38, , 2772.0, , 
1140, GJ03-045713, Glass Physics & Chemistry, 1981, v. 007  p. 0403, 53.86, 2.0, 29.43, 14.71, , 2756.0, , 
1141, GJ03-045714, Glass Physics & Chemistry, 1981, v. 007  p. 0403, 53.86, 3.7, 28.29, 14.15, , 2744.0, , 
1142, GJ03-045715, Glass Physics & Chemistry, 1981, v. 007  p. 0403, 53.85, 5.5, 27.1, 13.55, , 2733.0, , 
1143, GJ03-045716, Glass Physics & Chemistry, 1981, v. 007  p. 0403, 53.87, 8.0, 25.42, 12.71, , 2718.0, , 
1144, GJ03-045717, Glass Physics & Chemistry, 1981, v. 007  p. 0403, 53.85, 10.0, 24.1, 12.05, , 2706.0, , 
1145, GJ03-045718, Glass Physics & Chemistry, 1981, v. 007  p. 0403, 53.85, 11.54, 23.07, 11.54, , 2694.0, , 
1146, GJ03-045719, Glass Physics & Chemistry, 1981, v. 007  p. 0403, 53.86, 13.0, 22.09, 11.05, , 2690.0, , 
1147, GJ03-045720, Glass Physics & Chemistry, 1981, v. 007  p. 0403, 53.86, 16.0, 20.09, 10.05, , 2681.0, , 
1148, GJ03-045721, Glass Physics & Chemistry, 1981, v. 007  p. 0403, 53.85, 19.0, 18.1, 9.05, , 2670.0, , 
1149, GJ03-045722, Glass Physics & Chemistry, 1981, v. 007  p. 0403, 53.86, 23.07, 15.38, 7.69, , 2661.0, , 
1150, GJ02-045746, Glass Physics & Chemistry, 1982, v. 008  p. 0463, 65.0, 17.5, , , 17.5, 2447.0, , 
1151, GJ02-045747, Glass Physics & Chemistry, 1982, v. 008  p. 0463, 65.0, 15.0, , , 20.0, 2450.0, , 
1152, GJ02-045748, Glass Physics & Chemistry, 1982, v. 008  p. 0463, 65.0, 5.0, , , 30.0, 2486.0, , 
1153, GJ02-045749, Glass Physics & Chemistry, 1982, v. 008  p. 0463, 65.0, , , , 35.0, 2497.0, , 
1154, GJ02-045750, Glass Physics & Chemistry, 1982, v. 008  p. 0463, 45.0, 30.0, , , 25.0, 2519.0, , 
1155, GJ02-045751, Glass Physics & Chemistry, 1982, v. 008  p. 0463, 50.0, 25.0, , , 25.0, 2499.0, , 
1156, GJ02-045752, Glass Physics & Chemistry, 1982, v. 008  p. 0463, 55.0, 20.0, , , 25.0, 2470.0, , 
1157, GJ02-045753, Glass Physics & Chemistry, 1982, v. 008  p. 0463, 60.0, 15.0, , , 25.0, 2480.0, , 
1158, GJ02-045754, Glass Physics & Chemistry, 1982, v. 008  p. 0463, 65.0, 10.0, , , 25.0, 2461.0, , 
1159, GJ02-045755, Glass Physics & Chemistry, 1982, v. 008  p. 0463, 85.0, , , , 15.0, 2339.0, , 
1160, GJ02-045756, Glass Physics & Chemistry, 1982, v. 008  p. 0463, 80.0, 5.0, , , 15.0, 2358.0, , 
1161, GJ02-045757, Glass Physics & Chemistry, 1982, v. 008  p. 0463, 75.0, 10.0, , , 15.0, 2410.0, , 
1162, GJ02-045758, Glass Physics & Chemistry, 1982, v. 008  p. 0463, 70.0, 15.0, , , 15.0, 2465.0, , 
1163, GJ02-045759, Glass Physics & Chemistry, 1982, v. 008  p. 0463, 65.0, 20.0, , , 15.0, 2428.0, , 
1164, GJ02-045760, Glass Physics & Chemistry, 1982, v. 008  p. 0463, 60.0, 25.0, , , 15.0, 2472.0, , 
1165, GJ02-045761, Glass Physics & Chemistry, 1982, v. 008  p. 0463, 75.0, , , , 25.0, 2439.0, , 
1166, GJ02-045762, Glass Physics & Chemistry, 1982, v. 008  p. 0463, 70.0, 5.0, , , 25.0, 2455.0, , 
