Search Condition
State,Not Specified
Composition
,Component Unit,mass%
Component,Main,,Component,,,,min,max
,,NOT,B2O3,,,,,,
,*,AND,Na2O,,,,,,
,*,AND,MgO,,,,,,
,,OR,Al2O3,,,,,,
,*,AND,SiO2,,,,,,
,,OR,SO2,SO3,,,,,
,,OR,K2O,,,,,,
,*,AND,CaO,,,,,,
,Total of Main Components >=,95,%
Commercial Glass,
Glass System,
Filler,
Crystal,
Substrate,
Shape,
Usage,
Property
,Property,,,,Unit,min,max
,Young's Modulus at RT,,,,Common,,
OR,Young's Modulus at RT,,,,Common,,
Structure
,Structure,Element,Unit,min,max
Data Source
,Data Source,Year,,Number,Cat No,Pat Co
Glass ID,,
Max Data,50000

List Condition
,Component Unit,mass%
,Property Unit,Common

No., Glass No., Data Source, Year, Data Source Number, SiO2, B2O3, Al2O3, MgO, CaO, Na2O, K2O, SO3, SO2, Young's Modulus at RT ( GPa )
1975, GB02-096376, Properties of Glass, 1954, v. 001  p. 0303, 74.06, , 0.24, , 0.21, 25.35, , , , 56.69
1976, GB02-096377, Properties of Glass, 1954, v. 001  p. 0303, 74.24, , 0.21, , 1.51, 23.9, , , , 58.12
1977, GB02-096378, Properties of Glass, 1954, v. 001  p. 0303, 73.99, , 0.28, , 2.61, 22.97, , , , 60.53
1978, GB02-096379, Properties of Glass, 1954, v. 001  p. 0303, 74.14, , 0.38, , 3.81, 21.52, , , , 62.07
1979, GB02-096380, Properties of Glass, 1954, v. 001  p. 0303, 73.79, , 0.58, 0.15, 4.5, 20.78, , , , 62.99
1980, GB02-096381, Properties of Glass, 1954, v. 001  p. 0303, 73.22, , 0.3, 0.21, 6.26, 19.39, , , , 65.67
1981, GB02-096382, Properties of Glass, 1954, v. 001  p. 0303, 74.4, , 0.31, 0.24, 7.45, 17.2, , , , 66.69
1982, GB02-096383, Properties of Glass, 1954, v. 001  p. 0303, 75.05, , 0.42, 0.26, 8.17, 16.01, , , , 68.28
1983, GB02-096384, Properties of Glass, 1954, v. 001  p. 0303, 74.89, , 0.45, 0.28, 9.35, 14.87, , , , 68.95
1984, GB02-096385, Properties of Glass, 1954, v. 001  p. 0303, 74.53, , 0.38, 0.3, 10.37, 14.21, , , , 71.06
1985, GB02-096386, Properties of Glass, 1954, v. 001  p. 0303, 74.85, , , 0.31, 11.67, 13.01, , , , 67.76
1986, GB02-096387, Properties of Glass, 1954, v. 001  p. 0303, 66.6, , 1.41, 0.85, 18.14, 12.7, , , , 81.79
1987, GC04-098648, Schott Glas (Jena) (DE), , D533, *, , , , , *, *, , , 53.9
1988, GC04-098649, Schott Glas (Jena) (DE), , D534, *, , , , , *, *, , , 61.74
1989, GC04-098650, Schott Glas (Jena) (DE), , D535, *, , , , , *, *, , , 63.7
1990, GC04-098651, Schott Glas (Jena) (DE), , D536, *, , , , , *, *, , , 52.92
1991, GC04-098657, Schott Glas (Jena) (DE), , D525, *, , , , , *, *, , , 56.84
1992, GC04-098658, Schott Glas (Jena) (DE), , D526, *, , , , , *, *, , , 54.88
1993, GC04-098659, Schott Glas (Jena) (DE), , D527, *, , , , , *, *, , , 54.88
1994, GC04-098660, Schott Glas (Jena) (DE), , D528, *, , , , , *, *, , , 59.78
1995, GC04-098661, Schott Glas (Jena) (DE), , D529, *, , , , , *, *, , , 54.88
1996, GC04-098662, Schott Glas (Jena) (DE), , D530, *, , , , , *, *, , , 60.76
1997, GC04-098663, Schott Glas (Jena) (DE), , D531, *, , , , , *, *, , , 53.9
1998, GC03-098665, Schott Glas (Jena) (DE), , D187, *, *, *, , , , , , , 81.34
1999, GC03-098666, Schott Glas (Jena) (DE), , D188, *, *, *, , , , , , , 90.16
2000, GC03-098667, Schott Glas (Jena) (DE), , D189, *, *, *, , , , , , , 96.04
2001, GC03-098668, Schott Glas (Jena) (DE), , D263, *, *, *, , , , , , , 78.4
2002, GC04-098669, Schott Glas (Jena) (DE), , D520, *, , , , , *, *, , , 54.88
2003, GC04-098670, Schott Glas (Jena) (DE), , D522, *, , , , , *, *, , , 53.9
2004, GC04-098671, Schott Glas (Jena) (DE), , D524, *, , , , , *, *, , , 56.84
2005, GC03-098672, Schott Glas (Jena) (DE), , D205, *, *, *, , , , , , , 83.3
2006, GC05-098674, Schott Glas (Jena) (DE), , D045, *, *, *, , , *, *, , , 85.26
2007, GC03-098675, Schott Glas (Jena) (DE), , D159, *, *, *, , , *, *, , , 72.52
2008, GC03-098676, Schott Glas (Jena) (DE), , D173, *, *, *, , , , , , , 80.36
2009, GC03-098677, Schott Glas (Jena) (DE), , D174, *, *, *, , , , , , , 78.4
2010, GC03-098678, Schott Glas (Jena) (DE), , D175, *, *, *, , , , , , , 85.26
2011, GC03-098679, Schott Glas (Jena) (DE), , D177, *, *, *, , , , , , , 79.38
2012, GC03-098680, Schott Glas (Jena) (DE), , D181, *, *, *, , , , , , , 91.14
2013, GC03-098681, Schott Glas (Jena) (DE), , D183, *, *, *, , , , , , , 79.38
2014, GC03-098682, Schott Glas (Jena) (DE), , D184, *, *, *, , , , , , , 77.42
2015, GC03-098683, Schott Glas (Jena) (DE), , D185, *, *, *, , , , , , , 78.4
2016, GC03-098684, Schott Glas (Jena) (DE), , D186, *, *, *, , , , , , , 87.22
2017, GC05-098688, Schott Glas (Jena) (DE), , D381, *, *, *, , , , *, , , 49.98
2018, GC05-098689, Schott Glas (Jena) (DE), , D382, *, *, *, , , , *, , , 51.94
2019, GC05-098690, Schott Glas (Jena) (DE), , D388, *, *, *, , , , *, , , 52.92
2020, GC04-098693, Schott Glas (Jena) (DE), , D367, *, , , , , *, *, , , 85.26
2021, GC05-098694, Schott Glas (Jena) (DE), , D383, *, *, *, , , , *, , , 56.84
2022, GC10-098695, Schott Glas (Jena) (DE), , D384, , *, *, , , , , , , 58.8
2023, GC10-098696, Schott Glas (Jena) (DE), , D386, , *, *, , , , , , , 54.88
2024, GC04-098697, Schott Glas (Jena) (DE), , D501, *, , , , , *, *, , , 58.8
2025, GC04-098698, Schott Glas (Jena) (DE), , D503, *, , , , , *, *, , , 60.76
2026, GC04-098699, Schott Glas (Jena) (DE), , D504, *, , , , , *, *, , , 63.7
2027, GC04-098701, Schott Glas (Jena) (DE), , D506, *, , , , , *, *, , , 65.66
2028, GC04-098702, Schott Glas (Jena) (DE), , D507, *, , , , , *, *, , , 79.38
2029, GC02-098703, Schott Glas (Jena) (DE), , D101, *, , *, , *, *, *, , , 64.68
2030, GC02-098704, Schott Glas (Jena) (DE), , D102, *, , *, , *, *, *, , , 65.66
2031, GC04-098705, Schott Glas (Jena) (DE), , D319, *, , , , , *, *, , , 63.7
2032, GC04-098706, Schott Glas (Jena) (DE), , D321, *, , , , , *, *, , , 65.66
2033, GC04-098707, Schott Glas (Jena) (DE), , D322, *, , , , , *, *, , , 65.66
2034, GC04-098708, Schott Glas (Jena) (DE), , D324, *, , , , , *, *, , , 74.48
2035, GC04-098710, Schott Glas (Jena) (DE), , D356, *, , , , , *, *, , , 62.72
2036, GC04-098711, Schott Glas (Jena) (DE), , D357, *, , , , , *, *, , , 60.76
2037, GC04-098712, Schott Glas (Jena) (DE), , D358, *, , , , , *, *, , , 63.7
2038, GC04-098713, Schott Glas (Jena) (DE), , D359, *, , , , , *, *, , , 69.58
2039, GC04-098714, Schott Glas (Jena) (DE), , D360, *, , , , , *, *, , , 66.64
2040, GC04-098715, Schott Glas (Jena) (DE), , D362, *, , , , , *, *, , , 80.36
2041, GC04-098716, Schott Glas (Jena) (DE), , D364, *, , , , , *, *, , , 87.22
2042, GC04-098717, Schott Glas (Jena) (DE), , D365, *, , , , , *, *, , , 74.48
2043, GC04-098718, Schott Glas (Jena) (DE), , D485, *, , , , , *, *, , , 53.9
2044, GC04-098719, Schott Glas (Jena) (DE), , D284, *, , , , , *, *, , , 59.78
2045, GC04-098720, Schott Glas (Jena) (DE), , D338, *, , , , , *, *, , , 62.72
2046, GC04-098721, Schott Glas (Jena) (DE), , D339, *, , , , , *, *, , , 59.78
2047, GC04-098722, Schott Glas (Jena) (DE), , D341, *, , , , , *, *, , , 62.72
2048, GC04-098723, Schott Glas (Jena) (DE), , D460, *, , , , , *, *, , , 61.74
2049, GC04-098724, Schott Glas (Jena) (DE), , D474, *, , , , , *, *, , , 56.84
2050, GC04-098725, Schott Glas (Jena) (DE), , D475, *, , , , , *, *, , , 64.68
2051, GC03-098726, Schott Glas (Jena) (DE), , D265, *, *, *, , , , , , , 83.3
2052, GC03-098727, Schott Glas (Jena) (DE), , D266, *, *, *, , , , , , , 77.42
2053, GC03-098728, Schott Glas (Jena) (DE), , D267, *, *, *, , , , , , , 84.28
2054, GC02-098729, Schott Glas (Jena) (DE), , D113, *, , *, , *, *, *, , , 71.54
2055, GC07-098730, Schott Glas (Jena) (DE), , D124, *, *, , , , *, *, , , 71.54
2056, GC07-098731, Schott Glas (Jena) (DE), , D127, *, *, , , , *, *, , , 69.58
2057, GC07-098732, Schott Glas (Jena) (DE), , D128, *, *, , , , *, *, , , 66.64
2058, GC07-098733, Schott Glas (Jena) (DE), , D129, *, *, , , , *, *, , , 66.64
2059, GC02-098734, Schott Glas (Jena) (DE), , D142, *, *, , , , *, *, , , 68.6
2060, GC05-098735, Schott Glas (Jena) (DE), , D013, *, *, *, , , , *, , , 43.12
2061, GC05-098736, Schott Glas (Jena) (DE), , D016, *, *, *, , , , *, , , 62.72
2062, GC05-098737, Schott Glas (Jena) (DE), , D058, *, *, , , , *, *, , , 62.72
2063, GC05-098738, Schott Glas (Jena) (DE), , D059, *, *, , , , *, *, , , 70.56
2064, GC04-098739, Schott Glas (Jena) (DE), , D477, *, , , , , *, *, , , 58.8
2065, GC04-098740, Schott Glas (Jena) (DE), , D479, *, , , , , *, *, , , 56.84
2066, GC04-098741, Schott Glas (Jena) (DE), , D480, *, , , , , *, *, , , 54.88
2067, GC04-098742, Schott Glas (Jena) (DE), , D481, *, , , , , *, *, , , 56.84
2068, GC04-098743, Schott Glas (Jena) (DE), , D482, *, , , , , *, *, , , 82.32
2069, GC05-098744, Schott Glas (Jena) (DE), , D043, *, *, *, , , *, *, , , 81.34
2070, GC05-098745, Schott Glas (Jena) (DE), , D044, *, *, , , , *, *, , , 82.32
2071, GC05-098746, Schott Glas (Jena) (DE), , D066, *, *, , , , *, *, , , 80.36
2072, GC03-098747, Schott Glas (Jena) (DE), , D155, *, *, *, , , *, *, , , 70.56
2073, GC03-098748, Schott Glas (Jena) (DE), , D156, *, *, *, , , *, *, , , 71.54
2074, GC03-098749, Schott Glas (Jena) (DE), , D158, *, *, *, , , *, *, , , 75.46
2075, GC03-098750, Schott Glas (Jena) (DE), , D162, *, *, *, , , *, *, , , 74.48
2076, GC03-098751, Schott Glas (Jena) (DE), , D171, *, *, *, , , , , , , 76.44
2077, GC05-098752, Schott Glas (Jena) (DE), , D064, *, *, , , , *, *, , , 78.4
2078, GC02-098754, Schott Glas (Jena) (DE), , D104, *, , *, , *, *, *, , , 69.58
2079, GC02-098755, Schott Glas (Jena) (DE), , D107, *, , *, , *, *, *, , , 68.6
2080, GC02-098756, Schott Glas (Jena) (DE), , D109, *, , *, , *, *, *, , , 73.5
2081, GC02-098757, Schott Glas (Jena) (DE), , D110, *, , *, , *, *, *, , , 72.52
2082, GC04-098763, Schott Glas (Jena) (DE), , D508, *, , , , , *, *, , , 87.22
2083, GC04-098764, Schott Glas (Jena) (DE), , D509, *, , , , , *, *, , , 88.2
2084, GC04-098776, Mashpriborintorg (SU), , C325, *, , , , , *, *, , , 53.7
2085, GC05-098784, Mashpriborintorg (SU), , C001, *, *, *, , , , *, , , 40.08
2086, GC05-098785, Mashpriborintorg (SU), , C002, *, *, *, , , , *, , , 63.11
2087, GC05-098786, Mashpriborintorg (SU), , C004, *, *, *, , , , *, , , 63.6
2088, GC05-098787, Mashpriborintorg (SU), , C005, *, *, *, , , , *, , , 68.4
2089, GC05-098788, Mashpriborintorg (SU), , C007, *, *, *, , , , *, , , 48.8
2090, GC05-098789, Mashpriborintorg (SU), , C009, *, *, *, , , , *, , , 48.8
2091, GC05-098790, Mashpriborintorg (SU), , C011, *, *, *, , , , *, , , 61.05
2092, GC05-098791, Mashpriborintorg (SU), , C021, *, *, , , , *, *, , , 64.48
2093, GC05-098792, Mashpriborintorg (SU), , C022, *, *, , , , *, *, , , 67.52
2094, GC05-098793, Mashpriborintorg (SU), , C024, *, *, , , , *, *, , , 57.33
2095, GC05-098794, Mashpriborintorg (SU), , C040, *, *, *, , , *, *, , , 73.4
2096, GC02-098795, Mashpriborintorg (SU), , C050, *, , *, , *, *, *, , , 75.46
2097, GC02-098796, Mashpriborintorg (SU), , C052, *, , *, , *, *, *, , , 70.17
2098, GC02-098797, Mashpriborintorg (SU), , C054, *, , *, , *, *, *, , , 75.17
2099, GC02-098798, Mashpriborintorg (SU), , C056, *, , *, , *, *, *, , , 80.65
2100, GC02-098799, Mashpriborintorg (SU), , C059, *, , *, , *, *, *, , , 77.13
2101, GC02-098800, Mashpriborintorg (SU), , C061, *, , *, , *, *, *, , , 66.84
2102, GC02-098801, Mashpriborintorg (SU), , C063, *, , *, , *, *, *, , , 75.85
2103, GC02-098802, Mashpriborintorg (SU), , C064, *, , *, , *, *, *, , , 70.56
2104, GC02-098803, Mashpriborintorg (SU), , C066, *, , *, , *, *, *, , , 72.32
2105, GC05-098804, Mashpriborintorg (SU), , C081, *, *, , , , *, *, , , 70.27
2106, GC05-098805, Mashpriborintorg (SU), , C083, *, *, , , , *, *, , , 70.07
2107, GC05-098806, Mashpriborintorg (SU), , C085, *, *, , , , *, *, , , 80.26
2108, GC05-098807, Mashpriborintorg (SU), , C088, *, *, , , , *, *, , , 73.4
2109, GC05-098808, Mashpriborintorg (SU), , C093, *, *, , , , *, *, , , 77.52
2110, GC03-098809, Mashpriborintorg (SU), , C107, *, *, *, , , , , , , 72.03
2111, GC03-098810, Mashpriborintorg (SU), , C109, *, *, *, , , , , , , 77.62
2112, GC03-098811, Mashpriborintorg (SU), , C111, *, *, *, , , , , , , 76.54
2113, GC03-098812, Mashpriborintorg (SU), , C113, *, *, *, , , , , , , 78.99
2114, GC03-098813, Mashpriborintorg (SU), , C115, *, *, *, , , , , , , 83.79
2115, GC03-098814, Mashpriborintorg (SU), , C117, *, *, *, , , , , , , 84.28
2116, GC03-098815, Mashpriborintorg (SU), , C119, *, *, *, , , , , , , 85.26
2117, GC03-098816, Mashpriborintorg (SU), , C121, *, *, *, , , , , , , 80.16
2118, GC03-098817, Mashpriborintorg (SU), , C124, *, *, *, , , , , , , 84.18
2119, GC03-098818, Mashpriborintorg (SU), , C125, *, *, *, , , , , , , 80.95
2120, GC03-098819, Mashpriborintorg (SU), , C127, *, *, *, , , , , , , 77.81
2121, GC03-098820, Mashpriborintorg (SU), , C129, *, *, *, , , , , , , 82.61
2122, GC04-098821, Mashpriborintorg (SU), , C316, *, , , , , *, *, , , 55.57
2123, GC04-098822, Mashpriborintorg (SU), , C318, *, , , , , *, *, , , 55.86
2124, GC04-098823, Mashpriborintorg (SU), , C320, *, , , , , *, *, , , 55.27
2125, GC04-098824, Mashpriborintorg (SU), , C322, *, , , , , *, *, , , 57.04
2126, GC04-098825, Mashpriborintorg (SU), , C327, *, , , , , *, *, , , 65.76
2127, GC04-098826, Mashpriborintorg (SU), , C329, *, , , , , *, *, , , 56.55
2128, GC04-098827, Mashpriborintorg (SU), , C331, *, , , , , *, *, , , 50.47
2129, GC04-098828, Mashpriborintorg (SU), , C341, *, , , , , *, *, , , 53.61
2130, GC04-098829, Mashpriborintorg (SU), , C343, *, , , , , *, *, , , 54.98
2131, GC04-098830, Mashpriborintorg (SU), , C345, *, , , , , *, *, , , 55.08
2132, GC04-098831, Mashpriborintorg (SU), , C347, *, , , , , *, *, , , 53.9
2133, GC04-098832, Mashpriborintorg (SU), , C349, *, , , , , *, *, , , 53.9
2134, GC04-098833, Mashpriborintorg (SU), , C351, *, , , , , *, *, , , 53.12
2135, GC04-098834, Mashpriborintorg (SU), , C353, *, , , , , *, *, , , 56.15
2136, GC04-098835, Mashpriborintorg (SU), , C353, *, , , , , *, *, , , 54.19
2137, GC04-098836, Mashpriborintorg (SU), , C357, *, , , , , *, *, , , 66.44
2138, GC04-098837, Mashpriborintorg (SU), , C358, *, , , , , *, *, , , 64.39
2139, GC03-098839, Mashpriborintorg (SU), , C166, *, *, *, , , , , , , 88.49
2140, GC03-098840, Mashpriborintorg (SU), , C168, *, *, *, , , , , , , 81.44
2141, GC03-098841, Mashpriborintorg (SU), , C169, *, *, *, , , , , , , 84.08
2142, GC03-098842, Mashpriborintorg (SU), , C170, *, *, *, , , , , , , 115.8
2143, GC03-098843, Mashpriborintorg (SU), , C172, *, *, *, , , , , , , 109.2
2144, GC03-098844, Mashpriborintorg (SU), , C174, *, *, *, , , , , , , 112.2
2145, GC03-098845, Mashpriborintorg (SU), , C176, *, *, *, , , , , , , 114.4
2146, GC03-098846, Mashpriborintorg (SU), , C177, *, *, *, , , , , , , 115.1
2147, GC03-098847, Mashpriborintorg (SU), , C178, *, *, *, , , , , , , 115.3
2148, GC03-098848, Mashpriborintorg (SU), , C180, *, *, *, , , , , , , 122.2
2149, GC02-098854, Mashpriborintorg (SU), , C217, *, , , , , *, *, , , 68.31
2150, GC02-098855, Mashpriborintorg (SU), , C219, *, , , , , *, *, , , 67.23
2151, GC02-098856, Mashpriborintorg (SU), , C221, *, , , , , *, *, , , 64.68
2152, GC02-098857, Mashpriborintorg (SU), , C223, *, , , , , *, *, , , 73.01
2153, GC02-098858, Mashpriborintorg (SU), , C225, *, , , , , *, *, , , 64.19
2154, GC02-098859, Mashpriborintorg (SU), , C227, *, , , , , *, *, , , 77.13
2155, GC02-098860, Mashpriborintorg (SU), , C229, *, , , , , *, *, , , 61.05
2156, GC02-098861, Mashpriborintorg (SU), , C231, *, , , , , *, *, , , 76.24
2157, GC02-098862, Mashpriborintorg (SU), , C233, *, , , , , *, *, , , 78.89
2158, GC02-098863, Mashpriborintorg (SU), , C239, *, , , , , *, *, , , 62.03
2159, GC02-098864, Mashpriborintorg (SU), , C242, *, , , , , *, *, , , 63.01
2160, GC02-098865, Mashpriborintorg (SU), , C243, *, , , , , *, *, , , 72.03
2161, GC02-098866, Mashpriborintorg (SU), , C245, *, , , , , *, *, , , 66.84
2162, GC02-098867, Mashpriborintorg (SU), , C246, *, , , , , *, *, , , 67.33
2163, GC02-098868, Mashpriborintorg (SU), , C248, *, , , , , *, *, , , 65.37
2164, GC02-098869, Mashpriborintorg (SU), , C248, *, , , , , *, *, , , 61.35
2165, GC04-098870, Mashpriborintorg (SU), , C270, *, , , , , *, *, , , 90.26
2166, GC04-098871, Mashpriborintorg (SU), , C271, *, , , , , *, *, , , 94.77
2167, GC04-098872, Mashpriborintorg (SU), , C274, *, , , , , *, *, , , 113.5
2168, GC04-098873, Mashpriborintorg (SU), , C275, *, , , , , *, *, , , 108.9
2169, GC04-098874, Mashpriborintorg (SU), , C276, *, , , , , *, *, , , 111.1
2170, GC04-098875, Mashpriborintorg (SU), , C277, *, , , , , *, *, , , 102.6
2171, GC04-098877, Mashpriborintorg (SU), , C296, *, , , , , *, *, , , 55.57
2172, GC04-098878, Mashpriborintorg (SU), , C298, *, , , , , *, *, , , 55.66
2173, GC04-098879, Mashpriborintorg (SU), , C299, *, , , , , *, *, , , 65.46
2174, GC04-098880, Mashpriborintorg (SU), , C300, *, , , , , *, *, , , 67.52
2175, GC04-098881, Mashpriborintorg (SU), , C301, *, , , , , *, *, , , 66.64
2176, GC04-098882, Mashpriborintorg (SU), , C302, *, , , , , *, *, , , 64.78
2177, GC04-098883, Mashpriborintorg (SU), , C304, *, , , , , *, *, , , 64.09
2178, XC02-099025, Ishizuka Glass (J),     , I-D, *, , *, , , , , , , 78.4
2179, XC02-099026, Ishizuka Glass (J),     , H-alpha, *, , *, , , , , , , 78.4
2180, GP02-100012, US Patent    USA Gov. (US), 1984, A4482205, 66.37, , , , , 3.4, 18.22, , , 61.5
2181, MP38-101137, Japanese Patent, 1989, A103928, 23.13, , 6.94, 3.58, 43.5, , , , , 137.2
2182, MP38-101138, Japanese Patent, 1989, A103928, 54.86, , 30.03, 8.9, , , , , , 101.9
2183, MP38-101139, Japanese Patent, 1989, A103928, 54.19, , 28.29, , 7.78, , , , , 108.8
2184, MP38-101146, Japanese Patent, 1989, A103928, 1.81, , 7.33, 3.79, 45.81, , , , , 239.1
2185, MP38-101147, Japanese Patent, 1989, A103928, 6.04, , 2.19, 1.57, 50.14, , , , , 232.3
2186, MP38-101148, Japanese Patent, 1989, A103928, 8.65, , 2.91, 0.36, 45.51, , , , , 243.0
2187, MP38-101149, Japanese Patent, 1989, A103928, 3.24, , 41.6, 1.26, 30.15, , , , , 123.5
2188, MP38-101150, Japanese Patent, 1989, A103928, 3.71, , 37.56, 0.29, 33.44, , , , , 123.5
2189, MP38-101151, Japanese Patent, 1989, A103928, 1.35, , 39.67, , 32.76, , , , , 130.3
2190, MP38-101152, Japanese Patent, 1989, A103928, 3.46, , 39.53, , 32.58, , , , , 119.6
2191, MP38-101153, Japanese Patent, 1989, A103928, 10.6, , 5.81, 3.75, 46.12, , , , , 166.6
2192, MP38-101154, Japanese Patent, 1989, A103928, 17.76, , 5.61, 3.74, 45.43, , , , , 139.2
2193, MP38-101155, Japanese Patent, 1989, A103928, 8.5, , 4.76, 3.82, 46.68, , , , , 225.4
2194, MP38-101156, Japanese Patent, 1989, A103928, 28.48, , 3.76, 3.69, 39.0, , , , , 119.6
2195, MP38-101157, Japanese Patent, 1989, A103928, 22.88, , 3.79, 3.75, 39.65, , , , , 150.9
2196, MP38-101158, Japanese Patent, 1989, A103928, 13.75, , 1.9, 3.86, 47.97, , , , , 158.8
2197, MP38-101159, Japanese Patent, 1989, A103928, 20.39, , 2.87, 3.76, 46.78, , , , , 134.3
2198, MP38-101160, Japanese Patent, 1989, A103928, 15.57, , 2.0, 3.84, 43.6, , , , , 174.4
2199, MP38-101161, Japanese Patent, 1989, A103928, 26.87, , 1.83, 3.74, 42.6, , , , , 118.6
2200, MP38-101162, Japanese Patent, 1989, A103928, 13.86, , 1.02, 3.84, 47.51, , , , , 157.8
2201, MP38-101163, Japanese Patent, 1989, A103928, 18.15, , 0.89, 3.82, 47.04, , , , , 149.0
2202, MP38-101164, Japanese Patent, 1989, A103928, 4.62, , 13.08, 3.88, 40.29, , , , , 171.5
2203, MP38-101165, Japanese Patent, 1989, A103928, 4.67, , 9.36, 3.55, 40.95, , , , , 184.2
2204, MP38-101166, Japanese Patent, 1989, A103928, 16.55, , 3.99, 3.15, 41.18, , , , , 146.0
2205, MP38-101167, Japanese Patent, 1989, A103928, 19.52, , 2.9, 3.39, 44.26, , , , , 134.3
2206, MP38-101168, Japanese Patent, 1989, A103928, 14.3, , 7.01, 3.6, 41.73, , , , , 144.1
2207, MP38-101169, Japanese Patent, 1989, A103928, 14.5, , 7.11, 3.65, 42.31, , , , , 138.2
2208, MP38-101170, Japanese Patent, 1989, A103928, 14.62, , 7.09, 3.68, 46.12, , , , , 147.0
2209, MP38-101171, Japanese Patent, 1989, A103928, 33.02, , 12.1, 1.84, 26.21, , , , , 123.5
2210, MP38-101172, Japanese Patent, 1989, A103928, 6.82, , 7.39, 7.67, 40.67, , , , , 214.6
2211, MP38-101173, Japanese Patent, 1989, A103928, 9.48, , 7.09, 8.79, 35.18, , , , , 175.4
2212, MP38-101174, Japanese Patent, 1989, A103928, 9.94, , 7.43, 9.21, 38.43, , , , , 158.8
2213, MP38-101175, Japanese Patent, 1989, A103928, 21.48, , 7.17, 8.98, 37.4, , , , , 116.6
2214, MP38-101176, Japanese Patent, 1989, A103928, 7.9, , 21.54, 7.07, 33.46, , , , , 141.1
2215, MP38-101177, Japanese Patent, 1989, A103928, 13.75, , 21.22, 7.0, 33.08, , , , , 118.6
2216, MP38-101178, Japanese Patent, 1989, A103928, 7.3, , 21.18, 3.48, 37.96, , , , , 152.9
2217, MP38-101179, Japanese Patent, 1989, A103928, 10.14, , 16.24, 2.66, *, , , , , 118.6
2218, MP38-101180, Japanese Patent, 1989, A103928, 13.89, , 6.25, 6.18, *, , , , , 186.2
2219, MP38-101181, Japanese Patent, 1989, A103928, 20.77, , 6.13, 6.06, *, , , , , 146.0
2220, MP38-101182, Japanese Patent, 1989, A103928, 3.29, , 7.68, 3.75, 50.3, , , , , 185.2
2221, MP38-101183, Japanese Patent, 1989, A103928, 14.63, , 4.6, 4.24, 52.69, , , , , 119.6
2222, MP38-101184, Japanese Patent, 1989, A103928, 9.11, , 7.51, 3.71, 49.65, , , , , 148.0
2223, MP38-101185, Japanese Patent, 1989, A103928, 6.75, , 6.93, 3.63, 42.71, , , , , 198.0
2224, MP38-101186, Japanese Patent, 1989, A103928, 6.98, , 7.17, 3.76, 45.31, , , , , 205.8
2225, MP38-101187, Japanese Patent, 1989, A103928, 14.18, , 6.95, 3.57, 41.77, , , , , 157.8
2226, MP38-101188, Japanese Patent, 1989, A103928, 14.69, , 7.2, 3.7, 44.46, , , , , 149.0
2227, MP38-101189, Japanese Patent, 1989, A103928, 64.77, , 22.89, 6.03, , , , , , 94.08
2228, CP02-101910, Japanese Patent, 1989, A201043, 64.5, 0.3, 5.0, , 0.4, 13.5, 6.1, 0.3, , 98.0
2229, MP06-102176, Japanese Patent, 1989, A239036, 64.0, 2.0, 8.5, , , 8.0, 7.0, , , 98.0
2230, GP38-102700, Japanese Patent, 1990, A026850, 3.46, , 39.53, , 32.58, , , , , 161.7
2231, GP38-102701, Japanese Patent, 1990, A026850, , , 47.11, , 20.85, , , , , 135.2
2232, GP38-102702, Japanese Patent, 1990, A026850, , 1.52, 47.25, , 21.4, , , , , 132.3
2233, GP38-102703, Japanese Patent, 1990, A026850, 9.11, , 7.51, 3.71, 49.65, , , , , 148.0
2234, GP38-102704, Japanese Patent, 1990, A026850, 3.29, , 7.68, 3.75, 50.3, , , , , 185.2
2235, GP38-102705, Japanese Patent, 1990, A026850, 3.4, , 43.02, , 19.41, , , , , 151.9
2236, GP38-102706, Japanese Patent, 1990, A026850, 6.82, , 7.39, 7.67, 40.67, , , , , 214.6
2237, GP38-102707, Japanese Patent, 1990, A026850, 6.04, , 2.19, 1.57, 50.14, , , , , 232.3
2238, GP38-103952, Japanese Patent, 1990, A217332, 12.91, , 19.82, , 44.14, , , , , 143.1
2239, GP38-103953, Japanese Patent, 1990, A217332, 12.82, , 18.31, , 43.84, , , , , 146.0
2240, GP38-103954, Japanese Patent, 1990, A217332, 9.97, , 5.46, 2.21, 43.36, , , , , 161.7
2241, GP38-103955, Japanese Patent, 1990, A217332, 10.47, , 5.73, 3.43, 45.54, , , , , 166.6
2242, GP38-103956, Japanese Patent, 1990, A217332, 6.79, , 6.66, 7.62, 40.45, , , , , 166.6
2243, GP38-103957, Japanese Patent, 1990, A217332, 9.68, , 7.24, 8.97, 35.9, , , , , 156.8
2244, GP38-103958, Japanese Patent, 1990, A217332, 9.56, , 7.14, 8.85, 34.69, , , , , 155.8
2245, CP20-104132, Japanese Patent    Corning Inc. (US), 1990, A225343, , , 1.7, , , 5.67, , , , 4.14
2246, CP20-104133, Japanese Patent    Corning Inc. (US), 1990, A225343, , , 1.7, , , 5.67, , , , 5.658
2247, CP20-104134, Japanese Patent    Corning Inc. (US), 1990, A225343, , 3.72, 2.18, , 1.8, 14.23, , , , 11.94
2248, CP20-104135, Japanese Patent    Corning Inc. (US), 1990, A225343, , 3.72, 2.18, , 1.8, 14.23, , , , 11.39
2249, CP20-104136, Japanese Patent    Corning Inc. (US), 1990, A225343, , 3.72, 2.18, , 1.8, 14.23, , , , 22.08
2250, CP20-104137, Japanese Patent    Corning Inc. (US), 1990, A225343, , , 2.9, , , 10.89, , , , 8.418
