Search Condition
State,Not Specified
Composition
,Component Unit,mass%
Component,Main,,Component,,,,min,max
,,NOT,B2O3,,,,,,
,*,AND,Na2O,,,,,,
,*,AND,MgO,,,,,,
,,OR,Al2O3,,,,,,
,*,AND,SiO2,,,,,,
,,OR,SO2,SO3,,,,,
,,OR,K2O,,,,,,
,*,AND,CaO,,,,,,
,Total of Main Components >=,95,%
Commercial Glass,
Glass System,
Filler,
Crystal,
Substrate,
Shape,
Usage,
Property
,Property,,,,Unit,min,max
,Young's Modulus at RT,,,,Common,,
OR,Young's Modulus at RT,,,,Common,,
Structure
,Structure,Element,Unit,min,max
Data Source
,Data Source,Year,,Number,Cat No,Pat Co
Glass ID,,
Max Data,50000

List Condition
,Component Unit,mass%
,Property Unit,Common

No., Glass No., Data Source, Year, Data Source Number, SiO2, B2O3, Al2O3, MgO, CaO, Na2O, K2O, SO3, SO2, Young's Modulus at RT ( GPa )
45, GJ06-005826, J. American Ceramic Soc., 1978, v. 061  p. 0248, 16.36, , 23.79, , , , , , , 116.8
46, GJ06-005827, J. American Ceramic Soc., 1978, v. 061  p. 0248, 14.89, , 23.68, , , , , , , 116.7
47, GJ06-005828, J. American Ceramic Soc., 1978, v. 061  p. 0248, 13.91, , 23.61, , , , , , , 112.5
48, GB02-006409, Handbook of Glass Properties, 1986, v. 001  p. 0320, 59.45, , 0.3, , , , , , , 81.0
49, GB02-006410, Handbook of Glass Properties, 1986, v. 001  p. 0320, 67.01, , 0.17, , , , , , , 87.0
50, GB02-006411, Handbook of Glass Properties, 1986, v. 001  p. 0320, 58.88, , 1.01, , , , , , , 77.0
51, GB02-006412, Handbook of Glass Properties, 1986, v. 001  p. 0320, 60.2, , 0.33, , , , , , , 83.0
52, GB02-006413, Handbook of Glass Properties, 1986, v. 001  p. 0320, 76.53, , 0.39, 12.72, , , , , , 86.0
53, GB02-006419, Handbook of Glass Properties, 1986, v. 001  p. 0321, 62.18, , 0.16, , , 16.44, , , , 64.0
54, GB02-006422, Handbook of Glass Properties, 1986, v. 001  p. 0321, 59.96, , 0.15, , , 15.04, , , , 74.0
55, GB02-006424, Handbook of Glass Properties, 1986, v. 001  p. 0321, 67.91, , 0.53, 11.12, , 20.44, , , , 72.0
56, GB02-006459, Handbook of Glass Properties, 1986, v. 001  p. 0325, 51.05, , 0.26, , , , 21.37, , , 57.0
57, GB02-006460, Handbook of Glass Properties, 1986, v. 001  p. 0325, 55.0, , , , , , 14.78, , , 61.2
58, GB02-006461, Handbook of Glass Properties, 1986, v. 001  p. 0325, 56.57, , 0.29, , , , 22.95, , , 61.0
59, GB02-006462, Handbook of Glass Properties, 1986, v. 001  p. 0325, 61.84, , , , , , 16.62, , , 64.6
60, GB02-006463, Handbook of Glass Properties, 1986, v. 001  p. 0325, 51.43, , 0.89, , , , 18.87, , , 54.0
61, GB02-006464, Handbook of Glass Properties, 1986, v. 001  p. 0325, 51.95, , , , , , 13.96, , , 61.5
62, GB02-006465, Handbook of Glass Properties, 1986, v. 001  p. 0325, 61.05, , , , 14.91, , 24.03, , , 45.0
63, GB02-006466, Handbook of Glass Properties, 1986, v. 001  p. 0325, 66.28, , , , 15.91, , 17.81, , , 72.1
64, GB02-006467, Handbook of Glass Properties, 1986, v. 001  p. 0325, 69.38, , , 11.97, , , 18.65, , , 63.5
65, GB02-006468, Handbook of Glass Properties, 1986, v. 001  p. 0325, 67.49, , 0.51, , , , 24.99, , , 68.0
66, GB02-006469, Handbook of Glass Properties, 1986, v. 001  p. 0325, 72.69, , , , , , 19.53, , , 71.2
67, GB02-006470, Handbook of Glass Properties, 1986, v. 001  p. 0326, 53.63, , , , , , 34.28, , , 54.4
68, GB02-006471, Handbook of Glass Properties, 1986, v. 001  p. 0326, 46.63, , , , , , 29.84, , , 60.3
69, GB02-006472, Handbook of Glass Properties, 1986, v. 001  p. 0326, 60.05, , , , , , 29.69, , , 54.3
70, GB02-006473, Handbook of Glass Properties, 1986, v. 001  p. 0326, 56.75, , , , , , 28.0, , , 56.6
71, GB02-006474, Handbook of Glass Properties, 1986, v. 001  p. 0326, 39.86, , , , , , 25.45, , , 65.9
72, GB02-006475, Handbook of Glass Properties, 1986, v. 001  p. 0326, 53.33, , , , , , 26.33, , , 60.1
73, GB02-006476, Handbook of Glass Properties, 1986, v. 001  p. 0326, 49.93, , , , , , 24.7, , , 60.4
74, GB02-006477, Handbook of Glass Properties, 1986, v. 001  p. 0326, 46.53, , , , , , 23.0, , , 62.1
75, GB02-006478, Handbook of Glass Properties, 1986, v. 001  p. 0326, 66.86, , , , , , 24.69, , , 56.1
76, GB02-006479, Handbook of Glass Properties, 1986, v. 001  p. 0326, 43.17, , , , , , 21.34, , , 66.8
77, GB02-006480, Handbook of Glass Properties, 1986, v. 001  p. 0326, 40.53, , , , , , 20.06, , , 68.3
78, GB02-006481, Handbook of Glass Properties, 1986, v. 001  p. 0326, 60.46, , , , , , 22.3, , , 60.0
79, GB02-006482, Handbook of Glass Properties, 1986, v. 001  p. 0326, 53.78, , , , , , 19.86, , , 63.8
80, GB02-006483, Handbook of Glass Properties, 1986, v. 001  p. 0326, 72.26, , , , , , 20.63, , , 58.5
81, GB02-006484, Handbook of Glass Properties, 1986, v. 001  p. 0326, 73.03, , , , , , 20.0, , , 58.7
82, GB02-006485, Handbook of Glass Properties, 1986, v. 001  p. 0326, 46.9, , , , , , 17.27, , , 68.6
83, GB02-006486, Handbook of Glass Properties, 1986, v. 001  p. 0326, 67.22, , , , , , 18.47, , , 61.6
