Search Condition
State,Glass
Composition
,Component Unit,mass%
,Numerical
Component,Main,,Component,,,,min,max
,,NOT,B2O3,,,,,,
,Total of Main Components >=,90,%
Commercial Glass,null
Glass System,Alkali Silicate
Filler,
Crystal,
Substrate,
Shape,
Usage,
Property
Numerical
,Property,,,,Unit,min,max
,Fracture Toughness,,,,Common,,
Structure
,Structure,Element,Unit,min,max
Data Source
,Data Source,Year,,Number,Cat No,Pat Co
Glass ID,,
Max Data,1000

List Condition
,Component Unit,mass%
,Property Unit,Common

No., Glass No., Data Source, Year, Data Source Number, SiO2, Al2O3, MgO, CaO, Na2O, K2O, SO3, Fracture Toughness ( MPa.m1/2 ), Fracture Toughness (Predictive Value), Fracture Toughness (Residual)
167, GI06-191659R, NGF's Additional New Data (J), 2001, v. 004  p. 0001, 52.11, 21.0, , , 9.02, , , 1.07, , 
168, GI06-191660R, NGF's Additional New Data (J), 2001, v. 004  p. 0001, 48.55, 20.67, , 0.00998, 8.38, , , 0.75, , 
169, GI06-191661R, NGF's Additional New Data (J), 2001, v. 004  p. 0001, 53.51, 23.63, 12.77, , 9.79, , , 1.18, 0.8335171883527497, 0.34648281164725026
170, GI06-191662R, NGF's Additional New Data (J), 2001, v. 004  p. 0001, 50.49, 22.02, 0.1, 17.61, 9.38, , , 0.76, 0.6337412943106702, 0.12625870568932984
171, GI06-191663R, NGF's Additional New Data (J), 2001, v. 004  p. 0001, 39.13, 18.04, , , 7.32, , , 0.64, , 
172, GI06-191664R, NGF's Additional New Data (J), 2001, v. 004  p. 0001, 47.09, 21.15, , 0.009923, 8.72, , , 0.94, , 
173, GI06-191665R, NGF's Additional New Data (J), 2001, v. 004  p. 0001, 43.37, 20.05, , 0.009907, 7.99, , , 0.71, , 
174, GI06-191666R, NGF's Additional New Data (J), 2001, v. 004  p. 0001, 55.75, 23.11, 9.03, , 4.7, 7.11, , 1.15, 0.912317254108731, 0.23768274589126892
175, GI06-191667R, NGF's Additional New Data (J), 2001, v. 004  p. 0001, 53.07, 22.22, 0.07, 12.69, 4.67, 6.96, , 0.79, 0.7563013985278895, 0.03369860147211057
176, GI06-191668R, NGF's Additional New Data (J), 2001, v. 004  p. 0001, 43.58, 18.96, , , 3.74, 5.55, , 0.74, , 
177, GI06-191669R, NGF's Additional New Data (J), 2001, v. 004  p. 0001, 49.77, 21.32, , 0.01, 4.44, 6.59, , 1.04, , 
178, GI06-191670, NGF's Additional New Data (J), 2001, v. 004  p. 0001, 48.73, 19.26, , 0.00999, 4.22, 6.34, , 0.78, , 
179, GI06-191671R, NGF's Additional New Data (J), 2001, v. 004  p. 0001, 51.96, 23.4, 12.28, , 5.0, 7.36, , 1.06, 0.830295382797274, 0.22970461720272606
180, GI06-191672R, NGF's Additional New Data (J), 2001, v. 004  p. 0001, 49.39, 21.85, , 17.02, 4.71, 7.03, , 0.81, 0.6217992409072641, 0.18820075909273593
181, GI06-191673R, NGF's Additional New Data (J), 2001, v. 004  p. 0001, 38.15, 16.91, , , 3.55, 5.25, , 0.64, , 
182, GI06-191674R, NGF's Additional New Data (J), 2001, v. 004  p. 0001, 44.75, 21.24, , , 4.53, 6.93, , 1.07, , 
183, GI06-191675R, NGF's Additional New Data (J), 2001, v. 004  p. 0001, 42.91, 19.42, , , 4.13, 6.08, , 0.72, , 
184, GI06-191676, NGF's Additional New Data (J), 2001, v. 004  p. 0001, 62.13, 24.61, , , 0.07, , , 1.12, , 
185, GI06-191678, NGF's Additional New Data (J), 2001, v. 004  p. 0001, 64.54, 25.45, 2.76, , 0.06, , , 1.24, , 
186, GI06-191679, NGF's Additional New Data (J), 2001, v. 004  p. 0001, 60.24, 24.73, , , 0.07, , , 1.05, , 
187, GI06-191680, NGF's Additional New Data (J), 2001, v. 004  p. 0001, 62.14, 24.6, , , 0.06, , , 1.2, , 
188, GI06-191682, NGF's Additional New Data (J), 2001, v. 004  p. 0001, 58.99, 24.53, , , 0.09, , , 1.39, , 
189, GI06-191683, NGF's Additional New Data (J), 2001, v. 004  p. 0001, 63.3, 24.91, , 4.54, 0.08, , , 1.15, , 
190, GI06-191684, NGF's Additional New Data (J), 2001, v. 004  p. 0001, 58.21, 22.96, , , 0.09, , , 1.04, , 
191, GI06-191686, NGF's Additional New Data (J), 2001, v. 004  p. 0001, 60.08, 23.78, , , 7.11, , , 1.1, , 
192, GI06-191687R, NGF's Additional New Data (J), 2001, v. 004  p. 0001, 62.3, 24.31, 2.43, , 7.57, , , 1.17, , 
193, GI06-191688R, NGF's Additional New Data (J), 2001, v. 004  p. 0001, 58.93, 23.35, , , 7.29, , , 1.08, , 
194, GI06-191689R, NGF's Additional New Data (J), 2001, v. 004  p. 0001, 60.71, 22.71, , , 7.2, , , 1.2, , 
195, GI06-191691, NGF's Additional New Data (J), 2001, v. 004  p. 0001, 52.34, 21.4, , , 6.45, 9.6, , 1.16, , 
196, GI06-191692R, NGF's Additional New Data (J), 2001, v. 004  p. 0001, 61.17, 23.78, , 4.34, 7.36, , , 1.09, , 
197, GI06-191693R, NGF's Additional New Data (J), 2001, v. 004  p. 0001, 56.5, 22.3, , , 6.76, , , 1.03, , 
198, GI03-191694R, NGF's Additional New Data (J), 2001, v. 004  p. 0003, 46.21, 6.1, , , 4.67, 5.42, , 0.57, , 
199, GI03-191695R, NGF's Additional New Data (J), 2001, v. 004  p. 0003, 47.88, 6.46, , , 4.58, 5.42, , 0.62, , 
200, GI03-191696, NGF's Additional New Data (J), 2001, v. 004  p. 0003, 50.58, 6.47, , , 4.65, 6.02, , 0.58, , 
201, GI03-191697, NGF's Additional New Data (J), 2001, v. 004  p. 0003, 50.25, 6.69, , , 4.99, 6.22, , 0.54, , 
202, GI03-191698R, NGF's Additional New Data (J), 2001, v. 004  p. 0003, 53.39, 6.92, , , 5.1, 6.58, , 0.49, , 
203, GI03-191699R, NGF's Additional New Data (J), 2001, v. 004  p. 0003, 48.72, 6.5, , 3.45, 4.76, 5.98, , 0.57, , 
204, GI03-191700R, NGF's Additional New Data (J), 2001, v. 004  p. 0003, 50.55, 6.56, , 3.62, 5.38, 6.53, , 0.56, , 
205, GI03-191701, NGF's Additional New Data (J), 2001, v. 004  p. 0003, 52.35, 6.89, , 3.8, 5.38, 6.82, , 0.61, , 
206, GI03-191702R, NGF's Additional New Data (J), 2001, v. 004  p. 0003, 54.61, 7.16, , 3.95, 5.75, 7.2, , 0.58, , 
207, GI03-191703R, NGF's Additional New Data (J), 2001, v. 004  p. 0003, 52.97, 6.97, , 7.89, 4.95, 6.2, , 0.64, , 
208, GI03-191704R, NGF's Additional New Data (J), 2001, v. 004  p. 0003, 54.81, 7.22, 0.06, 7.72, 5.37, 6.59, , 0.66, , 
209, GI03-191705R, NGF's Additional New Data (J), 2001, v. 004  p. 0003, 56.64, 7.47, 0.06, 8.21, 5.65, 7.19, , 0.62, , 
210, GI03-191706, NGF's Additional New Data (J), 2001, v. 004  p. 0003, 56.45, 7.6, 0.13, 12.23, 5.21, 6.59, , 0.64, , 
211, GI03-191707R, NGF's Additional New Data (J), 2001, v. 004  p. 0003, 58.22, 7.64, 0.04, 12.62, 6.03, 7.69, , 0.69, , 
212, GI03-191708R, NGF's Additional New Data (J), 2001, v. 004  p. 0003, 61.17, 8.02, 0.14, 17.87, 5.52, 7.28, , 0.72, 0.6463572414092034, 0.07364275859079661
213, GI03-191709R, NGF's Additional New Data (J), 2001, v. 004  p. 0003, 61.76, 8.09, 3.07, 13.11, 6.06, 7.91, , 0.71, 0.7104970746855523, -4.970746855523789E-4
214, GI03-191710R, NGF's Additional New Data (J), 2001, v. 004  p. 0003, 59.47, 7.9, 2.84, 9.07, 5.54, 7.24, , 0.63, , 
215, GI03-191711R, NGF's Additional New Data (J), 2001, v. 004  p. 0003, 57.44, 7.54, 2.59, 4.1, 5.49, 7.04, , 0.72, , 
216, GI03-191712, NGF's Additional New Data (J), 2001, v. 004  p. 0003, 63.17, 8.07, 6.13, 9.16, 5.82, 7.65, , 0.76, 0.7584897886035403, 0.001510211396459682
217, GI03-191713R, NGF's Additional New Data (J), 2001, v. 004  p. 0003, 55.66, 7.25, 2.73, , 5.4, 6.77, , 0.7, , 
218, GI03-191714, NGF's Additional New Data (J), 2001, v. 004  p. 0003, 60.24, 8.07, 5.81, 4.36, 5.68, 6.95, , 0.72, , 
219, GI03-191715R, NGF's Additional New Data (J), 2001, v. 004  p. 0003, 56.93, 7.49, 5.67, , 5.53, 6.86, , 0.73, , 
220, GI03-191716, NGF's Additional New Data (J), 2001, v. 004  p. 0003, 62.69, 8.42, 9.98, 4.96, 6.29, 7.66, , 0.81, 0.7993812767722468, 0.010618723227753257
221, GI03-191717, NGF's Additional New Data (J), 2001, v. 004  p. 0003, 60.93, 8.15, 8.76, , 5.88, 7.33, , 0.86, , 
222, GI03-191718, NGF's Additional New Data (J), 2001, v. 004  p. 0003, 66.84, 8.28, 11.79, , 5.77, 7.32, , 0.93, 0.8827950982328823, 0.04720490176711778
223, GI03-191736, NGF's Additional New Data (J), 2001, v. 004  p. 0003, 55.36, 11.19, 1.41, 21.35, 0.04, 7.22, , 0.79, , 
224, GI03-191737R, NGF's Additional New Data (J), 2001, v. 004  p. 0003, 55.79, 11.35, 1.74, 21.4, 2.57, 3.79, , 0.62, , 
225, GI03-191745R, NGF's Additional New Data (J), 2001, v. 004  p. 0003, 60.88, 12.43, 2.74, 13.3, 10.04, , , 0.7, 0.7540598892481278, -0.05405988924812788
226, GI03-191746R, NGF's Additional New Data (J), 2001, v. 004  p. 0003, 57.48, 10.98, 2.71, 13.04, 0.1, 15.18, , 0.79, 0.8240909996132278, -0.03409099961322781
227, GI03-191747R, NGF's Additional New Data (J), 2001, v. 004  p. 0005, 60.49, 11.52, 2.86, 12.61, 5.07, 7.45, , 0.68, 0.7146930204480386, -0.03469302044803857
228, GI06-191748, NGF's Additional New Data (J), 2001, v. 004  p. 0005, 52.41, 25.5, , , 8.78, 12.93, , 1.14, 1.0085352897941473, 0.1314647102058526
229, GI02-191756R, NGF's Additional New Data (J), 2001, v. 004  p. 0005, 44.92, 15.78, , , 9.27, 13.61, , 0.59, , 
230, GI03-191757R, NGF's Additional New Data (J), 2001, v. 004  p. 0005, 34.43, 12.26, , , 7.32, 10.86, , 0.47, , 
231, GI07-191758, NGF's Additional New Data (J), 2001, v. 004  p. 0005, 41.64, 14.42, , , 8.75, 13.15, , 0.75, , 
232, GI02-191759R, NGF's Additional New Data (J), 2001, v. 004  p. 0005, 45.13, 15.21, 4.43, , 14.06, 21.17, , 0.7, 0.9329066610458498, -0.2329066610458499
233, GI02-191760R, NGF's Additional New Data (J), 2001, v. 004  p. 0005, 43.27, 14.77, , 8.02, 13.54, 20.4, , 0.63, 0.8194251415281469, -0.18942514152814693
234, GI02-191761R, NGF's Additional New Data (J), 2001, v. 004  p. 0005, 37.26, 13.01, , , 11.72, 17.58, , 0.59, , 
235, GI02-191762R, NGF's Additional New Data (J), 2001, v. 004  p. 0005, 41.68, 14.33, , , 13.14, 19.7, , 0.68, , 
236, GI02-191763R, NGF's Additional New Data (J), 2001, v. 004  p. 0005, 42.37, 21.21, 2.43, , 13.88, 20.11, , 0.61, 0.9328530449119353, -0.32285304491193534
237, GI02-191764, NGF's Additional New Data (J), 2001, v. 004  p. 0005, 41.98, 21.6, , 3.78, 13.09, 19.55, , 0.63, 0.8829505042611946, -0.2529505042611946
238, GI02-191765R, NGF's Additional New Data (J), 2001, v. 004  p. 0005, 38.93, 20.48, , , 12.28, 17.48, , 0.57, , 
239, GI02-191766R, NGF's Additional New Data (J), 2001, v. 004  p. 0005, 41.46, 21.46, , , 12.9, 19.25, , 0.77, , 
240, GI02-191767R, NGF's Additional New Data (J), 2001, v. 004  p. 0005, 51.55, 15.0, , , 13.3, 20.15, , 0.74, 0.9823298715285371, -0.24232987152853713
241, GI02-191769R, NGF's Additional New Data (J), 2001, v. 004  p. 0005, 62.03, 15.01, , , 9.35, 13.61, , 0.9, 0.9852174526017796, -0.0852174526017796
242, GI03-191913, NGF's Additional New Data (J), 2001, v. 004  p. 0011, 60.43, , 0.08, 20.18, 19.31, , , 0.6, 0.5525569659349708, 0.047443034065029144
243, GI03-191924, NGF's Additional New Data (J), 2001, v. 004  p. 0011, 48.97, , 1.78, 20.19, 22.67, , , 0.61, , 
244, GI03-191926R, NGF's Additional New Data (J), 2001, v. 004  p. 0011, 48.4, , 5.71, 16.51, 22.68, , , 0.52, , 
245, GI03-191928R, NGF's Additional New Data (J), 2001, v. 004  p. 0011, 48.55, , 9.33, 11.07, 23.99, , , 0.54, , 
246, GI03-191929R, NGF's Additional New Data (J), 2001, v. 004  p. 0011, 48.5, , 0.09, 21.84, 20.18, , , 0.51, , 
247, GI03-191930R, NGF's Additional New Data (J), 2001, v. 004  p. 0011, 45.53, , 0.11, 20.31, 20.42, , , 0.49, , 
248, GI03-191931R, NGF's Additional New Data (J), 2001, v. 004  p. 0011, 43.42, , 0.12, 20.07, 19.35, , , 0.52, , 
249, GI03-191932R, NGF's Additional New Data (J), 2001, v. 004  p. 0011, 48.24, , 0.08, 19.35, 20.34, , , 0.51, , 
250, GJ02-194397, J. Non-Crystalline Solids, 2000, v. 263  p. 0207, 79.5, , , , 20.5, , , 0.8, , 
251, GJ02-203516, J. Non-Crystalline Solids, 2000, v. 272  p. 0034, 72.29, 0.6, 4.02, 9.64, 13.45, , , 0.9, , 
252, GJ02-207737, J. Ceramic Soc. Japan, 2001, v. 109  p. 0511, 79.5, , , , 20.5, , , 0.81, , 
253, GJ02-208349, J. Materials Science, 2001, v. 035  p. 2427, 73.32, , , 12.18, 14.5, , , 0.75, 0.7366994746237252, 0.013300525376274797
254, GI04-218506, Proc. ICG, 1998, v. A07  p. 0011, 45.0, , , , , 15.0, , 0.76, , 
255, GI04-218508, Proc. ICG, 1998, v. A07  p. 0011, 32.01, , , , , 4.77, , 0.42, , 
256, GI04-218509, Proc. ICG, 1998, v. A07  p. 0011, 32.1, , , , , 4.78, , 0.68, , 
257, GI04-218510, Proc. ICG, 1998, v. A07  p. 0011, 31.91, , , , , 4.76, , 0.54, , 
258, GI04-218511, Proc. ICG, 1998, v. A07  p. 0011, 31.89, , , , , 4.75, , 0.43, , 
259, GI04-218512, Proc. ICG, 1998, v. A07  p. 0011, 32.06, , , , , 4.78, , 0.62, , 
260, GI04-218513, Proc. ICG, 1998, v. A07  p. 0011, 27.35, , , , , 13.07, , 0.46, , 
261, GI04-218514, Proc. ICG, 1998, v. A07  p. 0011, 27.36, , , , , 13.07, , 0.71, , 
262, GI04-218515, Proc. ICG, 1998, v. A07  p. 0011, 25.86, , , , , 12.35, , 0.72, , 
263, GI04-218516, Proc. ICG, 1998, v. A07  p. 0011, 10.56, , , , , 4.04, , 0.54, , 
264, GI04-218517, Proc. ICG, 1998, v. A07  p. 0011, 10.99, , , , , 4.2, , 0.63, , 
265, GI04-218518, Proc. ICG, 1998, v. A07  p. 0011, 10.99, , , , , 4.2, , 0.61, , 
266, GI04-218519, Proc. ICG, 1998, v. A07  p. 0011, 27.3, , , , , 13.04, , 0.46, , 
267, GI04-218520, Proc. ICG, 1998, v. A07  p. 0011, 27.33, , , , , 13.06, , 0.83, , 
268, GI04-218521, Proc. ICG, 1998, v. A07  p. 0011, 10.98, , , , , 4.19, , 0.58, , 
269, GI04-218522, Proc. ICG, 1998, v. A07  p. 0011, 10.98, , , , , 4.2, , 0.5, , 
270, GI02-219059, Proc. ICG, 2000, v. S01  p. 0001, 72.39, 1.88, 3.79, 8.29, 12.7, 0.95, , 0.75, 0.7784866491673499, -0.028486649167349887
271, GI02-219060, Proc. ICG, 2000, v. S01  p. 0001, 77.77, 3.36, 2.66, 0.92, 13.58, 1.71, , 0.9, 0.9335124601420727, -0.03351246014207265
272, GI02-219405, Proc. ICG, 2002, v. P1D  p. 0008, 72.21, 1.92, 4.04, 7.98, 13.85, , , 0.75, 0.7750468861289254, -0.02504688612892536
273, GJ03-220285, J. Ceramic Soc. Japan, 2002, v. 110  p. 0834, *, *, , , , , , 0.75, , 
274, GJ03-220286, J. Ceramic Soc. Japan, 2002, v. 110  p. 0834, *, *, , , , , , 0.64, , 
275, GP03-225007, US Patent    AGC (J), 2002, A6500778, 57.2, 3.0, 1.5, 8.5, 4.8, 8.0, , 0.74, , 
276, GP03-225008, US Patent    AGC (J), 2002, A6500778, 57.6, 7.0, 2.0, 5.0, 4.1, 6.3, , 0.65, , 
277, GP02-225009, US Patent    AGC (J), 2002, A6500778, 71.2, 1.8, 4.0, 9.0, 13.0, 1.0, , 0.75, 0.7608765644631974, -0.010876564463197402
278, GP02-226088, European Patent    Pilkington (GB), 2002, A1218303, 73.15, 0.64, 0.1, 11.71, 13.68, 0.33, 0.3, 0.67, 0.6229050550107604, 0.04709494498923961
279, GP02-226089, European Patent    Pilkington (GB), 2002, A1218303, 71.8, 0.6, 1.1, 10.1, 14.9, 0.3, 0.25, 0.65, 0.7927583616818272, -0.1427583616818272
280, GP02-226090, European Patent    Pilkington (GB), 2002, A1218303, 70.9, 0.6, 3.9, 7.8, 15.3, 0.3, 0.25, 0.71, 0.807733140287296, -0.09773314028729607
281, GJ02-228907, J. Non-Crystalline Solids, 2003, v. 316  p. 0054, 75.8, , , 10.08, 14.12, , , 0.72, 0.7810482535252699, -0.06104825352526988
282, GJ02-228908, J. Non-Crystalline Solids, 2003, v. 316  p. 0054, 71.15, , , 10.76, 18.09, , , 0.71, , 
283, GJ02-228909, J. Non-Crystalline Solids, 2003, v. 316  p. 0054, 74.14, , , 9.63, 16.23, , , 0.7, , 
284, GJ02-228910, J. Non-Crystalline Solids, 2003, v. 316  p. 0054, 77.13, , , 8.51, 14.36, , , 0.76, , 
285, GJ02-228911, J. Non-Crystalline Solids, 2003, v. 316  p. 0054, 80.12, , , 7.38, 12.5, , , 0.82, , 
286, GJ02-228926, J. Non-Crystalline Solids, 2003, v. 316  p. 0153, 72.29, 0.6, 4.02, 9.64, 13.45, , , 0.7, 0.7476083542488519, -0.0476083542488519
287, GJ02-241086, J. Materials Science, 1987, v. 022  p. 1682, 78.45, 6.57, , , 14.98, , , 0.714, 0.9604946546771225, -0.2464946546771225
288, GC02-242672, Schott AG (DE), 2008, IOG-10, *, , , , , , , 0.71, , 
289, GC02-245061, Corning Inc. (US), 2010, GORILLA, *, *, , , , , , 0.7, , 
290, GI02-245501, Proc. Japan Cong. Materials Res. (J), 1991, v. 034  p. 0149, 70.0, , , 5.0, 25.0, , , 0.77, 0.8380283990927782, -0.06802839909277814
291, GJ02-251547, J. Materials Science, 2003, v. 038  p. 1063, 69.4, 2.4, 4.7, 7.58, 14.33, 1.49, , 0.89, 0.7907201800329666, 0.09927981996703339
292, GJ02-251548, J. Materials Science, 2003, v. 038  p. 1063, 71.79, 2.07, 4.1, 6.73, 13.58, 1.63, , 0.87, 0.8190686460589033, 0.05093135394109671
293, GP06-256018, Japanese Patent    Konica Minolta (J), 2004, A161597, 52.99, 12.48, 4.29, 6.29, 4.49, 2.3, , 0.88, , 
294, GI02-257643, Proc. ICG, 2004, v. 007  p. 0019, *, , , *, *, , , 0.72, , 
295, GI02-257644, Proc. ICG, 2004, v. 007  p. 0019, 71.15, , , 10.76, 18.09, , , 0.7, , 
296, GI02-257645, Proc. ICG, 2004, v. 007  p. 0019, 74.14, , , 9.63, 16.23, , , 0.71, , 
297, GI02-257646, Proc. ICG, 2004, v. 007  p. 0019, 77.13, , , 8.51, 14.36, , , 0.76, , 
298, GI02-257647, Proc. ICG, 2004, v. 007  p. 0019, 80.12, , , 7.38, 12.5, , , 0.82, , 
299, GJ02-258697, Physics and Chemistry of  Glasses, 2004, v. 045  p. 0037, 76.82, 3.34, , 4.6, 15.24, , , 0.75, 0.8765985455806112, -0.12659854558061123
300, GJ02-258698, Physics and Chemistry of  Glasses, 2004, v. 045  p. 0037, 77.33, 3.36, 1.66, 2.31, 15.34, , , 0.77, 0.9048442626091124, -0.13484426260911242
301, GJ02-258699, Physics and Chemistry of  Glasses, 2004, v. 045  p. 0037, 77.82, 3.39, 3.35, , 15.44, , , 0.79, 0.9331407623555376, -0.14314076235553752
302, GJ02-258700, Physics and Chemistry of  Glasses, 2004, v. 045  p. 0037, 75.03, 3.4, 4.03, , 17.54, , , 0.78, 0.9168403175755484, -0.13684031757554838
303, GJ02-258701, Physics and Chemistry of  Glasses, 2004, v. 045  p. 0037, 72.08, 9.78, 1.29, , 16.85, , , 0.76, 0.9279049596116764, -0.1679049596116764
304, GJ02-258702, Physics and Chemistry of  Glasses, 2004, v. 045  p. 0037, 78.23, 3.36, 2.66, 0.92, 13.28, 1.55, , 0.8, 0.9344508894055554, -0.13445088940555538
305, GJ02-258703, Physics and Chemistry of  Glasses, 2004, v. 045  p. 0037, 76.83, 3.36, 2.66, 2.31, 13.29, 1.55, , 0.81, 0.9061258683838638, -0.09612586838386372
306, GJ02-258704, Physics and Chemistry of  Glasses, 2004, v. 045  p. 0037, 75.41, 3.37, 2.66, 3.7, 13.3, 1.56, , 0.76, 0.8777886657100751, -0.11778866571007507
307, GJ02-258705, Physics and Chemistry of  Glasses, 2004, v. 045  p. 0037, 71.15, , , 10.76, 18.09, , , 0.71, , 
308, GJ02-258706, Physics and Chemistry of  Glasses, 2004, v. 045  p. 0037, 74.14, , , 9.63, 16.23, , , 0.7, 0.781209222761127, -0.08120922276112708
309, GJ02-258707, Physics and Chemistry of  Glasses, 2004, v. 045  p. 0037, 77.13, , , 8.51, 14.36, , , 0.76, 0.8119699602803252, -0.05196996028032519
310, GJ02-258708, Physics and Chemistry of  Glasses, 2004, v. 045  p. 0037, 80.12, , , 7.38, 12.5, , , 0.82, , 
311, GJ02-258709, Physics and Chemistry of  Glasses, 2004, v. 045  p. 0037, 81.24, , 4.09, , 14.67, , , 0.74, 0.9398076865723, -0.19980768657229997
312, GJ02-258710, Physics and Chemistry of  Glasses, 2004, v. 045  p. 0037, 78.23, , 6.91, , 14.86, , , 0.78, 0.9086643934284149, -0.12866439342841485
313, GJ02-258711, Physics and Chemistry of  Glasses, 2004, v. 045  p. 0037, 75.13, , 9.8, , 15.07, , , 0.82, 0.8766828834982207, -0.056682883498220704
314, GJ02-259428, J. Non-Crystalline Solids, 2004, v. 344  p. 0037, 72.69, , , , 27.31, , , 0.96, 0.9299157882832196, 0.03008421171678033
315, GJ02-259429, J. Non-Crystalline Solids, 2004, v. 344  p. 0037, 66.48, 8.76, , , 24.76, , , 0.95, 0.9114727620575775, 0.03852723794242241
316, GJ02-259430, J. Non-Crystalline Solids, 2004, v. 344  p. 0037, 61.43, 16.2, , , 22.37, , , 0.9, 0.8967648138324227, 0.003235186167577342
317, GJ02-259431, J. Non-Crystalline Solids, 2004, v. 344  p. 0037, 54.78, 23.58, , , 21.64, , , 0.91, 0.8751808539477548, 0.03481914605224523
318, GJ02-259432, J. Non-Crystalline Solids, 2004, v. 344  p. 0037, 46.55, 30.74, , , 22.71, , , 0.88, 0.8466594600555422, 0.03334053994445785
319, GJ02-259433, J. Non-Crystalline Solids, 2004, v. 344  p. 0037, 41.43, 36.37, , , 22.2, , , 0.86, 0.8299937198447584, 0.030006280155241538
320, GJ02-259434, J. Non-Crystalline Solids, 2004, v. 344  p. 0037, 37.06, 41.83, , , 21.11, , , 0.875, 0.8163694729278048, 0.05863052707219518
321, GJ02-259435, J. Non-Crystalline Solids, 2004, v. 344  p. 0037, 33.8, 44.71, , , 21.49, , , 0.87, 0.8051120039581261, 0.0648879960418739
322, GJ02-259436, J. Non-Crystalline Solids, 2004, v. 344  p. 0044, 72.13, 0.69, 4.03, 9.7, 13.45, , , 0.7, 0.7459787955204834, -0.04597879552048345
323, GJ02-259437, J. Non-Crystalline Solids, 2004, v. 344  p. 0044, 79.46, 3.41, 2.7, 0.94, 13.49, , , 0.71, 0.9292524324446048, -0.2192524324446048
324, GJ02-259439, J. Non-Crystalline Solids, 2004, v. 344  p. 0044, 71.15, , , 10.76, 18.09, , , 0.71, 0.7502876460922513, -0.04028764609225133
325, GJ02-259440, J. Non-Crystalline Solids, 2004, v. 344  p. 0044, 80.12, , , 7.38, 12.5, , , 0.73, 0.8428915369492008, -0.11289153694920084
326, GP02-268887, Japanese Patent    Central Glass (J), 2005, A324992, 64.3, 6.0, 10.2, 4.0, 5.9, 6.7, , 0.87, , 
327, GP02-268888, Japanese Patent    Central Glass (J), 2005, A324992, 63.3, 6.4, 10.5, 2.1, 6.0, 8.8, , 0.88, , 
328, GP02-268889, Japanese Patent    Central Glass (J), 2005, A324992, 63.2, 6.5, 10.6, 0.6, 6.0, 8.8, , 0.82, , 
329, GP02-268890, Japanese Patent    Central Glass (J), 2005, A324992, 62.1, 7.4, 11.2, 0.2, 7.8, 7.6, , 0.85, , 
330, GP02-268891, Japanese Patent    Central Glass (J), 2005, A324992, 57.9, 11.0, 12.3, 0.2, 7.9, 7.8, , 0.88, , 
331, GP02-268892, Japanese Patent    Central Glass (J), 2005, A324992, 60.0, 10.1, 13.7, 0.2, 6.5, 9.5, , 0.94, 0.8536177971890203, 0.08638220281097964
332, GP02-268893, Japanese Patent    Central Glass (J), 2005, A324992, 61.3, 7.5, 11.1, 0.7, 6.9, 7.8, , 0.85, , 
333, GP02-268894, Japanese Patent    Central Glass (J), 2005, A324992, 61.4, 7.9, 15.8, 0.2, 6.1, 7.7, , 0.91, 0.9723035038569954, -0.062303503856995346
334, GP02-268978, Japanese Patent    Central Glass (J), 2005, A343729, 63.5, 4.5, 10.5, 0.5, 4.5, 14.0, , 0.87, , 
335, GP02-268979, Japanese Patent    Central Glass (J), 2005, A343729, 64.0, 4.5, 11.5, 0.5, 5.0, 10.5, , 0.838, , 
336, GP02-268980, Japanese Patent    Central Glass (J), 2005, A343729, 64.0, 2.0, 15.0, 0.5, 6.0, 8.5, , 0.834, , 
337, GP02-268981, Japanese Patent    Central Glass (J), 2005, A343729, 65.0, 1.0, 10.5, 2.0, 3.0, 11.0, , 0.774, , 
338, GP02-268982, Japanese Patent    Central Glass (J), 2005, A343729, 65.0, 1.5, 13.0, 1.5, 6.0, 8.0, , 0.806, , 
339, GP02-268983, Japanese Patent    Central Glass (J), 2005, A343729, 65.0, 3.0, 11.0, 1.0, 4.0, 11.5, , 0.819, , 
340, GP02-268984, Japanese Patent    Central Glass (J), 2005, A343729, 65.5, 2.0, 11.0, 1.0, 3.5, 11.5, , 0.819, , 
341, GP02-268985, Japanese Patent    Central Glass (J), 2005, A343729, 68.0, 1.0, 16.0, , 6.0, 8.0, , 0.875, 1.013491494930225, -0.13849149493022495
342, GP02-271938, Japanese Patent    Central Glass (J), 2006, A096594, 66.0, 1.0, 11.0, , 4.0, 15.5, , 0.767, , 
343, GP02-271939, Japanese Patent    Central Glass (J), 2006, A096594, 64.5, 2.0, 11.5, , 4.0, 15.5, , 0.775, , 
344, GP02-271940, Japanese Patent    Central Glass (J), 2006, A096594, 64.5, 3.0, 10.5, 0.5, 4.0, 15.5, , 0.797, , 
345, GP02-271941, Japanese Patent    Central Glass (J), 2006, A096594, 64.0, 3.5, 10.0, , 3.5, 16.5, , 0.805, , 
346, GP02-271942, Japanese Patent    Central Glass (J), 2006, A096594, 63.0, 4.0, 10.0, , 5.0, 14.0, , 0.784, , 
347, GP02-272116, Japanese Patent    Central Glass (J), 2006, A131482, 68.3, 2.8, 4.0, 9.1, 2.5, 11.0, , 0.79, , 
348, GP02-272117, Japanese Patent    Central Glass (J), 2006, A131482, 66.8, 0.6, 16.0, 2.2, 3.1, 7.2, , 0.77, , 
349, GP02-272118, Japanese Patent    Central Glass (J), 2006, A131482, 66.9, 1.2, 11.1, 0.2, 4.1, 13.6, , 0.79, , 
