Search Condition
State,Glass
Composition
,Component Unit,mass%
,Numerical
Component,Main,,Component,,,,min,max
,,NOT,B2O3,,,,,,
,Total of Main Components >=,90,%
Commercial Glass,null
Glass System,Alkali Silicate
Filler,
Crystal,
Substrate,
Shape,
Usage,
Property
Numerical
,Property,,,,Unit,min,max
,Fracture Toughness,,,,Common,,
Structure
,Structure,Element,Unit,min,max
Data Source
,Data Source,Year,,Number,Cat No,Pat Co
Glass ID,,
Max Data,1000

List Condition
,Component Unit,mass%
,Property Unit,Common

No., Glass No., Data Source, Year, Data Source Number, SiO2, Al2O3, MgO, CaO, Na2O, K2O, SO3, Fracture Toughness ( MPa.m1/2 ), Fracture Toughness (Predictive Value), Fracture Toughness (Residual)
41, GI02-047447, Proc. ICG, 1986, v. 001  p. 0225, 85.78, , , , , , , 0.75, , 
42, GI02-047448, Proc. ICG, 1986, v. 001  p. 0225, 85.77, , , , , , , 0.9, , 
43, GI02-047449, Proc. ICG, 1986, v. 001  p. 0225, 85.76, , , , , , , 0.95, , 
44, GI02-047450, Proc. ICG, 1986, v. 001  p. 0225, 85.75, , , , , , , 1.05, , 
45, GI02-047451, Proc. ICG, 1986, v. 001  p. 0225, 85.78, , , , , , , 1.15, , 
46, GI02-047452, Proc. ICG, 1986, v. 001  p. 0225, 85.75, , , , , , , 1.2, , 
47, GI02-047453, Proc. ICG, 1986, v. 001  p. 0225, 74.41, , , , 25.59, , , 1.3, , 
48, GI02-047454, Proc. ICG, 1986, v. 001  p. 0225, 74.41, , , , 25.58, , , 1.5, , 
49, GI02-047455, Proc. ICG, 1986, v. 001  p. 0225, 74.41, , , , 25.58, , , 1.8, 0.9388025313651539, 0.8611974686348461
50, GI02-047456, Proc. ICG, 1986, v. 001  p. 0225, 74.26, , , , 25.53, , , 1.45, 0.969246320195464, 0.480753679804536
51, GI02-047457, Proc. ICG, 1986, v. 001  p. 0225, 74.24, , , , 25.52, , , 1.4, 0.9738235463400412, 0.4261764536599587
52, GI02-081685, Proc. ICG, 2001, v. 002  p. 0233, 68.2, , , 9.09, 15.07, 7.64, , 0.64, 0.8134011659018262, -0.1734011659018262
53, GI02-081686, Proc. ICG, 2001, v. 002  p. 0233, 66.47, , , 8.86, 9.79, 14.88, , 0.66, 0.8559983402774046, -0.1959983402774046
54, GI02-081687, Proc. ICG, 2001, v. 002  p. 0233, 64.81, , , 8.64, 4.78, 21.77, , 0.6, 0.8964961359161074, -0.29649613591610746
55, GI02-081688, Proc. ICG, 2001, v. 002  p. 0233, 63.24, , , 8.43, , 28.33, , 0.63, 0.9351076415809152, -0.3051076415809152
56, GI02-081689, Proc. ICG, 2001, v. 002  p. 0233, 75.15, , , 9.35, 15.5, , , 0.98, , 
57, GI02-081690, Proc. ICG, 2001, v. 002  p. 0233, 75.65, , 1.69, 7.06, 15.6, , , 1.24, , 
58, GI02-081691, Proc. ICG, 2001, v. 002  p. 0233, 75.89, , 2.55, 5.9, 15.66, , , 1.09, , 
59, GI02-081692, Proc. ICG, 2001, v. 002  p. 0233, 76.14, , 3.41, 4.74, 15.71, , , 0.86, , 
60, GI02-081693, Proc. ICG, 2001, v. 002  p. 0233, 76.4, , 4.27, 3.57, 15.76, , , 0.99, , 
61, GI02-081694, Proc. ICG, 2001, v. 002  p. 0233, 76.67, , 5.14, 2.38, 15.81, , , 0.82, , 
62, GI02-081695, Proc. ICG, 2001, v. 002  p. 0233, 77.18, , 6.9, , 15.92, , , 0.92, , 
63, GJ02-084103, J. American Ceramic Soc., 1974, v. 057  p. 0336, 72.0, 2.0, 4.0, 7.0, 14.0, 1.0, , 0.81, 0.7966382529434485, 0.013361747056551576
64, GJ04-084104, J. American Ceramic Soc., 1974, v. 057  p. 0336, 35.0, , , , 4.0, , , 0.87, , 
65, GJ02-087942, J. Non-Crystalline Solids, 1984, v. 064  p. 0249, 77.42, , , 7.53, 15.05, , , 0.75, 0.8289685040721275, -0.07896850407212752
66, GJ02-087943, J. Non-Crystalline Solids, 1984, v. 064  p. 0249, 70.0, , , 15.0, 15.0, , , 0.7, 0.6771892494154867, 0.022810750584513206
67, GJ02-087944, J. Non-Crystalline Solids, 1984, v. 064  p. 0249, 75.0, , , 12.0, 13.0, , , 0.75, 0.746756634377774, 0.0032433656222260465
68, GJ02-087945, J. Non-Crystalline Solids, 1984, v. 064  p. 0249, 80.0, , , 10.0, 10.0, , , 0.65, 0.8002401043723321, -0.15024010437233204
69, GJ02-087946, J. Non-Crystalline Solids, 1984, v. 064  p. 0249, 85.0, , , 5.0, 10.0, , , 0.67, 0.9019753192700776, -0.23197531927007753
70, GJ02-087947, J. Non-Crystalline Solids, 1984, v. 064  p. 0249, 85.0, , , 7.0, 8.0, , , 0.82, 0.869807489334621, -0.04980748933462109
71, GJ02-088394, J. Non-Crystalline Solids, 1980, v. 037  p. 0359, 92.28, , , , 7.72, , , 1.12, 1.0134304660347726, 0.1065695339652275
72, GJ02-088395, J. Non-Crystalline Solids, 1980, v. 037  p. 0359, 87.16, , , , 12.84, , , 1.1, 0.9916032506142561, 0.10839674938574395
73, GJ02-088396, J. Non-Crystalline Solids, 1980, v. 037  p. 0359, 79.5, , , , 20.5, , , 0.86, , 
