,SiO2,Al2O3,MgO,CaO,Na2O,K2O,SO3,Young
405,56.0,20.0,16.0,8.0,0.0,0.0,0.0,100.1
406,57.8,19.3,9.7,7.6,0.21,0.46,0.0,96.9
407,53.86,24.93,16.42,4.57,0.08,0.0,0.0,102.7
408,57.22,21.11,16.03,3.71,0.21,0.0,0.0,100.0
409,53.38,24.69,13.35,6.79,0.05,0.02,0.0,100.9
410,53.71,24.85,15.06,4.55,0.05,0.02,0.0,102.2
411,53.54,24.77,13.71,4.54,0.05,0.02,0.0,100.0
412,67.0,21.0,4.0,8.0,0.0,0.0,0.0,87.22
413,66.97,24.88,5.05,1.1,1.0,0.0,0.0,90.9
414,66.76,22.76,5.0,1.65,0.33,0.0,0.0,85.5
415,70.6,20.67,5.17,2.07,0.05,0.0,0.0,85.6
416,72.49,20.49,4.99,1.89,0.05,0.0,0.0,85.6
417,72.24,20.24,4.74,1.64,0.0,0.0,0.0,87.1
418,68.5,20.5,2.5,7.5,0.0,0.0,0.0,87.0
419,68.5,20.5,2.5,7.5,0.0,0.0,0.0,86.3
420,68.5,20.5,2.5,7.5,0.0,0.0,0.0,85.8
421,67.0,23.0,6.5,3.5,0.0,0.0,0.0,91.0
422,72.0,2.0,2.0,8.0,15.0,1.0,0.0,76.6
423,72.0,2.0,4.0,7.0,14.0,1.0,0.0,73.4
424,68.07,2.01,4.02,8.03,12.55,1.0,0.0,72.52
425,71.0,3.0,5.0,7.0,13.0,1.0,0.0,70.56
426,70.5,2.0,3.0,4.2,12.2,5.3,0.2,73.03
427,72.77,1.5,4.1,5.71,14.51,0.3,0.2,71.65
428,73.1,0.0,0.0,2.18,14.74,5.03,0.0,72.09
429,68.04,4.34,0.57,7.95,11.81,2.82,0.0,73.5
430,75.0,2.0,0.0,2.0,13.0,4.0,0.0,72.52
431,74.11,2.55,2.69,7.48,12.39,0.78,0.0,72.0
432,74.89,2.57,5.43,3.78,12.53,0.79,0.0,71.0
433,74.23,2.06,1.03,8.25,13.4,1.03,0.0,70.56
434,72.0,2.0,4.0,8.0,13.0,1.0,0.0,70.56
435,72.5,1.2,4.31,6.42,14.36,1.2,0.0,72.0
436,71.59,2.08,2.8,6.27,15.39,0.59,0.58,71.9
437,70.53,1.39,3.62,7.61,13.61,0.9,0.0,76.2
438,71.36,1.35,3.68,7.75,13.69,0.77,0.0,74.0
439,71.28,1.35,3.68,7.75,13.61,0.76,0.0,75.0
440,71.44,1.35,3.69,7.76,13.31,0.77,0.0,74.9
441,71.34,1.35,3.69,7.75,13.33,0.76,0.0,75.0
442,71.55,1.35,3.7,7.77,12.39,0.77,0.0,76.3
443,71.0,1.74,4.1,7.96,13.84,0.8,0.0,75.4
444,70.93,1.88,4.02,7.96,13.61,0.96,0.0,75.6
445,69.63,1.71,3.2,8.27,14.53,0.23,0.0,75.14
446,69.4,2.4,4.7,7.58,14.33,1.49,0.0,73.86
447,71.79,2.07,4.1,6.73,13.58,1.63,0.0,75.9
448,71.31,1.35,3.68,7.74,13.68,0.77,0.0,74.0
449,72.39,1.88,3.79,8.29,12.7,0.95,0.0,72.0
450,73.62,4.59,5.11,0.07,16.21,0.0,0.0,71.0
451,74.34,1.9,2.9,6.5,10.79,0.3,0.0,76.0
452,70.37,3.35,6.89,0.28,10.99,7.11,0.0,73.0
453,73.58,8.16,3.87,0.0,14.39,0.0,0.0,73.0
454,73.83,2.53,1.9,7.7,14.01,0.0,0.0,72.0
455,73.34,2.02,3.22,7.72,13.59,0.0,0.0,73.2
456,74.02,2.01,4.53,5.86,13.5,0.0,0.0,72.8
457,73.98,2.11,6.08,3.92,13.8,0.0,0.0,71.4
458,73.91,2.19,7.57,1.94,14.3,0.0,0.0,70.7
459,74.09,8.16,3.88,0.0,13.87,0.0,0.0,72.3
460,70.9,4.3,7.41,2.65,13.79,0.95,0.0,73.0
461,68.6,4.31,8.18,2.85,15.1,0.96,0.0,73.0
462,71.04,4.31,8.03,1.33,14.34,0.95,0.0,72.0
463,70.67,4.28,6.5,3.86,13.74,0.95,0.0,74.0
464,70.4,4.27,5.53,5.16,13.69,0.95,0.0,74.0
465,68.34,4.29,7.13,4.25,15.04,0.95,0.0,74.0
466,68.05,4.28,6.09,5.65,14.98,0.95,0.0,74.0
467,68.92,4.3,7.48,3.5,14.85,0.95,0.0,73.0
468,68.47,4.3,7.62,3.6,15.06,0.95,0.0,74.0
469,69.26,4.29,6.85,4.15,14.5,0.95,0.0,74.0
470,68.8,4.29,6.99,4.15,14.82,0.95,0.0,74.0
471,69.94,4.27,5.67,5.26,13.91,0.95,0.0,74.0
472,69.45,4.27,5.74,5.36,14.23,0.95,0.0,74.0
473,68.12,4.26,7.84,3.86,14.39,1.53,0.0,76.8
474,68.34,4.12,6.5,5.05,14.91,1.08,0.0,76.2
475,68.43,4.16,5.54,6.12,14.8,0.95,0.0,75.9
476,68.22,4.36,4.33,7.26,14.86,0.96,0.0,75.3
477,68.73,5.02,4.14,7.32,14.3,0.49,0.0,75.6
478,68.71,5.02,4.14,7.32,13.84,0.97,0.0,75.4
479,68.71,5.02,4.14,7.32,13.24,1.57,0.0,75.2
480,70.5,3.08,4.15,7.09,14.87,0.32,0.0,75.0
481,70.38,3.07,4.15,7.08,14.52,0.8,0.0,74.8
482,70.2,3.06,4.14,7.06,13.98,1.57,0.0,74.4
483,70.12,3.06,4.13,7.05,13.75,1.88,0.0,74.3
484,68.72,5.02,4.14,7.32,14.6,0.2,0.0,75.6
485,71.29,1.9,5.19,7.73,12.36,1.53,0.0,75.6
486,72.35,1.9,4.01,6.71,15.03,0.0,0.0,72.0
487,72.53,6.77,0.0,7.73,12.97,0.0,0.0,73.6
488,71.97,1.86,4.69,7.82,12.99,0.31,0.19,72.0
489,74.36,0.86,4.23,6.26,13.93,0.32,0.0,71.4
490,74.22,0.86,4.22,6.25,13.9,0.32,0.0,75.4
491,73.02,0.84,4.15,6.14,13.68,0.32,0.0,74.7
492,71.6,0.82,4.07,6.02,13.41,0.31,0.0,72.0
493,72.73,0.85,2.83,8.26,13.9,0.63,0.0,70.8
494,71.97,3.07,2.69,8.05,13.44,0.78,0.0,73.0
495,60.2,18.0,9.0,6.7,1.6,0.0,0.0,86.12
496,65.0,25.0,10.0,0.0,0.0,0.0,0.0,85.5
497,66.09,24.3,9.61,0.0,0.0,0.0,0.0,91.0
498,64.36,24.82,10.31,0.0,0.0,0.0,0.0,85.75
499,64.32,24.82,8.99,0.0,0.0,0.0,0.0,79.35
500,63.77,24.53,9.82,0.0,0.0,0.0,0.0,93.15
501,64.32,24.82,8.99,0.0,0.0,0.0,0.0,86.25
502,63.77,24.53,9.82,0.0,0.0,0.0,0.0,77.28
503,65.0,25.0,10.0,0.0,0.0,0.0,0.0,86.24
504,62.1,18.4,11.0,5.1,0.0,0.0,0.0,91.0
505,63.01,19.99,11.26,4.84,0.7,0.0,0.0,86.94
506,63.07,20.03,11.28,4.85,0.7,0.0,0.0,87.63
507,63.01,19.99,11.26,4.84,0.7,0.0,0.0,86.9
508,63.09,20.03,11.28,4.85,0.7,0.0,0.0,87.6
509,63.89,18.64,9.62,6.96,0.25,0.0,0.0,84.8
510,64.9,18.5,11.5,0.5,0.1,0.1,0.0,90.8
511,63.89,18.64,9.62,6.96,0.25,0.0,0.0,84.87
512,59.89,21.54,9.08,7.8,1.5,0.0,0.0,92.4
513,60.2,21.1,12.1,6.6,0.0,0.0,0.0,98.0
514,60.2,20.1,13.1,6.5,0.1,0.0,0.0,97.0
515,60.2,20.1,12.1,7.5,0.1,0.0,0.0,96.0
516,63.68,19.33,12.75,0.75,0.15,0.0,0.0,89.5
517,60.0,23.6,10.07,2.26,0.44,0.0,0.0,90.1
518,59.81,18.3,12.82,0.0,6.57,0.0,0.0,89.2
519,62.1,16.73,12.56,0.0,6.1,0.0,0.0,88.4
520,62.58,17.76,13.04,0.0,5.14,0.0,0.0,85.2
521,59.2,20.1,12.6,8.0,0.0,0.0,0.0,88.0
522,61.4,19.0,12.9,6.5,0.1,0.0,0.0,86.0
523,66.05,23.05,10.55,0.0,0.0,0.0,0.0,89.908
524,66.5,23.4,9.8,0.0,0.0,0.0,0.0,89.908
525,59.2,20.1,12.6,8.0,0.1,0.0,0.0,97.0
526,59.1,21.1,12.1,7.5,0.1,0.0,0.0,97.0
527,59.1,20.1,13.1,7.5,0.1,0.0,0.0,98.0
528,58.6,20.6,12.6,8.0,0.1,0.0,0.0,98.0
529,62.2,21.1,12.1,4.6,0.0,0.0,0.0,96.0
530,61.2,21.1,12.1,5.6,0.0,0.0,0.0,97.0
531,59.59,17.48,10.65,8.24,0.23,0.38,0.0,94.4
532,59.53,17.46,10.64,8.23,0.23,0.38,0.0,94.4
533,59.39,16.96,9.83,7.62,0.21,1.03,0.0,95.3
534,59.48,16.85,11.13,6.92,0.21,1.05,0.0,96.1
535,64.0,20.0,8.5,7.5,0.0,0.0,0.0,94.1
536,65.0,19.0,8.5,7.5,0.0,0.0,0.0,91.4
537,60.32,20.47,11.74,7.27,0.1,0.0,0.0,96.0
538,65.66,22.19,8.49,0.0,0.25,0.0,0.0,86.6
539,59.32,18.15,13.04,0.0,7.02,0.0,0.0,89.2
540,58.57,24.07,13.88,2.47,0.06,0.13,0.0,94.9
541,59.62,18.74,11.32,5.11,0.11,0.19,0.0,95.8
542,58.97,19.09,10.32,6.31,0.13,0.3,0.0,95.0
543,58.97,19.09,10.82,5.81,0.13,0.3,0.0,95.4
544,58.97,19.09,11.52,5.11,0.13,0.3,0.0,96.3
545,58.97,19.09,12.52,4.11,0.13,0.3,0.0,96.5
546,58.96,19.09,13.53,3.11,0.13,0.3,0.0,95.7
547,58.96,19.09,14.03,2.81,0.14,0.31,0.0,95.2
548,59.12,18.84,11.42,5.31,0.14,0.3,0.0,96.0
549,60.12,19.04,11.82,3.91,0.12,0.21,0.0,95.6
550,58.8,18.7,12.1,5.3,0.15,0.23,0.0,95.8
551,59.5,17.16,10.43,7.63,0.21,0.34,0.0,94.1
552,59.47,17.05,9.73,8.22,0.22,0.37,0.0,95.6
553,58.41,19.14,10.22,8.32,0.22,0.2,0.0,93.1
554,58.42,19.27,9.43,8.13,0.14,0.31,0.0,92.2
555,58.41,19.27,9.74,7.83,0.11,0.3,0.0,93.4
556,58.4,19.3,9.95,8.1,0.14,0.19,0.0,93.8
557,59.63,18.74,11.32,6.41,0.08,0.17,0.0,94.1
558,59.63,18.74,11.32,6.01,0.11,0.19,0.0,94.6
559,58.96,19.09,12.53,4.11,0.13,0.3,0.0,96.5
560,59.12,18.84,11.12,6.01,0.14,0.3,0.0,95.1
561,61.47,18.02,11.61,3.8,0.15,0.3,0.0,94.9
562,59.3,17.4,10.6,8.2,0.23,0.38,0.0,94.4
563,59.6,16.9,9.6,8.3,0.21,0.41,0.0,96.3
564,59.98,16.95,9.73,8.02,0.21,0.42,0.0,95.2
565,59.29,17.08,11.05,8.14,0.23,0.37,0.0,94.4
566,59.48,16.85,11.23,6.82,0.23,0.51,0.0,96.9
567,59.48,16.85,9.93,8.32,0.23,0.36,0.0,94.8
568,58.7,19.45,11.33,7.32,0.4,0.34,0.0,93.1
569,58.7,18.65,11.03,8.12,0.4,0.34,0.0,92.5
570,59.7,18.85,11.83,6.42,0.4,0.34,0.0,93.3
571,59.86,17.84,11.83,8.17,0.4,0.34,0.0,93.4
572,6.23,42.26,4.18,47.33,0.0,0.0,0.0,109.4
573,6.23,42.26,4.18,47.33,0.0,0.0,0.0,109.2
574,5.0,47.01,5.0,42.99,0.0,0.0,0.0,110.2
575,3.48,44.29,3.5,48.72,0.0,0.0,0.0,110.4
576,6.14,43.13,4.12,46.61,0.0,0.0,0.0,109.0
577,6.17,42.29,4.19,47.35,0.0,0.0,0.0,109.0
578,6.24,42.37,0.0,48.29,0.0,0.0,0.0,110.0
579,0.0,49.44,2.15,48.41,0.0,0.0,0.0,109.7
580,6.79,43.82,1.99,42.88,0.0,0.0,0.0,108.33
581,58.0,20.0,2.0,3.0,13.0,4.0,0.0,74.41
582,57.19,20.61,0.07,6.87,14.89,0.0,0.0,74.4
583,56.65,22.06,5.61,0.0,12.45,0.0,0.0,72.0
584,58.0,21.0,4.0,0.0,15.5,0.0,0.0,72.0
585,57.0,21.0,4.0,0.0,16.5,0.0,0.0,72.0
586,55.0,19.9,3.0,1.0,12.1,5.0,0.0,73.0
587,57.1,19.8,3.0,1.0,12.09,5.0,0.0,72.0
588,55.0,19.9,3.0,1.0,12.09,5.0,0.0,73.0
589,54.84,19.88,3.0,1.0,15.18,2.1,0.0,72.0
590,57.7,19.9,1.0,3.0,15.3,2.1,0.0,73.0
591,58.0,19.0,4.0,1.0,15.0,2.0,0.0,73.0
592,51.62,24.21,3.95,0.0,11.77,6.28,0.0,74.2
593,61.48,10.2,3.81,16.65,2.14,2.72,0.0,35.19
594,65.12,9.02,3.51,16.53,3.11,2.71,0.0,32.1
595,64.37,9.01,3.8,16.52,3.0,3.1,0.0,32.1
596,63.58,29.56,6.85,0.0,0.0,0.0,0.0,94.0
597,64.27,31.16,0.0,0.0,0.0,0.0,0.0,88.9
598,61.2,27.5,0.3,0.3,5.5,4.2,0.0,87.22
599,61.6,28.3,0.3,0.3,4.8,3.7,0.0,87.22
600,62.7,28.0,0.3,0.2,4.4,3.2,0.0,90.16
601,62.3,27.2,0.4,0.3,4.8,3.7,0.0,90.16
602,63.8,27.1,0.3,0.2,4.4,3.0,0.0,91.14
603,63.9,25.2,0.3,0.3,5.1,3.7,0.0,88.2
604,64.7,25.4,0.3,0.3,4.5,3.0,0.0,87.22
605,60.9,27.3,2.3,3.3,2.8,2.1,0.0,96.04
606,62.2,27.9,0.7,0.9,4.0,3.0,0.0,90.16
607,63.4,28.3,0.3,0.3,3.4,2.5,0.0,96.04
608,60.3,28.3,3.8,0.3,3.3,2.5,0.0,92.12
609,60.6,27.9,0.3,3.9,3.4,2.5,0.0,92.12
610,62.0,28.3,2.1,0.4,3.3,2.5,0.0,94.08
611,62.9,27.8,0.3,0.2,4.4,3.2,0.0,87.22
612,62.5,27.9,0.3,0.3,4.3,3.3,0.0,86.24
613,63.3,27.2,0.3,0.3,4.4,3.2,0.0,86.24
614,61.0,28.0,1.4,2.1,2.0,3.9,0.0,89.18
615,60.9,27.3,2.3,2.3,2.8,2.1,0.0,96.04
616,63.05,26.0,6.88,0.62,0.13,0.0,0.0,88.5
617,63.92,25.12,4.79,3.15,1.07,0.14,0.0,87.57
618,59.19,29.71,6.65,1.47,0.4,0.19,0.0,92.95
619,62.64,16.65,3.55,0.61,13.1,3.45,0.0,91.0
620,65.3,21.1,0.8,0.9,6.6,4.0,0.0,96.04
621,62.33,20.99,7.67,4.81,0.0,0.0,0.0,91.4
622,62.27,21.22,6.62,7.46,0.0,0.0,0.0,91.4
623,61.55,22.6,4.93,6.43,0.0,0.0,0.0,91.0
624,63.0,20.0,7.0,7.0,0.0,0.0,0.0,91.6
625,61.0,25.0,6.5,7.5,0.0,0.0,0.0,93.3
626,64.5,25.0,8.0,2.5,0.0,0.0,0.0,93.3
627,63.16,21.59,5.7,7.9,0.05,0.0,0.0,91.0
628,62.46,19.49,8.0,6.0,0.05,0.0,0.0,91.0
629,75.0,16.31,6.77,0.0,0.0,0.0,0.0,62.79
630,74.76,16.26,6.43,0.0,0.0,0.0,0.0,69.0
631,68.61,13.3,0.0,0.0,8.18,5.41,0.0,73.0
632,71.62,12.85,0.0,0.0,8.01,3.04,0.0,75.0
633,70.87,14.1,0.0,0.0,4.28,6.5,0.0,76.0
634,68.6,13.3,0.0,0.0,8.2,5.4,0.0,73.0
635,71.6,12.9,0.0,0.0,8.0,3.0,0.0,75.0
636,70.9,14.1,0.0,0.0,4.3,6.5,0.0,76.0
637,68.64,13.33,0.0,0.0,8.16,5.37,0.0,73.0
638,71.62,12.93,0.0,0.0,7.96,2.98,0.0,75.0
639,71.9,9.4,3.9,0.0,7.2,5.4,0.0,74.0
640,69.8,13.5,5.5,0.0,0.0,8.0,0.0,80.0
641,69.63,13.09,5.99,0.0,0.3,7.99,0.0,80.0
642,74.5,15.37,5.0,1.12,0.55,0.0,0.0,81.5
643,69.9,13.4,0.0,0.0,8.2,5.4,0.0,74.0
644,70.6,13.5,0.0,0.0,8.3,5.4,0.0,73.0
645,67.49,16.57,3.35,1.88,5.02,1.52,0.0,82.62
646,71.29,13.16,3.96,8.31,1.76,0.83,0.69,72.0
647,69.9,15.0,7.5,7.5,0.0,0.0,0.0,89.1
648,60.49,13.08,2.72,23.05,0.05,0.0,0.0,84.4
649,64.8,11.08,5.46,18.66,0.0,0.0,0.0,86.6
650,64.5,13.1,2.2,18.1,0.0,0.0,0.0,88.0
651,59.43,11.45,3.21,23.99,0.51,0.15,0.0,86.0
652,59.69,12.02,2.67,22.38,1.0,0.46,0.0,83.0
653,61.06,11.13,3.29,19.09,1.92,0.77,0.0,81.0
654,58.49,11.52,2.8,23.72,0.8,0.15,0.0,82.0
655,60.86,14.62,6.12,17.51,0.06,0.08,0.0,87.93
656,66.31,14.43,0.0,19.26,0.0,0.0,0.0,83.6
657,65.54,16.66,0.0,17.8,0.0,0.0,0.0,84.3
658,58.92,14.61,2.1,24.37,0.0,0.0,0.0,89.2
659,60.35,15.17,2.21,22.27,0.0,0.0,0.0,88.9
660,59.78,14.46,2.52,23.24,0.0,0.0,0.0,88.0
661,59.65,15.17,3.03,22.15,0.0,0.0,0.0,88.3
662,58.77,13.71,3.16,24.36,0.0,0.0,0.0,90.4
663,61.38,12.91,1.76,23.95,0.0,0.0,0.0,87.0
664,60.7,13.68,2.73,22.89,0.0,0.0,0.0,87.1
665,60.91,13.7,2.07,23.32,0.0,0.0,0.0,87.3
666,58.77,15.17,2.99,23.07,0.0,0.0,0.0,89.6
667,59.97,13.66,2.26,24.11,0.0,0.0,0.0,89.7
668,60.73,15.09,2.0,22.18,0.0,0.0,0.0,87.6
669,60.21,14.25,3.38,22.16,0.0,0.0,0.0,90.3
670,61.07,15.65,2.01,21.27,0.0,0.0,0.0,88.7
671,60.18,15.88,2.56,21.38,0.0,0.0,0.0,88.2
672,61.77,15.86,1.35,21.02,0.0,0.0,0.0,87.7
673,58.93,15.09,2.6,23.38,0.0,0.0,0.0,88.9
674,61.19,14.37,3.06,21.38,0.0,0.0,0.0,88.1
675,58.78,13.0,3.34,24.88,0.0,0.0,0.0,90.2
676,60.75,14.41,2.89,21.95,0.0,0.0,0.0,89.4
677,59.66,14.32,2.68,23.34,0.0,0.0,0.0,88.4
678,60.32,14.5,6.06,17.36,0.06,0.08,0.0,87.93
679,60.86,14.63,6.11,17.51,0.06,0.08,0.0,87.93
680,60.86,14.89,6.58,16.79,0.06,0.08,0.0,88.38
681,65.33,12.54,8.62,13.51,0.0,0.0,0.0,91.9
682,59.85,15.58,8.7,11.05,0.2,0.09,0.02,92.4
683,60.35,16.65,9.22,9.72,0.21,0.43,0.0,93.6
684,59.74,16.14,8.92,11.23,0.24,0.61,0.0,93.0
685,60.15,16.14,9.82,9.92,0.24,0.61,0.0,93.6
686,60.45,15.84,10.02,9.52,0.24,0.61,0.0,94.2
687,59.61,16.66,9.13,11.54,0.23,0.38,0.0,92.8
688,59.65,16.44,9.22,10.83,0.21,0.51,0.0,92.4
689,61.16,16.25,9.72,8.52,0.21,0.43,0.0,92.1
690,59.5,16.4,9.2,10.8,0.21,0.51,0.0,92.4
691,60.2,16.6,9.2,9.7,0.21,0.43,0.0,93.6
692,59.5,16.23,9.48,9.18,0.23,0.38,0.0,95.4
693,62.25,15.73,9.42,8.92,0.23,0.42,0.0,93.5
694,59.86,15.09,10.74,9.12,0.23,0.38,0.0,94.6
695,59.35,15.54,9.62,10.32,0.21,0.43,0.0,94.2
696,60.54,16.08,9.63,9.43,0.21,0.43,0.0,92.1
697,62.63,18.5,9.47,8.49,0.7,0.0,0.0,85.56
698,62.44,18.54,9.64,8.64,0.69,0.0,0.0,86.94
699,62.42,18.54,9.64,8.64,0.69,0.0,0.0,86.94
700,62.63,18.5,9.47,8.49,0.7,0.0,0.0,85.5
701,62.44,18.54,9.64,8.64,0.69,0.0,0.0,86.9
702,61.39,18.89,9.62,8.71,0.25,0.0,0.0,86.9
703,61.39,18.89,9.62,8.71,0.25,0.0,0.0,86.94
704,60.18,17.15,9.43,12.24,0.0,0.0,0.0,87.5
705,60.18,17.15,9.43,12.24,0.0,1.0,0.0,86.3
706,60.18,17.15,9.43,12.24,0.5,0.0,0.0,87.4
707,60.18,17.15,9.43,12.24,0.0,0.5,0.0,87.0
708,60.18,17.15,9.43,12.24,0.0,0.5,0.0,86.9
709,59.88,19.96,9.93,8.53,1.5,0.0,0.0,93.2
710,59.88,18.54,10.68,9.19,1.5,0.0,0.0,94.5
711,59.88,17.36,11.31,9.73,1.5,0.0,0.0,94.9
712,58.64,21.2,10.14,8.74,1.07,0.0,0.0,94.9
713,58.63,21.21,9.92,8.54,1.5,0.0,0.0,94.6
714,58.63,21.2,9.44,9.44,1.07,0.0,0.0,94.3
715,58.64,21.2,8.73,10.13,1.07,0.0,0.0,93.8
716,60.1,20.1,10.1,9.5,0.1,0.0,0.0,95.0
717,58.7,20.1,12.6,8.5,0.0,0.0,0.0,98.0
718,59.1,20.1,12.1,8.5,0.1,0.0,0.0,97.0
719,58.7,20.6,12.1,8.5,0.0,0.0,0.0,97.0
720,60.2,20.1,10.1,9.5,0.0,0.0,0.0,86.0
721,58.6,20.6,11.6,9.0,0.1,0.0,0.0,97.0
722,59.25,17.54,10.53,8.52,0.21,0.38,0.0,94.0
723,59.55,16.95,9.32,9.72,0.21,0.38,0.0,93.7
724,58.67,19.19,9.84,9.54,0.28,0.51,0.0,93.8
725,59.64,17.54,9.82,8.92,0.23,1.02,0.0,93.9
726,59.15,18.03,10.23,9.22,0.23,1.09,0.0,93.5
727,60.18,17.15,9.43,12.24,0.0,0.0,0.0,85.7
728,60.0,20.0,10.0,10.0,0.0,0.0,0.0,95.3
729,62.0,20.0,8.5,9.5,0.0,0.0,0.0,92.7
730,63.0,19.0,8.5,9.5,0.0,0.0,0.0,92.1
731,61.0,17.0,9.4,12.6,0.0,0.0,0.0,92.7
732,59.87,19.89,10.0,10.0,0.0,0.0,0.0,95.3
733,59.46,17.02,9.06,11.21,0.4,0.43,0.0,89.3
734,59.52,18.94,9.92,11.12,0.0,0.0,0.0,85.0
735,59.12,18.54,9.52,11.82,0.0,0.0,0.0,83.0
736,59.42,19.04,10.02,11.02,0.0,0.0,0.0,85.0
737,58.92,19.04,10.02,11.02,0.0,0.0,0.0,84.0
738,58.42,19.04,10.02,11.02,0.0,0.0,0.0,83.0
739,58.92,19.54,9.02,12.02,0.0,0.0,0.0,84.0
740,58.92,19.04,9.02,12.02,0.0,0.0,0.0,84.0
741,58.92,18.54,9.02,12.02,0.0,0.0,0.0,83.0
742,58.92,18.24,10.02,11.82,0.0,0.0,0.0,83.0
743,58.42,19.04,12.02,10.02,0.0,0.0,0.0,84.0
744,58.42,18.74,11.82,10.02,0.0,0.0,0.0,84.0
745,58.42,18.54,11.52,10.02,0.0,0.0,0.0,84.0
746,59.3,19.0,10.0,11.0,0.0,0.0,0.0,85.0
747,58.8,19.0,10.0,11.0,0.0,0.0,0.0,84.0
748,58.8,19.5,9.0,12.0,0.0,0.0,0.0,84.0
749,58.8,19.0,9.0,12.0,0.0,0.0,0.0,84.0
750,58.8,18.5,9.0,12.0,0.0,0.0,0.0,83.0
751,58.8,18.2,10.0,11.8,0.0,0.0,0.0,83.0
752,59.74,16.77,9.54,8.93,0.23,0.36,0.0,93.9
753,59.54,16.74,9.42,9.72,0.23,0.38,0.0,93.3
754,60.26,17.04,9.82,10.23,0.21,0.41,0.0,90.9
755,59.51,16.86,9.83,10.03,0.21,0.32,0.0,92.9
756,59.57,16.75,9.43,9.03,0.32,0.58,0.0,94.3
757,59.25,16.84,9.32,9.92,0.21,0.39,0.0,93.5
758,60.55,16.74,9.72,9.22,0.21,0.43,0.0,91.2
759,59.87,16.85,9.33,10.13,0.22,0.38,0.0,93.0
760,58.6,19.6,9.9,8.7,0.15,0.19,0.0,94.2
761,59.73,16.76,9.53,8.94,0.23,0.37,0.0,93.9
762,59.4,16.9,9.3,9.7,0.21,0.38,0.0,93.7
763,59.1,17.5,10.5,8.5,0.21,0.38,0.0,94.0
764,58.4,19.1,9.8,9.5,0.28,0.51,0.0,93.8
765,59.47,16.75,9.73,9.43,0.22,0.38,0.0,94.0
766,60.66,17.64,10.38,9.57,0.34,0.39,0.0,91.6
767,59.95,17.64,10.38,10.28,0.34,0.39,0.0,91.5
768,59.3,17.64,11.03,10.28,0.34,0.39,0.0,92.4
769,58.8,18.85,11.03,9.57,0.34,0.39,0.0,93.8
770,59.61,17.64,11.43,9.57,0.34,0.39,0.0,93.1
771,59.31,17.64,9.97,11.33,0.34,0.39,0.0,91.2
772,59.25,18.45,10.83,9.27,0.4,0.34,0.0,92.4
773,59.86,17.84,10.43,9.82,0.4,0.34,0.0,92.3
774,59.86,17.84,10.43,9.52,0.4,0.34,0.0,92.9
775,59.86,17.84,10.43,8.72,0.4,0.34,0.0,94.0
776,59.86,17.84,9.12,10.88,0.4,0.34,0.0,91.4
777,59.86,17.84,10.43,9.57,0.4,0.34,0.0,92.3
778,58.84,18.85,10.48,10.03,0.4,0.34,0.0,92.7
779,60.55,17.14,10.48,10.03,0.4,0.34,0.0,91.2
780,62.32,17.25,7.98,11.56,0.7,0.0,0.0,84.18
781,61.39,18.14,6.62,11.96,0.75,0.0,0.0,84.18
782,62.32,17.25,7.98,11.56,0.7,0.0,0.0,84.1
783,61.39,18.14,6.62,11.96,0.75,0.0,0.0,84.1
784,61.0,20.0,6.0,8.5,0.0,0.0,0.0,89.0
785,61.0,20.0,6.0,9.5,0.0,0.0,0.0,89.0
786,61.0,19.5,5.5,9.5,0.0,0.0,0.0,88.0
787,62.32,17.25,7.96,11.56,0.7,0.0,0.0,84.18
788,62.3,23.72,0.0,13.98,0.0,0.0,0.0,79.281
789,65.0,19.0,4.5,10.2,0.0,0.0,0.0,87.6
790,65.0,19.5,4.5,9.0,0.0,0.0,0.0,89.0
791,63.6,20.0,7.0,9.4,0.0,0.0,0.0,90.9
792,61.0,25.0,5.0,9.0,0.0,0.0,0.0,92.2
793,63.47,19.89,7.0,9.4,0.0,0.0,0.0,91.0
794,60.86,24.89,5.0,9.0,0.0,0.0,0.0,92.2
795,62.86,19.69,6.9,9.3,0.0,0.0,0.0,89.5
796,63.52,23.26,0.0,13.22,0.0,0.0,0.0,86.8
797,65.12,18.73,0.0,16.15,0.0,0.0,0.0,84.8
798,64.14,21.02,0.0,14.84,0.0,0.0,0.0,85.6
799,63.7,22.98,0.0,13.32,0.0,0.0,0.0,87.2
800,63.3,19.88,6.96,9.34,0.0,0.0,0.0,91.0
801,63.27,19.9,6.96,9.35,0.0,0.0,0.0,91.0
802,63.51,19.99,7.0,9.39,0.0,0.0,0.0,91.0
803,59.9,25.0,0.0,15.0,0.0,0.0,0.0,94.0
804,64.9,20.0,0.0,15.0,0.0,0.0,0.0,89.5
805,63.97,21.59,2.35,9.46,0.0,0.0,0.0,85.9
806,58.32,21.09,10.14,8.74,1.5,0.0,0.0,94.2
807,58.02,21.01,10.05,8.69,1.07,0.0,0.0,95.1
808,58.15,18.85,9.22,9.72,0.23,0.43,0.0,94.4
809,54.0,20.0,12.5,10.5,0.0,0.0,0.0,97.6
810,57.76,21.52,8.51,9.51,0.0,0.0,0.2,95.1
811,57.54,21.98,9.49,8.49,0.1,0.1,0.1,95.3
812,58.0,18.8,9.2,9.7,0.23,0.43,0.0,94.4
813,72.12,10.2,9.41,0.0,8.27,0.0,0.0,73.3
