SiO2,MgO,Na2O,Al2O3,CaO,Density
73.01, , 17.34, , 9.64,2500.0
71.59, , 11.37, , 17.04,2546.0
71.29, , 8.55, , 20.16,2560.0
71.94, , 21.04, , 7.02,2495.0
71.27, , 17.93, , 10.8,2518.0
71.19, , 20.72, , 8.09,2499.0
70.4, , 10.48, , 19.12,2561.0
69.82, , 5.21, , 24.97,2594.0
69.89, , 8.73, , 21.38,2585.0
70.91, , 23.37, , 5.72,2495.0
70.07, , 13.27, , 16.66,2553.0
69.92, , 15.12, , 14.96,2549.0
54.92, , 22.6, , 22.47,2683.0
54.13, , 9.46, , 36.41,2773.0
54.45, , 15.67, , 29.88,2733.0
55.4, , 32.92, , 11.68,2610.0
53.73, , 5.79, , 40.47,2808.0
53.55, , 4.3, , 42.15,2816.0
55.31, , 41.09, , 3.6,2568.0
54.53, , 37.39, , 8.08,2587.0
53.91, , 30.34, , 15.75,2630.0
53.36, , 20.18, , 26.45,2705.0
52.03, , 4.18, , 43.79,2838.0
51.86, , 4.88, , 43.25,2832.0
53.04, , 27.45, , 19.51,2664.0
52.93, , 38.96, , 8.11,2601.0
51.43, , 19.9, , 28.66,2730.0
51.96, , 30.84, , 17.2,2665.0
50.57, , 9.68, , 39.74,2807.0
50.56, , 10.04, , 39.39,2802.0
51.02, , 22.53, , 26.45,2712.0
50.52, , 17.17, , 32.31,2761.0
50.19, , 13.95, , 35.85,2777.0
49.85, , 9.35, , 40.8,2821.0
50.1, , 16.56, , 33.33,2764.0
51.07, , 35.33, , 13.59,2648.0
50.38, , 23.01, , 26.61,2719.0
65.03, , 16.01, , 18.96,2595.0
64.93, , 21.08, , 13.99,2573.0
64.18, , 10.06, , 25.76,2649.0
65.32, , 32.09, , 2.59,2509.0
65.05, , 31.69, , 3.26,2517.0
64.62, , 26.43, , 8.94,2546.0
63.68, , 13.56, , 22.75,2638.0
62.16, , 7.83, , 30.01,2691.0
60.97, , 4.85, , 34.18,2719.0
61.06, , 9.25, , 29.68,2694.0
61.46, , 27.77, , 10.77,2575.0
60.09, , 9.93, , 29.98,2702.0
59.16, , 7.06, , 33.77,2729.0
59.47, , 16.11, , 24.41,2672.0
59.52, , 19.22, , 21.25,2657.0
57.9, , 4.74, , 37.35,2761.0
59.6, , 33.23, , 7.17,2562.0
57.78, , 9.48, , 32.73,2733.0
58.62, , 25.35, , 16.03,2618.0
57.92, , 16.42, , 25.66,2692.0
57.13, , 27.56, , 15.31,2626.0
56.32, , 15.09, , 28.59,2712.0
57.27, , 33.0, , 9.72,2588.0
55.86, , 13.16, , 30.98,2735.0
56.37, , 22.19, , 21.43,2665.0
51.04, , 36.41, , 12.55,2641.0
50.01, , 16.69, , 33.29,2761.0
49.5, , 9.07, , 41.42,2820.0
50.03, , 20.47, , 29.5,2741.0
50.49, , 32.41, , 17.1,2670.0
49.78, , 28.71, , 21.51,2696.0
50.01, , 33.35, , 16.64,2663.0
49.19, , 25.77, , 25.03,2710.0
47.78, , 4.98, , 47.23,2867.0
48.76, , 27.35, , 23.88,2717.0
48.71, , 28.92, , 22.37,2697.0
46.92, , 6.96, , 46.11,2859.0
46.54, , 16.13, , 37.33,2794.0
47.09, , 39.66, , 13.24,2654.0
45.5, , 7.51, , 46.99,2863.0
46.18, , 35.34, , 18.48,2681.0
46.52, , 43.72, , 9.76,2630.0
45.66, , 43.48, , 10.86,2640.0
44.05, , 8.72, , 47.23,2874.0
44.21, , 13.69, , 42.09,2837.0
43.65, , 4.48, , 51.86,2902.0
44.91, , 33.72, , 21.37,2703.0
44.18, , 21.56, , 34.26,2784.0
40.3, , 25.66, , 34.04,2800.0
37.48, , 37.54, , 24.98,2742.0
50.32, , 46.82, 2.86, ,2561.0
50.57, , 42.43, 7.0, ,2550.0
