SiO2,MgO,Na2O,Al2O3,CaO,Density
67.92,0.0,5.3,0.0,26.77,2609.0
68.58,0.0,19.88,0.0,11.53,2544.0
68.17,0.0,20.24,0.0,11.59,2543.0
67.55,0.0,13.29,0.0,19.16,2586.0
68.23,0.0,24.25,0.0,7.52,2520.0
67.73,0.0,21.41,0.0,10.86,2543.0
67.11,0.0,18.97,0.0,13.91,2561.0
66.01,0.0,3.68,0.0,30.31,2655.0
66.59,0.0,16.82,0.0,16.59,2582.0
65.62,0.0,5.69,0.0,28.68,2654.0
66.04,0.0,11.93,0.0,22.03,2613.0
66.48,0.0,22.73,0.0,10.79,2547.0
66.08,0.0,18.03,0.0,15.89,2581.0
65.77,0.0,17.15,0.0,17.08,2591.0
65.66,0.0,18.28,0.0,16.05,2584.0
65.53,0.0,18.47,0.0,15.99,2586.0
64.66,0.0,8.66,0.0,26.68,2656.0
73.81,0.0,12.36,0.0,13.83,2509.0
74.21,0.0,17.92,0.0,7.86,2484.0
74.35,0.0,20.15,0.0,5.49,2469.0
73.78,0.0,13.4,0.0,12.82,2505.0
73.69,0.0,14.53,0.0,11.77,2505.0
72.81,0.0,7.02,0.0,20.17,2541.0
73.2,0.0,12.48,0.0,14.32,2518.0
73.18,0.0,12.82,0.0,13.99,2519.0
73.4,0.0,15.88,0.0,10.71,2501.0
73.82,0.0,22.88,0.0,3.3,2461.0
73.52,0.0,21.11,0.0,5.37,2474.0
72.8,0.0,13.32,0.0,13.88,2519.0
73.45,0.0,22.23,0.0,4.31,2470.0
73.01,0.0,17.34,0.0,9.64,2500.0
71.59,0.0,11.37,0.0,17.04,2546.0
71.29,0.0,8.55,0.0,20.16,2560.0
71.94,0.0,21.04,0.0,7.02,2495.0
71.27,0.0,17.93,0.0,10.8,2518.0
71.19,0.0,20.72,0.0,8.09,2499.0
70.4,0.0,10.48,0.0,19.12,2561.0
69.82,0.0,5.21,0.0,24.97,2594.0
69.89,0.0,8.73,0.0,21.38,2585.0
70.91,0.0,23.37,0.0,5.72,2495.0
70.07,0.0,13.27,0.0,16.66,2553.0
69.92,0.0,15.12,0.0,14.96,2549.0
54.92,0.0,22.6,0.0,22.47,2683.0
54.13,0.0,9.46,0.0,36.41,2773.0
54.45,0.0,15.67,0.0,29.88,2733.0
55.4,0.0,32.92,0.0,11.68,2610.0
53.73,0.0,5.79,0.0,40.47,2808.0
53.55,0.0,4.3,0.0,42.15,2816.0
55.31,0.0,41.09,0.0,3.6,2568.0
54.53,0.0,37.39,0.0,8.08,2587.0
53.91,0.0,30.34,0.0,15.75,2630.0
53.36,0.0,20.18,0.0,26.45,2705.0
52.03,0.0,4.18,0.0,43.79,2838.0
51.86,0.0,4.88,0.0,43.25,2832.0
53.04,0.0,27.45,0.0,19.51,2664.0
52.93,0.0,38.96,0.0,8.11,2601.0
51.43,0.0,19.9,0.0,28.66,2730.0
51.96,0.0,30.84,0.0,17.2,2665.0
50.57,0.0,9.68,0.0,39.74,2807.0
50.56,0.0,10.04,0.0,39.39,2802.0
51.02,0.0,22.53,0.0,26.45,2712.0
50.52,0.0,17.17,0.0,32.31,2761.0
50.19,0.0,13.95,0.0,35.85,2777.0
49.85,0.0,9.35,0.0,40.8,2821.0
50.1,0.0,16.56,0.0,33.33,2764.0
51.07,0.0,35.33,0.0,13.59,2648.0
50.38,0.0,23.01,0.0,26.61,2719.0
65.03,0.0,16.01,0.0,18.96,2595.0
64.93,0.0,21.08,0.0,13.99,2573.0
64.18,0.0,10.06,0.0,25.76,2649.0
65.32,0.0,32.09,0.0,2.59,2509.0
65.05,0.0,31.69,0.0,3.26,2517.0
64.62,0.0,26.43,0.0,8.94,2546.0
63.68,0.0,13.56,0.0,22.75,2638.0
62.16,0.0,7.83,0.0,30.01,2691.0
60.97,0.0,4.85,0.0,34.18,2719.0
61.06,0.0,9.25,0.0,29.68,2694.0
61.46,0.0,27.77,0.0,10.77,2575.0
60.09,0.0,9.93,0.0,29.98,2702.0
59.16,0.0,7.06,0.0,33.77,2729.0
59.47,0.0,16.11,0.0,24.41,2672.0
59.52,0.0,19.22,0.0,21.25,2657.0
57.9,0.0,4.74,0.0,37.35,2761.0
59.6,0.0,33.23,0.0,7.17,2562.0
57.78,0.0,9.48,0.0,32.73,2733.0
58.62,0.0,25.35,0.0,16.03,2618.0
57.92,0.0,16.42,0.0,25.66,2692.0
57.13,0.0,27.56,0.0,15.31,2626.0
56.32,0.0,15.09,0.0,28.59,2712.0
57.27,0.0,33.0,0.0,9.72,2588.0
55.86,0.0,13.16,0.0,30.98,2735.0
56.37,0.0,22.19,0.0,21.43,2665.0
51.04,0.0,36.41,0.0,12.55,2641.0
50.01,0.0,16.69,0.0,33.29,2761.0
49.5,0.0,9.07,0.0,41.42,2820.0
50.03,0.0,20.47,0.0,29.5,2741.0
50.49,0.0,32.41,0.0,17.1,2670.0
49.78,0.0,28.71,0.0,21.51,2696.0
50.01,0.0,33.35,0.0,16.64,2663.0
49.19,0.0,25.77,0.0,25.03,2710.0
47.78,0.0,4.98,0.0,47.23,2867.0
48.76,0.0,27.35,0.0,23.88,2717.0
48.71,0.0,28.92,0.0,22.37,2697.0
46.92,0.0,6.96,0.0,46.11,2859.0
46.54,0.0,16.13,0.0,37.33,2794.0
47.09,0.0,39.66,0.0,13.24,2654.0
45.5,0.0,7.51,0.0,46.99,2863.0
46.18,0.0,35.34,0.0,18.48,2681.0
46.52,0.0,43.72,0.0,9.76,2630.0
45.66,0.0,43.48,0.0,10.86,2640.0
44.05,0.0,8.72,0.0,47.23,2874.0
44.21,0.0,13.69,0.0,42.09,2837.0
43.65,0.0,4.48,0.0,51.86,2902.0
44.91,0.0,33.72,0.0,21.37,2703.0
44.18,0.0,21.56,0.0,34.26,2784.0
40.3,0.0,25.66,0.0,34.04,2800.0
37.48,0.0,37.54,0.0,24.98,2742.0
50.32,0.0,46.82,2.86,0.0,2561.0
50.57,0.0,42.43,7.0,0.0,2550.0
50.86,0.0,42.43,6.71,0.0,2548.0
50.89,0.0,39.54,9.57,0.0,2541.0
50.95,0.0,44.17,4.88,0.0,2553.0
