SiO2,Al2O3,MgO,CaO,Na2O,K2O,SO3,Young
51.8,10.0,20.0,0.0,16.0,0.0,0.0,98.0
52.95,9.0,20.0,0.0,16.0,0.0,0.0,98.0
55.0,10.0,35.0,0.0,0.0,0.0,0.0,115.0
7.85,87.06,5.0,0.0,0.0,0.0,0.0,120.0
54.29,9.87,34.55,0.0,0.0,0.0,0.0,125.0
53.76,9.78,34.21,0.0,0.0,0.0,0.0,133.0
53.14,9.66,33.82,0.0,0.0,0.0,0.0,144.0
53.04,9.64,33.75,0.0,0.0,0.0,0.0,150.0
52.88,9.62,33.65,0.0,0.0,0.0,0.0,150.0
72.0,2.0,2.0,8.0,15.0,1.0,0.0,76.6
58.14,14.25,0.37,0.19,14.48,10.81,0.0,70.7
96.0,1.0,0.0,0.0,0.0,0.0,0.0,65.9
57.0,20.0,12.0,6.0,1.0,0.0,0.0,89.1
72.0,2.0,4.0,7.0,14.0,1.0,0.0,73.4
67.8,5.0,1.5,11.5,13.0,1.0,0.0,70.56
67.8,5.0,3.5,9.0,11.5,3.0,0.0,70.56
68.07,2.01,4.02,8.03,12.55,1.0,0.0,72.52
56.29,12.74,0.0,0.0,30.97,0.0,0.0,68.0
52.37,29.62,0.0,0.0,18.01,0.0,0.0,74.0
51.62,32.85,0.0,0.0,15.53,0.0,0.0,77.0
65.06,15.77,0.0,0.0,19.17,0.0,0.0,70.0
47.72,34.7,0.0,0.0,17.58,0.0,0.0,78.0
58.0,13.12,0.0,28.87,0.0,0.0,0.0,92.5
55.81,21.04,0.0,23.15,0.0,0.0,0.0,91.25
53.28,30.14,0.0,16.58,0.0,0.0,0.0,91.25
54.2,26.82,0.0,18.97,0.0,0.0,0.0,98.0
72.3,1.2,0.0,13.9,12.6,0.0,0.0,55.0
74.4,0.0,0.0,0.0,0.0,25.6,0.0,49.03
71.84,0.0,0.0,0.0,0.0,28.16,0.0,47.67
68.72,0.0,0.0,0.0,0.0,31.28,0.0,46.04
65.68,0.0,0.0,0.0,0.0,34.32,0.0,43.92
72.49,0.0,3.9,8.4,13.8,0.42,0.0,72.5
76.95,8.16,0.0,0.0,14.88,0.0,0.0,65.0
35.22,32.18,0.0,29.58,0.0,0.0,0.0,111.4
34.99,35.62,0.0,29.39,0.0,0.0,0.0,102.2
34.99,35.62,0.0,29.39,0.0,0.0,0.0,105.7
71.0,3.0,5.0,7.0,13.0,1.0,0.0,70.56
73.0,1.0,4.0,5.0,17.0,0.0,0.0,69.58
70.5,2.0,3.0,4.2,12.2,5.3,0.2,73.03
72.77,1.5,4.1,5.71,14.51,0.3,0.2,71.65
61.0,17.0,4.0,0.0,13.0,3.0,0.0,71.54
60.2,18.0,9.0,6.7,1.6,0.0,0.0,86.12
96.5,0.5,0.0,0.0,0.0,0.0,0.0,66.15
96.0,0.0,0.0,0.0,0.4,0.0,0.0,17.25
68.2,2.01,0.0,8.22,7.92,9.43,0.0,72.34
74.0,20.0,2.0,0.0,0.0,0.0,0.0,85.26
72.7,1.0,3.9,8.4,13.0,0.6,0.0,73.0
72.0,2.0,3.0,9.0,14.0,0.0,0.0,70.56
65.0,25.0,10.0,0.0,0.0,0.0,0.0,85.5
58.23,11.24,2.71,22.09,0.5,0.3,0.0,72.23
72.0,2.0,4.0,9.0,12.0,1.0,0.0,24.5
28.0,70.0,0.0,0.0,0.0,0.0,0.0,187.0
78.59,16.63,0.0,0.0,0.0,0.0,0.0,79.1
81.98,14.01,0.0,0.0,0.0,0.0,0.0,76.3
84.53,12.04,0.0,0.0,0.0,0.0,0.0,76.2
6.23,42.26,4.18,47.33,0.0,0.0,0.0,109.4
52.38,9.11,13.97,24.54,0.0,0.0,0.0,89.0
78.33,0.0,0.0,0.0,0.0,21.67,0.0,62.0
65.68,0.0,0.0,0.0,0.0,34.32,0.0,56.4
56.43,0.0,0.0,0.0,0.0,43.57,0.0,54.0
58.0,20.0,2.0,3.0,13.0,4.0,0.0,74.41
51.37,34.93,13.7,0.0,0.0,0.0,0.0,104.9
50.17,35.05,13.75,0.0,0.0,0.0,0.0,106.3
49.05,35.11,13.77,0.0,0.0,0.0,0.0,109.7
46.62,35.36,13.86,0.0,0.0,0.0,0.0,113.9
55.0,15.0,0.0,0.0,30.0,0.0,0.0,68.9
74.28,1.03,3.59,5.09,15.53,0.47,0.0,67.6
72.0,1.04,3.96,9.98,13.02,0.0,0.0,72.41
72.57,0.0,0.0,9.44,14.01,2.49,0.0,72.73
73.1,0.0,0.0,2.18,14.74,5.03,0.0,72.09
57.02,20.47,12.01,5.54,1.0,0.0,0.0,87.59
62.1,18.59,0.0,0.0,15.07,0.0,0.0,71.81
67.47,12.72,0.0,0.0,15.46,0.0,0.0,71.57
73.13,6.53,0.0,0.0,15.88,0.0,0.0,70.34
55.92,29.65,0.0,0.0,14.42,0.0,0.0,72.3
60.9,24.31,0.0,0.0,14.78,0.0,0.0,70.6
66.14,18.7,0.0,0.0,15.16,0.0,0.0,68.63
71.64,12.8,0.0,0.0,15.56,0.0,0.0,66.67
77.45,6.57,0.0,0.0,15.98,0.0,0.0,64.95
