SiO2,Al2O3,MgO,CaO,Na2O,K2O,SO3,Young
 47.72, 34.7, , , 17.58, , , 77.5
 52.37, 29.62, , , 18.01, , , 73.2
 65.06, 15.77, , , 19.17, , , 69.8
 72.04, 8.15, , , 19.81, , , 65.0
 60.29, 8.12, , , 31.59, , , 63.9
 62.24, 8.12, , , 29.63, , , 63.4
 58.51, 22.91, , , 18.57, , , 71.3
 57.65, 26.34, , , 16.01, , , 71.2
 36.98, 41.83, , , 21.19, , , 78.5
 42.3, 35.89, , , 21.81, , , 73.9
 47.94, 29.58, , , 22.48, , , 70.9
 53.94, 22.88, , , 23.18, , , 68.4
 60.32, 15.75, , , 23.93, , , 67.0
 67.13, 8.14, , , 24.73, , , 63.5
 50.89, 35.98, , , 13.12, , , 77.3
 56.81, 29.66, , , 13.52, , , 73.7
 63.11, 22.94, , , 13.95, , , 71.9
 69.81, 15.79, , , 14.4, , , 70.9
 76.95, 8.16, , , 14.88, , , 65.3
 85.04, 7.12, , , , , , 77.6
 81.75, 10.53, , , , , , 78.8
 78.54, 13.85, , , , , , 80.1
 75.43, 17.06, , , , , , 81.8
 72.41, 20.19, , , , , , 82.6
 76.99, 9.33, , , , , , 81.8
 75.01, 12.73, , , , , , 82.4
 69.64, 21.94, , , , , , 83.0
 68.02, 24.73, , , , , , 82.8
 66.6, 26.2, , , , , , 82.8
 63.65, 31.3, , , , , , 87.0
 63.81, 29.09, , , , , , 84.6
 70.43, 16.3, , , , , , 84.5
 61.06, 32.96, , , , , , 81.2
 76.65, 4.0, , , , , , 82.4
 74.54, 7.78, , , , , , 83.0
 72.54, 11.36, , , , , , 83.8
 70.65, 14.75, , , , , , 84.2
 68.86, 17.97, , , , , , 85.3
 67.15, 21.03, , , , , , 85.2
 65.52, 23.95, , , , , , 85.7
 63.98, 26.72, , , , , , 84.3
 62.86, 28.72, , , , , , 84.5
 62.5, 29.37, , , , , , 84.9
 61.09, 31.9, , , , , , 87.5
 59.75, 34.31, , , , , , 88.8
 72.08, 9.71, , , , , , 84.2
 59.78, 32.2, , , , , , 85.8
 58.45, 34.63, , , , , , 87.3
 58.44, 33.59, , , , , , 86.7
 66.89, 16.75, , , , , , 86.2
 58.44, 32.51, , , , , , 86.3
 57.76, 32.67, , , , , , 85.7
 59.89, 24.96, , , , , , 87.6
 47.69, 40.46, , , , , , 82.5
 41.54, 46.99, , , , , , 90.5
 62.38, 31.6, , , , , , 88.6
 73.5, 0.56, , 16.63, , , , 84.0
 62.11, 20.27, , , 7.88, , , 78.6
 62.11, 20.27, , , 7.88, , , 67.4
 64.76, 21.13, , , , , , 85.7
 64.76, 21.13, , , , , , 70.3
 59.1, 19.28, , , 16.88, , , 74.9
 65.3, 18.47, , , , , , 92.3
 65.3, 18.47, , , , , , 84.8
 55.6, 15.72, , , 28.67, , , 72.3
 71.61, , 3.81, 10.13, 14.04, , , 64.0
 37.87, 11.93, , 4.77, 4.47, , , 83.1
 59.54, 5.32, , , 1.2, , , 72.2
 40.0, 6.1, , 3.0, 3.0, , , 81.9
 43.23, 13.64, , 2.61, 2.71, , , 80.0
 46.09, 6.11, , 2.81, 2.91, , , 79.7
 41.5, 7.0, 5.0, , , , , 69.9
 42.6, 6.7, 7.5, , 1.2, , , 76.9
 40.8, 5.3, , 5.1, 4.8, , , 78.4
 58.33, 25.0, 15.0, , , , , 97.23
 56.66, 25.0, 15.0, , , , , 97.98
 54.99, 25.0, 15.0, , , , , 104.2
 53.32, 25.0, 15.0, , , , , 109.6
 51.64, 25.0, 15.0, , , , , 98.17
 *, *, , , , , , 109.27
 17.27, *, , *, , , , 84.39
 14.63, *, , *, , , , 86.24
 2.58, 10.93, , *, , , , 82.98
 36.92, 31.32, , *, , , , 84.02
 36.86, 19.24, , *, , , , 79.92
 33.36, 23.59, , *, , , , 81.96
 30.0, 27.77, , *, , , , 83.44
 27.41, 21.14, , *, , , , 81.41
 24.49, 24.94, , *, , , , 82.83
 77.51, 2.7, , , 3.86, 3.86, , 63.0
 75.89, 1.15, , 8.77, 13.67, 0.52, , 74.0
 57.37, 1.0, , , 4.01, 8.53, , 57.5
 54.11, 14.43, 4.61, 17.84, 0.5, 0.1, , 73.0
 35.04, 25.01, , , , , , 94.9
 31.02, 21.72, , , , , , 114.5
 25.01, 24.95, , , , , , 114.5
 25.01, 24.95, , , , , , 106.6
 22.65, 20.78, , , , , , 121.3
 22.85, 26.97, , , , , , 110.9
 18.23, 17.56, , , , , , 107.0
 70.99, 0.94, , , 11.02, , , 70.0
 29.77, 21.25, , , , , , 94.9
 23.88, 24.31, , , , , , 99.7
 35.04, 25.01, , , , , , 112.3
 31.02, 21.72, , , , , , 114.5
 60.0, 30.0, , , , , , 124.9
 50.0, 20.0, , , , , , 108.2
 54.0, 21.0, , , , , , 94.57
 60.0, 30.0, , , , , , 88.98
 32.94, 0.5, , *, *, , , 75.6
 32.94, 1.0, , *, *, , , 77.6
 32.94, 2.0, , *, *, , , 85.9
 32.94, 8.0, , *, *, , , 81.0
 32.94, 12.0, , *, *, , , 80.7
 32.94, 0.25, , *, *, , , 75.9
 32.94, 1.0, , *, *, , , 71.1
 32.94, 2.0, , *, *, , , 72.5
 32.94, 2.0, , *, *, , , 77.6
 32.94, 3.0, , *, *, , , 74.3
 32.94, 2.0, , *, *, , , 78.3
