SiO2,Al2O3,MgO,CaO,Na2O,K2O,SO3,Poisson Ratio
71.34,0.71,1.02,9.18,11.48,5.1,0.0,0.22
50.13,22.68,0.0,6.24,0.0,20.95,0.0,0.231
50.85,23.01,0.0,6.33,2.8,17.01,0.0,0.229
51.61,23.35,0.0,6.42,5.68,12.94,0.0,0.23
52.38,23.7,0.0,6.52,8.64,8.76,0.0,0.23
53.17,24.06,0.0,6.62,11.7,4.45,0.0,0.229
72.21,1.92,4.04,7.98,13.85,0.0,0.0,0.22
71.79,0.07,1.03,9.24,11.55,5.14,0.0,0.22
72.29,0.6,4.02,9.64,13.45,0.0,0.0,0.23
71.2,1.65,0.07,11.83,14.74,0.01,0.0,0.22
65.68,0.0,0.0,0.0,0.0,34.32,0.0,0.23
87.0,0.0,0.0,0.0,0.0,13.0,0.0,0.23
85.0,0.0,0.0,0.0,0.0,15.0,0.0,0.23
84.0,0.0,0.0,0.0,0.0,16.0,0.0,0.23
80.0,0.0,0.0,0.0,0.0,20.0,0.0,0.25
75.0,0.0,0.0,0.0,0.0,25.0,0.0,0.27
68.0,0.0,0.0,0.0,0.0,32.0,0.0,0.25
77.33,3.36,1.66,2.31,15.34,0.0,0.0,0.19
78.23,3.36,2.66,0.92,13.28,1.55,0.0,0.18
76.83,3.36,2.66,2.31,13.29,1.55,0.0,0.19
75.41,3.37,2.66,3.7,13.3,1.56,0.0,0.21
72.26,0.52,4.04,9.71,13.47,0.0,0.0,0.21
71.71,0.69,4.18,8.85,14.41,0.16,0.0,0.22
73.41,1.45,0.08,10.3,14.74,0.01,0.0,0.222
69.55,0.0,0.0,8.65,0.0,21.8,0.0,0.23
62.19,18.91,2.36,0.04,13.48,0.01,0.0,0.216
62.07,18.85,2.28,0.03,12.41,1.38,0.0,0.202
62.2,18.91,2.07,0.41,13.43,0.01,0.0,0.211
61.97,18.76,2.02,0.42,12.42,1.38,0.0,0.21
61.97,18.82,2.07,0.05,13.5,0.04,0.0,0.202
61.61,18.73,2.07,0.04,12.62,1.35,0.0,0.214
61.66,18.73,1.73,0.41,12.48,1.38,0.0,0.221
61.52,18.68,1.69,0.04,12.55,1.38,0.0,0.209
59.03,7.9,4.93,3.48,9.03,12.99,0.0,0.23
58.14,8.34,3.3,3.4,9.01,12.98,0.0,0.23
70.37,3.35,6.89,0.28,10.99,7.11,0.0,0.18
60.92,12.83,6.66,0.09,12.2,5.93,0.0,0.23
64.19,19.04,0.01,0.06,11.58,0.73,0.0,0.209
54.87,24.83,4.96,0.08,14.89,0.0,0.0,0.22
51.13,28.54,5.41,0.08,14.48,0.0,0.0,0.215
53.75,24.41,0.08,6.77,14.63,0.0,0.0,0.22
50.53,28.05,0.08,6.72,14.29,0.0,0.0,0.237
54.16,24.61,2.07,4.14,14.66,0.0,0.0,0.225
58.76,22.43,3.17,1.83,13.46,0.0,0.0,0.216
55.41,15.43,0.0,0.0,29.16,0.002473,0.0,0.255
49.55,13.73,0.0,0.0,0.008362,36.72,0.0,0.262
68.43,9.94,6.75,0.0,12.09,1.53,0.0,0.2
73.19,1.01,3.52,8.47,13.1,0.6,0.0,0.23
60.49,19.75,1.74,0.41,12.13,1.36,0.0,0.209
61.69,18.71,1.7,0.42,12.23,1.35,0.0,0.203
61.22,19.57,1.51,0.04,13.67,0.01,0.0,0.215
61.25,19.69,1.36,0.03,13.12,0.01,0.0,0.225
61.43,19.64,1.12,0.05,13.16,0.01,0.0,0.207
61.33,19.62,1.52,0.03,13.07,0.01,0.0,0.224
61.47,19.53,1.49,0.03,12.88,0.01,0.0,0.217
65.97,16.42,4.1,0.95,3.98,4.53,0.0,0.228
73.64,2.57,0.67,9.18,13.86,0.0,0.0,0.207
72.85,2.51,1.26,9.58,13.69,0.0,0.0,0.204
72.31,2.58,2.0,9.72,13.31,0.0,0.0,0.211
70.93,2.59,2.57,9.73,13.9,0.0,0.2,0.214
70.14,2.58,3.26,9.62,14.29,0.0,0.0,0.217
69.67,2.64,3.93,9.74,13.91,0.0,0.0,0.213
69.03,2.5,4.6,9.84,13.91,0.0,0.0,0.214
75.56,2.46,1.94,6.75,13.21,0.0,0.0,0.197
73.83,2.53,1.9,7.7,14.01,0.0,0.0,0.199
