Search Condition
State,Not Specified
Composition
,Component Unit,mass%
Component,Main,,Component,,,,min,max
,,NOT,B2O3,,,,,,
,*,AND,Na2O,,,,,,
,*,AND,MgO,,,,,,
,*,AND,Al2O3,,,,,,
,*,AND,SiO2,,,,,,
,,OR,SO2,SO3,,,,,
,,OR,K2O,,,,,,
,*,AND,CaO,,,,,,
,Total of Main Components >=,96,%
Commercial Glass,
Glass System,
Filler,
Crystal,
Substrate,
Shape,
Usage,
Property
,Property,,,,Unit,min,max
,Poisson Ratio,,,,Common,,
Structure
,Structure,Element,Unit,min,max
Data Source
,Data Source,Year,,Number,Cat No,Pat Co
Glass ID,,
Max Data,10000

List Condition
,Component Unit,mass%
,Property Unit,Common

No., Glass No., Data Source, Year, Data Source Number, SiO2, B2O3, Al2O3, MgO, CaO, Na2O, K2O, SO3, SO2, Poisson Ratio
660, GC04-098661, Schott Glas (Jena) (DE), , D529, *, , , , , *, *, , , 0.21
661, GC04-098662, Schott Glas (Jena) (DE), , D530, *, , , , , *, *, , , 0.21
662, GC04-098663, Schott Glas (Jena) (DE), , D531, *, , , , , *, *, , , 0.22
663, GC04-098669, Schott Glas (Jena) (DE), , D520, *, , , , , *, *, , , 0.22
664, GC04-098670, Schott Glas (Jena) (DE), , D522, *, , , , , *, *, , , 0.22
665, GC04-098671, Schott Glas (Jena) (DE), , D524, *, , , , , *, *, , , 0.22
666, GC05-098674, Schott Glas (Jena) (DE), , D045, *, *, *, , , *, *, , , 0.23
667, GC03-098675, Schott Glas (Jena) (DE), , D159, *, *, *, , , *, *, , , 0.25
668, GC05-098688, Schott Glas (Jena) (DE), , D381, *, *, *, , , , *, , , 0.19
669, GC05-098689, Schott Glas (Jena) (DE), , D382, *, *, *, , , , *, , , 0.22
670, GC05-098690, Schott Glas (Jena) (DE), , D388, *, *, *, , , , *, , , 0.2
671, GC04-098693, Schott Glas (Jena) (DE), , D367, *, , , , , *, *, , , 0.27
672, GC05-098694, Schott Glas (Jena) (DE), , D383, *, *, *, , , , *, , , 0.21
673, GC04-098697, Schott Glas (Jena) (DE), , D501, *, , , , , *, *, , , 0.22
674, GC04-098698, Schott Glas (Jena) (DE), , D503, *, , , , , *, *, , , 0.23
675, GC04-098699, Schott Glas (Jena) (DE), , D504, *, , , , , *, *, , , 0.24
676, GC04-098701, Schott Glas (Jena) (DE), , D506, *, , , , , *, *, , , 0.25
677, GC04-098702, Schott Glas (Jena) (DE), , D507, *, , , , , *, *, , , 0.26
678, GC02-098703, Schott Glas (Jena) (DE), , D101, *, , *, , *, *, *, , , 0.18
679, GC02-098704, Schott Glas (Jena) (DE), , D102, *, , *, , *, *, *, , , 0.19
680, GC04-098705, Schott Glas (Jena) (DE), , D319, *, , , , , *, *, , , 0.22
681, GC04-098706, Schott Glas (Jena) (DE), , D321, *, , , , , *, *, , , 0.24
682, GC04-098707, Schott Glas (Jena) (DE), , D322, *, , , , , *, *, , , 0.24
683, GC04-098708, Schott Glas (Jena) (DE), , D324, *, , , , , *, *, , , 0.24
684, GC04-098710, Schott Glas (Jena) (DE), , D356, *, , , , , *, *, , , 0.22
685, GC04-098711, Schott Glas (Jena) (DE), , D357, *, , , , , *, *, , , 0.22
686, GC04-098712, Schott Glas (Jena) (DE), , D358, *, , , , , *, *, , , 0.24
687, GC04-098713, Schott Glas (Jena) (DE), , D359, *, , , , , *, *, , , 0.25
688, GC04-098714, Schott Glas (Jena) (DE), , D360, *, , , , , *, *, , , 0.23
689, GC04-098715, Schott Glas (Jena) (DE), , D362, *, , , , , *, *, , , 0.26
690, GC04-098716, Schott Glas (Jena) (DE), , D364, *, , , , , *, *, , , 0.26
691, GC04-098717, Schott Glas (Jena) (DE), , D365, *, , , , , *, *, , , 0.26
692, GC04-098718, Schott Glas (Jena) (DE), , D485, *, , , , , *, *, , , 0.24
693, GC04-098719, Schott Glas (Jena) (DE), , D284, *, , , , , *, *, , , 0.23
694, GC04-098720, Schott Glas (Jena) (DE), , D338, *, , , , , *, *, , , 0.2
695, GC04-098721, Schott Glas (Jena) (DE), , D339, *, , , , , *, *, , , 0.19
696, GC04-098722, Schott Glas (Jena) (DE), , D341, *, , , , , *, *, , , 0.21
697, GC04-098723, Schott Glas (Jena) (DE), , D460, *, , , , , *, *, , , 0.22
698, GC04-098724, Schott Glas (Jena) (DE), , D474, *, , , , , *, *, , , 0.21
699, GC04-098725, Schott Glas (Jena) (DE), , D475, *, , , , , *, *, , , 0.24
700, GC02-098729, Schott Glas (Jena) (DE), , D113, *, , *, , *, *, *, , , 0.21
701, GC07-098730, Schott Glas (Jena) (DE), , D124, *, *, , , , *, *, , , 0.21
702, GC07-098731, Schott Glas (Jena) (DE), , D127, *, *, , , , *, *, , , 0.22
703, GC07-098732, Schott Glas (Jena) (DE), , D128, *, *, , , , *, *, , , 0.24
704, GC07-098733, Schott Glas (Jena) (DE), , D129, *, *, , , , *, *, , , 0.24
705, GC02-098734, Schott Glas (Jena) (DE), , D142, *, *, , , , *, *, , , 0.22
706, GC05-098735, Schott Glas (Jena) (DE), , D013, *, *, *, , , , *, , , 0.24
707, GC05-098736, Schott Glas (Jena) (DE), , D016, *, *, *, , , , *, , , 0.23
708, GC05-098737, Schott Glas (Jena) (DE), , D058, *, *, , , , *, *, , , 0.22
709, GC05-098738, Schott Glas (Jena) (DE), , D059, *, *, , , , *, *, , , 0.2
710, GC04-098739, Schott Glas (Jena) (DE), , D477, *, , , , , *, *, , , 0.22
711, GC04-098740, Schott Glas (Jena) (DE), , D479, *, , , , , *, *, , , 0.22
712, GC04-098741, Schott Glas (Jena) (DE), , D480, *, , , , , *, *, , , 0.22
713, GC04-098742, Schott Glas (Jena) (DE), , D481, *, , , , , *, *, , , 0.21
714, GC04-098743, Schott Glas (Jena) (DE), , D482, *, , , , , *, *, , , 0.22
715, GC05-098744, Schott Glas (Jena) (DE), , D043, *, *, *, , , *, *, , , 0.22
716, GC05-098745, Schott Glas (Jena) (DE), , D044, *, *, , , , *, *, , , 0.22
717, GC05-098746, Schott Glas (Jena) (DE), , D066, *, *, , , , *, *, , , 0.22
718, GC03-098747, Schott Glas (Jena) (DE), , D155, *, *, *, , , *, *, , , 0.23
719, GC03-098748, Schott Glas (Jena) (DE), , D156, *, *, *, , , *, *, , , 0.24
720, GC03-098749, Schott Glas (Jena) (DE), , D158, *, *, *, , , *, *, , , 0.24
721, GC03-098750, Schott Glas (Jena) (DE), , D162, *, *, *, , , *, *, , , 0.24
722, GC05-098752, Schott Glas (Jena) (DE), , D064, *, *, , , , *, *, , , 0.21
723, GC02-098754, Schott Glas (Jena) (DE), , D104, *, , *, , *, *, *, , , 0.22
724, GC02-098755, Schott Glas (Jena) (DE), , D107, *, , *, , *, *, *, , , 0.21
725, GC02-098756, Schott Glas (Jena) (DE), , D109, *, , *, , *, *, *, , , 0.22
726, GC02-098757, Schott Glas (Jena) (DE), , D110, *, , *, , *, *, *, , , 0.21
727, GC04-098763, Schott Glas (Jena) (DE), , D508, *, , , , , *, *, , , 0.27
728, GC04-098764, Schott Glas (Jena) (DE), , D509, *, , , , , *, *, , , 0.28
729, GC04-098776, Mashpriborintorg (SU), , C325, *, , , , , *, *, , , 0.231
730, GC05-098784, Mashpriborintorg (SU), , C001, *, *, *, , , , *, , , 0.242
731, GC05-098785, Mashpriborintorg (SU), , C002, *, *, *, , , , *, , , 0.228
732, GC05-098786, Mashpriborintorg (SU), , C004, *, *, *, , , , *, , , 0.205
733, GC05-098787, Mashpriborintorg (SU), , C005, *, *, *, , , , *, , , 0.184
734, GC05-098788, Mashpriborintorg (SU), , C007, *, *, *, , , , *, , , 0.241
735, GC05-098789, Mashpriborintorg (SU), , C009, *, *, *, , , , *, , , 0.241
736, GC05-098790, Mashpriborintorg (SU), , C011, *, *, *, , , , *, , , 0.198
737, GC05-098791, Mashpriborintorg (SU), , C021, *, *, , , , *, *, , , 0.232
738, GC05-098792, Mashpriborintorg (SU), , C022, *, *, , , , *, *, , , 0.232
739, GC05-098793, Mashpriborintorg (SU), , C024, *, *, , , , *, *, , , 0.256
740, GC05-098794, Mashpriborintorg (SU), , C040, *, *, *, , , *, *, , , 0.29
741, GC02-098795, Mashpriborintorg (SU), , C050, *, , *, , *, *, *, , , 0.21
742, GC02-098796, Mashpriborintorg (SU), , C052, *, , *, , *, *, *, , , 0.208
743, GC02-098797, Mashpriborintorg (SU), , C054, *, , *, , *, *, *, , , 0.204
744, GC02-098798, Mashpriborintorg (SU), , C056, *, , *, , *, *, *, , , 0.209
745, GC02-098799, Mashpriborintorg (SU), , C059, *, , *, , *, *, *, , , 0.203
746, GC02-098800, Mashpriborintorg (SU), , C061, *, , *, , *, *, *, , , 0.24
747, GC02-098801, Mashpriborintorg (SU), , C063, *, , *, , *, *, *, , , 0.202
748, GC02-098802, Mashpriborintorg (SU), , C064, *, , *, , *, *, *, , , 0.219
749, GC02-098803, Mashpriborintorg (SU), , C066, *, , *, , *, *, *, , , 0.221
750, GC05-098804, Mashpriborintorg (SU), , C081, *, *, , , , *, *, , , 0.226
751, GC05-098805, Mashpriborintorg (SU), , C083, *, *, , , , *, *, , , 0.232
752, GC05-098806, Mashpriborintorg (SU), , C085, *, *, , , , *, *, , , 0.229
753, GC05-098807, Mashpriborintorg (SU), , C088, *, *, , , , *, *, , , 0.244
754, GC05-098808, Mashpriborintorg (SU), , C093, *, *, , , , *, *, , , 0.237
755, GC04-098821, Mashpriborintorg (SU), , C316, *, , , , , *, *, , , 0.221
756, GC04-098822, Mashpriborintorg (SU), , C318, *, , , , , *, *, , , 0.216
757, GC04-098823, Mashpriborintorg (SU), , C320, *, , , , , *, *, , , 0.222
758, GC04-098824, Mashpriborintorg (SU), , C322, *, , , , , *, *, , , 0.199
759, GC04-098825, Mashpriborintorg (SU), , C327, *, , , , , *, *, , , 0.247
760, GC04-098826, Mashpriborintorg (SU), , C329, *, , , , , *, *, , , 0.215
761, GC04-098827, Mashpriborintorg (SU), , C331, *, , , , , *, *, , , 0.248
762, GC04-098828, Mashpriborintorg (SU), , C341, *, , , , , *, *, , , 0.227
763, GC04-098829, Mashpriborintorg (SU), , C343, *, , , , , *, *, , , 0.227
764, GC04-098830, Mashpriborintorg (SU), , C345, *, , , , , *, *, , , 0.221
765, GC04-098831, Mashpriborintorg (SU), , C347, *, , , , , *, *, , , 0.24
766, GC04-098832, Mashpriborintorg (SU), , C349, *, , , , , *, *, , , 0.24
767, GC04-098833, Mashpriborintorg (SU), , C351, *, , , , , *, *, , , 0.249
768, GC04-098834, Mashpriborintorg (SU), , C353, *, , , , , *, *, , , 0.229
769, GC04-098835, Mashpriborintorg (SU), , C353, *, , , , , *, *, , , 0.245
770, GC04-098836, Mashpriborintorg (SU), , C357, *, , , , , *, *, , , 0.259
771, GC04-098837, Mashpriborintorg (SU), , C358, *, , , , , *, *, , , 0.236
772, GC02-098854, Mashpriborintorg (SU), , C217, *, , , , , *, *, , , 0.203
773, GC02-098855, Mashpriborintorg (SU), , C219, *, , , , , *, *, , , 0.223
774, GC02-098856, Mashpriborintorg (SU), , C221, *, , , , , *, *, , , 0.243
775, GC02-098857, Mashpriborintorg (SU), , C223, *, , , , , *, *, , , 0.248
776, GC02-098858, Mashpriborintorg (SU), , C225, *, , , , , *, *, , , 0.239
777, GC02-098859, Mashpriborintorg (SU), , C227, *, , , , , *, *, , , 0.271
778, GC02-098860, Mashpriborintorg (SU), , C229, *, , , , , *, *, , , 0.243
779, GC02-098861, Mashpriborintorg (SU), , C231, *, , , , , *, *, , , 0.27
780, GC02-098862, Mashpriborintorg (SU), , C233, *, , , , , *, *, , , 0.286
781, GC02-098863, Mashpriborintorg (SU), , C239, *, , , , , *, *, , , 0.235
782, GC02-098864, Mashpriborintorg (SU), , C242, *, , , , , *, *, , , 0.234
783, GC02-098865, Mashpriborintorg (SU), , C243, *, , , , , *, *, , , 0.25
784, GC02-098866, Mashpriborintorg (SU), , C245, *, , , , , *, *, , , 0.246
785, GC02-098867, Mashpriborintorg (SU), , C246, *, , , , , *, *, , , 0.243
786, GC02-098868, Mashpriborintorg (SU), , C248, *, , , , , *, *, , , 0.238
787, GC02-098869, Mashpriborintorg (SU), , C248, *, , , , , *, *, , , 0.277
788, GC04-098870, Mashpriborintorg (SU), , C270, *, , , , , *, *, , , 0.308
789, GC04-098871, Mashpriborintorg (SU), , C271, *, , , , , *, *, , , 0.308
790, GC04-098872, Mashpriborintorg (SU), , C274, *, , , , , *, *, , , 0.313
791, GC04-098873, Mashpriborintorg (SU), , C275, *, , , , , *, *, , , 0.27
792, GC04-098875, Mashpriborintorg (SU), , C277, *, , , , , *, *, , , 0.302
793, GC04-098877, Mashpriborintorg (SU), , C296, *, , , , , *, *, , , 0.204
794, GC04-098878, Mashpriborintorg (SU), , C298, *, , , , , *, *, , , 0.21
795, GC04-098879, Mashpriborintorg (SU), , C299, *, , , , , *, *, , , 0.239
796, GC04-098880, Mashpriborintorg (SU), , C300, *, , , , , *, *, , , 0.244
797, GC04-098881, Mashpriborintorg (SU), , C301, *, , , , , *, *, , , 0.218
798, GC04-098882, Mashpriborintorg (SU), , C302, *, , , , , *, *, , , 0.211
799, GC04-098883, Mashpriborintorg (SU), , C304, *, , , , , *, *, , , 0.234
800, GP02-100012, US Patent    USA Gov. (US), 1984, A4482205, 66.37, , , , , 3.4, 18.22, , , 0.226
801, GP20-106452, US Patent    Schott Corp. (US), 1990, A4929387, , , 9.91, , , 4.21, 6.4, , , 0.26
802, GP20-106453, US Patent    Schott Corp. (US), 1990, A4929387, , , 9.92, , , , 9.53, , , 0.242
803, GP20-106455, US Patent    Schott Corp. (US), 1990, A4929387, , , 9.61, , , 6.07, 9.23, , , 0.251
804, GP20-106456, US Patent    Schott Corp. (US), 1990, A4929387, , , 9.32, , , , 17.89, , , 0.253
805, GP20-107743, European Patent, 1990, A0356746, , , 9.91, , , 4.21, 6.4, , , 0.242
806, GP20-107744, European Patent, 1990, A0356746, , , 9.92, , , , 9.53, , , 0.242
807, GP20-107746, European Patent, 1990, A0356746, , , 9.61, , , 6.07, 9.23, , , 0.251
808, GP20-107747, European Patent, 1990, A0356746, , , 9.32, , , , 17.89, , , 0.253
809, GJ20-111864, J. American Ceramic Soc., 1989, v. 072  p. 0533, , , , , , , 6.8, , , 0.25
810, GJ20-111865, J. American Ceramic Soc., 1989, v. 072  p. 0533, , , , , , , 14.1, , , 0.25
811, GJ20-111866, J. American Ceramic Soc., 1989, v. 072  p. 0533, , , , , , , 21.97, , , 0.29
812, GJ20-111867, J. American Ceramic Soc., 1989, v. 072  p. 0533, , , , , , , 30.47, , , 0.3
813, GJ20-111873, J. American Ceramic Soc., 1989, v. 072  p. 0533, , , , , , , 6.82, , , 0.23
814, GJ20-111874, J. American Ceramic Soc., 1989, v. 072  p. 0533, , , , , , , 14.14, , , 0.26
815, GJ20-111875, J. American Ceramic Soc., 1989, v. 072  p. 0533, , , , , , , 22.04, , , 0.28
816, GJ20-111876, J. American Ceramic Soc., 1989, v. 072  p. 0533, , , , , , , 30.57, , , 0.32
817, GJ20-111979, J. American Ceramic Soc., 1989, v. 072  p. 0929, , , *, , , *, *, , , 0.259
818, GJ20-113242, Physics and Chemistry of  Glasses, 1989, v. 030  p. 0130, , , , , , , 14.1, , , 0.25
819, GJ20-113243, Physics and Chemistry of  Glasses, 1989, v. 030  p. 0130, , , , , , 2.35, 10.71, , , 0.27
820, GJ20-113244, Physics and Chemistry of  Glasses, 1989, v. 030  p. 0130, , , , , , 4.75, 7.22, , , 0.27
821, GJ20-113245, Physics and Chemistry of  Glasses, 1989, v. 030  p. 0130, , , , , , 7.22, 3.66, , , 0.27
822, GJ20-113247, Physics and Chemistry of  Glasses, 1989, v. 030  p. 0130, , , , , , , 30.57, , , 0.32
823, GJ20-113248, Physics and Chemistry of  Glasses, 1989, v. 030  p. 0130, , , , , , 2.55, 27.11, , , 0.29
824, GJ20-113249, Physics and Chemistry of  Glasses, 1989, v. 030  p. 0130, , , , , , 5.16, 23.54, , , 0.29
825, GJ20-113250, Physics and Chemistry of  Glasses, 1989, v. 030  p. 0130, , , , , , 7.85, 19.89, , , 0.28
826, GJ20-113251, Physics and Chemistry of  Glasses, 1989, v. 030  p. 0130, , , , , , 10.61, 16.13, , , 0.28
827, GJ20-113252, Physics and Chemistry of  Glasses, 1989, v. 030  p. 0130, , , , , , 13.45, 12.27, , , 0.28
828, GJ20-113253, Physics and Chemistry of  Glasses, 1989, v. 030  p. 0130, , , , , , 16.37, 8.29, , , 0.28
829, GJ20-113254, Physics and Chemistry of  Glasses, 1989, v. 030  p. 0130, , , , , , 19.37, 4.21, , , 0.28
830, GJ20-113256, Physics and Chemistry of  Glasses, 1989, v. 030  p. 0130, , , , , , , 14.1, , , 0.25
831, GJ20-113257, Physics and Chemistry of  Glasses, 1989, v. 030  p. 0130, , , , , , , 10.84, , , 0.27
832, GJ20-113258, Physics and Chemistry of  Glasses, 1989, v. 030  p. 0130, , , , , , , 7.41, , , 0.26
833, GJ20-113259, Physics and Chemistry of  Glasses, 1989, v. 030  p. 0130, , , , , , , 3.8, , , 0.25
834, GJ20-113261, Physics and Chemistry of  Glasses, 1989, v. 030  p. 0130, , , , , , , 30.57, , , 0.32
835, GJ20-113262, Physics and Chemistry of  Glasses, 1989, v. 030  p. 0130, , , , , , , 27.47, , , 0.29
836, GJ20-113263, Physics and Chemistry of  Glasses, 1989, v. 030  p. 0130, , , , , , , 24.19, , , 0.28
837, GJ20-113264, Physics and Chemistry of  Glasses, 1989, v. 030  p. 0130, , , , , , , 20.73, , , 0.27
838, GJ20-113265, Physics and Chemistry of  Glasses, 1989, v. 030  p. 0130, , , , , , , 17.07, , , 0.27
839, GJ20-113266, Physics and Chemistry of  Glasses, 1989, v. 030  p. 0130, , , , , , , 13.18, , , 0.26
840, GJ20-113267, Physics and Chemistry of  Glasses, 1989, v. 030  p. 0130, , , , , , , 9.06, , , 0.27
841, GJ20-113268, Physics and Chemistry of  Glasses, 1989, v. 030  p. 0130, , , , , , , 4.67, , , 0.26
842, GJ20-115286, J. Materials Science, 1989, v. 024  p. 2380, , , , , , , 4.71, , , 0.22
843, GJ20-115287, J. Materials Science, 1989, v. 024  p. 2380, , , , , , , 10.11, , , 0.25
844, GJ20-115288, J. Materials Science, 1989, v. 024  p. 2380, , , , , , , 16.37, , , 0.28
845, GJ20-115289, J. Materials Science, 1989, v. 024  p. 2380, , , , , , , 23.73, , , 0.29
846, GJ20-115291, J. Materials Science, 1989, v. 024  p. 2380, , , , , , , 5.17, , , 0.23
847, GJ20-115292, J. Materials Science, 1989, v. 024  p. 2380, , , , , , , 11.19, , , 0.25
848, GJ20-115293, J. Materials Science, 1989, v. 024  p. 2380, , , , , , , 18.28, , , 0.27
849, GJ20-115294, J. Materials Science, 1989, v. 024  p. 2380, , , , , , , 26.76, , , 0.27
850, GJ05-115361, J. Materials Science, 1989, v. 024  p. 3635, 80.5, 13.0, 2.0, , , 4.0, 0.5, , , 0.2
851, GP20-117159, Japanese Patent    Schott Corp. (US), 1991, A075235, , , 11.81, , , 8.26, 8.26, , , 0.26
852, GP20-117160, Japanese Patent    Schott Corp. (US), 1991, A075235, , , 11.84, , , , 12.31, , , 0.242
853, GP20-117162, Japanese Patent    Schott Corp. (US), 1991, A075235, , , 11.84, , , 12.31, 12.31, , , 0.251
854, GP20-117163, Japanese Patent    Schott Corp. (US), 1991, A075235, , , 11.84, , , , 24.61, , , 0.253
855, GB20-135541, Handbook of Glass Data, 1991, v. 00D  p. 0525, , , , , , , 5.28, , , 0.271
856, GB20-135542, Handbook of Glass Data, 1991, v. 00D  p. 0525, , , , , , , 10.2, , , 0.277
857, GB20-135543, Handbook of Glass Data, 1991, v. 00D  p. 0525, , , , , , , 14.79, , , 0.284
858, GB20-135544, Handbook of Glass Data, 1991, v. 00D  p. 0525, , , , , , , 19.07, , , 0.283
859, GB20-135545, Handbook of Glass Data, 1991, v. 00D  p. 0525, , , , , , , 23.09, , , 0.293
860, GB20-135546, Handbook of Glass Data, 1991, v. 00D  p. 0525, , , , , , , 26.86, , , 0.295
861, GB20-135547, Handbook of Glass Data, 1991, v. 00D  p. 0525, , , , , , , 30.41, , , 0.3
862, GB20-135679, Handbook of Glass Data, 1991, v. 00D  p. 0548, , , , 3.7, , , 43.6, , , 0.327
863, GB02-138837, Handbook of Glass Data, 1993, v. 00E  p. 0435, 77.84, , , , , 16.06, 6.1, , , 0.222
864, GB02-138838, Handbook of Glass Data, 1993, v. 00E  p. 0435, 71.32, , , , , 23.08, 5.59, , , 0.24
865, GB02-138839, Handbook of Glass Data, 1993, v. 00E  p. 0435, 68.35, , , , , 14.1, 17.55, , , 0.282
866, GB02-138840, Handbook of Glass Data, 1993, v. 00E  p. 0435, 79.63, , , , , 14.75, 5.61, , , 0.228
867, GB20-140303, Handbook of Glass Data, 1993, v. 00E  p. 0705, , , , , , , 6.8, , , 0.25
868, GB20-140304, Handbook of Glass Data, 1993, v. 00E  p. 0705, , , , , , , 14.1, , , 0.25
869, GB20-140305, Handbook of Glass Data, 1993, v. 00E  p. 0705, , , , , , , 21.97, , , 0.29
870, GB20-140306, Handbook of Glass Data, 1993, v. 00E  p. 0705, , , , , , , 30.47, , , 0.3
871, GB20-140312, Handbook of Glass Data, 1993, v. 00E  p. 0705, , , , , , , 6.82, , , 0.23
872, GB20-140313, Handbook of Glass Data, 1993, v. 00E  p. 0705, , , , , , , 14.14, , , 0.26
873, GB20-140314, Handbook of Glass Data, 1993, v. 00E  p. 0705, , , , , , , 22.04, , , 0.28
874, GB20-140315, Handbook of Glass Data, 1993, v. 00E  p. 0705, , , , , , , 30.57, , , 0.32
875, GB40-140317, Handbook of Glass Data, 1993, v. 00E  p. 0706, , , , , , , 4.71, , , 0.22
876, GB40-140318, Handbook of Glass Data, 1993, v. 00E  p. 0706, , , , , , , 10.11, , , 0.25
877, GB40-140319, Handbook of Glass Data, 1993, v. 00E  p. 0706, , , , , , , 16.37, , , 0.28
878, GB20-140320, Handbook of Glass Data, 1993, v. 00E  p. 0706, , , , , , , 23.73, , , 0.29
879, GB20-140322, Handbook of Glass Data, 1993, v. 00E  p. 0706, , , , , , , 5.17, , , 0.23
880, GB20-140323, Handbook of Glass Data, 1993, v. 00E  p. 0706, , , , , , , 11.19, , , 0.25
881, GB20-140324, Handbook of Glass Data, 1993, v. 00E  p. 0706, , , , , , , 18.28, , , 0.27
882, GB20-140325, Handbook of Glass Data, 1993, v. 00E  p. 0706, , , , , , , 26.76, , , 0.27
883, GJ02-140606, J. Materials Science, 1991, v. 026  p. 1216, 74.0, , , 3.91, 7.5, 14.39, 0.15, , , 0.21
884, GJ05-140607, J. Materials Science, 1991, v. 026  p. 1216, 80.58, 13.01, 2.2, , , 3.8, 0.4, , , 0.2
885, MJ02-142422, Applied Optics, 1991, v. 030  p. 0674, 72.5, , 1.2, 4.31, 6.42, 14.36, 1.2, , , 0.21
886, MJ05-142423, Applied Optics, 1991, v. 030  p. 0674, 70.45, 10.02, , , , 8.5, 8.5, , , 0.208
887, GJ10-144547, Glass Physics & Chemistry, 1992, v. 018  p. 0300, , 28.56, , , , 9.37, 2.03, , , 0.242
888, GJ02-146025, Glass Science and Technology, 1991, v. 064  p. 0029, 71.8, , 0.6, 4.0, 9.4, 14.0, , , , *
889, GJ20-146072, Glass Science and Technology, 1991, v. 064  p. 0291, , , , , , , 26.48, , , 0.44
890, GJ20-146073, Glass Science and Technology, 1991, v. 064  p. 0291, , 2.55, , , , , 19.35, , , 0.33
891, GJ20-146074, Glass Science and Technology, 1991, v. 064  p. 0291, , 5.06, , , , , 12.33, , , 0.27
892, GJ20-146075, Glass Science and Technology, 1991, v. 064  p. 0291, , 7.53, , , , , 5.44, , , 0.23
893, GJ02-146425, J. Ceramic Soc. Japan, 1991, v. 099  p. 0448, 73.65, , 0.34, 3.02, 9.17, 13.82, , , , 0.23
894, GJ05-146426, J. Ceramic Soc. Japan, 1991, v. 099  p. 0448, 51.29, 22.34, 2.97, , , , 20.19, , , 0.3
895, GJ02-153083, Glass Science and Technology, 1994, v. 067  p. 0241, 68.26, , , , 8.61, , 23.14, , , 0.232
896, GJ02-153085, Glass Science and Technology, 1994, v. 067  p. 0241, 71.59, , 2.08, 2.8, 6.27, 15.39, 0.59, 0.58, , 0.24
897, GJ20-157376, Glass Physics & Chemistry, 1993, v. 019  p. 0307, , , , , , *, *, , , 0.316
898, GJ20-157377, Glass Physics & Chemistry, 1993, v. 019  p. 0307, , , , , , *, *, , , 0.316
899, GJ20-157378, Glass Physics & Chemistry, 1993, v. 019  p. 0307, , , , , , *, *, , , 0.313
900, GJ40-157379, Glass Physics & Chemistry, 1993, v. 019  p. 0307, , , , , , , *, , , 0.32
901, GJ20-157396, Glass Physics & Chemistry, 1993, v. 019  p. 0380, , , 12.71, , , , 11.74, , , 0.25
902, GJ20-157399, Glass Physics & Chemistry, 1993, v. 019  p. 0380, , , 6.54, , , , 24.23, , , 0.295
903, GJ02-158741, Glass Physics & Chemistry, 1994, v. 020  p. 0139, 49.51, , , , , 3.11, 3.1, , , 0.2348
904, GJ02-158742, Glass Physics & Chemistry, 1994, v. 020  p. 0139, 46.31, , , , , 2.84, 2.93, , , 0.2352
905, GJ02-158743, Glass Physics & Chemistry, 1994, v. 020  p. 0139, 36.3, , , , , 2.25, 2.28, , , 0.2345
906, GJ02-158744, Glass Physics & Chemistry, 1994, v. 020  p. 0139, 27.95, , , , , 1.71, 1.76, , , 0.2342
907, GJ02-158745, Glass Physics & Chemistry, 1994, v. 020  p. 0139, 22.28, , , , , 1.39, 1.41, , , 0.2335
908, GJ02-158746, Glass Physics & Chemistry, 1994, v. 020  p. 0139, 44.34, , , , , 22.95, 2.78, , , 0.248
909, GJ02-158747, Glass Physics & Chemistry, 1994, v. 020  p. 0139, 33.44, , , , , 17.25, 2.1, , , 0.2414
910, GJ02-158748, Glass Physics & Chemistry, 1994, v. 020  p. 0139, 26.22, , , , , 13.55, 1.65, , , 0.2374
911, GJ20-160343, Glass Physics & Chemistry, 1995, v. 021  p. 0115, 0.79, , 22.68, , , , 2.1, , , 0.22
912, GJ20-160344, Glass Physics & Chemistry, 1995, v. 021  p. 0115, 0.74, , 20.1, , , , 4.66, , , 0.23
913, GJ20-160345, Glass Physics & Chemistry, 1995, v. 021  p. 0115, 0.42, , 15.77, , , , 9.27, , , 0.23
914, GJ20-160346, Glass Physics & Chemistry, 1995, v. 021  p. 0115, 0.47, , 12.87, , , , 12.33, , , 0.25
915, GJ20-160347, Glass Physics & Chemistry, 1995, v. 021  p. 0115, 0.28, , 11.45, , , , 15.38, , , 0.26
916, GJ20-160348, Glass Physics & Chemistry, 1995, v. 021  p. 0115, , , 6.92, , , , 25.59, , , 0.295
917, GJ40-160373, Glass Physics & Chemistry, 1995, v. 021  p. 0193, , , , , , , 8.1, , , 0.2713
918, GJ40-160374, Glass Physics & Chemistry, 1995, v. 021  p. 0193, , , , , , , 12.16, , , 0.2788
919, GJ40-160375, Glass Physics & Chemistry, 1995, v. 021  p. 0193, , , , , , , 14.27, , , 0.2826
920, GP20-164628, European Patent    Schott Corp. (US), 1995, A0665992, , , 2.9, , , , 10.04, , , 0.27
921, GP20-164629, European Patent    Schott Corp. (US), 1995, A0665992, , , 2.93, , , , 12.71, , , 0.28
922, GP20-164630, European Patent    Schott Corp. (US), 1995, A0665992, , , 5.83, , , , 8.76, , , 0.27
923, GP20-164631, European Patent    Schott Corp. (US), 1995, A0665992, , , 6.68, 4.95, , , 11.57, , , 0.24
924, GP20-164633, European Patent    Schott Corp. (US), 1995, A0665992, 3.54, , , , , , 10.41, , , 0.27
925, GP20-164634, European Patent    Schott Corp. (US), 1995, A0665992, , 4.08, , , , , 10.35, , , 0.27
