,SiO2,MgO,Na2O,Al2O3,CaO,Density
117,77.48,0.0,19.6,2.91,0.0,2402.0
118,80.0,0.0,20.0,0.0,0.0,2386.0
119,80.0,0.0,15.0,5.0,0.0,2358.0
120,75.0,0.0,15.0,10.0,0.0,2410.0
121,80.0,0.0,20.0,0.0,0.0,2400.0
122,80.0,0.0,20.0,0.0,0.0,2390.0
123,74.0,0.0,16.0,0.0,10.0,2470.0
124,80.0,0.0,20.0,0.0,0.0,2380.0
125,75.0,0.0,20.0,5.0,0.0,2400.0
126,80.0,0.0,20.0,0.0,0.0,2397.0
127,80.0,0.0,20.0,0.0,0.0,2391.0
128,80.0,0.0,20.0,0.0,0.0,2193.0
129,80.0,0.0,20.0,0.0,0.0,2198.0
130,80.0,0.0,20.0,0.0,0.0,2206.0
131,80.0,0.0,20.0,0.0,0.0,2384.0
132,71.87,5.13,13.36,0.46,9.17,2490.0
133,72.0,5.88,16.25,0.58,5.28,2470.0
134,71.39,4.43,13.45,1.17,9.56,2500.0
135,78.26,0.0,17.39,4.35,0.0,2390.0
136,72.73,0.0,18.18,9.09,0.0,2455.0
137,74.91,4.41,14.34,0.0,6.34,2453.0
138,73.13,4.42,18.21,0.0,4.24,2453.0
139,72.99,4.41,16.26,0.0,6.34,2466.0
140,71.06,4.41,18.18,0.0,6.35,2488.0
141,75.56,7.31,17.13,0.0,0.0,2357.0
142,75.42,7.3,15.29,0.0,1.99,2414.0
143,75.28,7.28,13.46,0.0,3.98,2488.0
144,73.74,7.32,18.94,0.0,0.0,2417.0
145,73.6,7.3,17.1,0.0,2.0,2434.0
146,73.46,7.29,15.27,0.0,3.98,2443.0
147,73.32,7.28,13.44,0.0,5.96,2456.0
148,73.18,7.26,11.62,0.0,7.94,2463.0
149,71.77,7.31,18.92,0.0,2.0,2447.0
150,71.64,7.29,17.08,0.0,3.99,2451.0
151,71.5,7.28,15.25,0.0,5.97,2470.0
152,71.99,0.0,18.09,8.17,1.76,2450.0
153,72.09,0.0,15.53,6.02,6.37,2470.0
154,80.0,0.0,20.0,0.0,0.0,2385.0
155,75.0,0.0,15.0,0.0,10.0,2477.0
156,79.6,0.0,12.24,8.16,0.0,2364.0
157,74.0,10.0,16.0,0.0,0.0,2441.0
158,74.0,0.0,16.0,0.0,10.0,2475.0
159,75.8,0.0,16.65,7.55,0.0,2387.0
160,72.13,5.89,13.41,1.16,7.41,2400.0
161,71.56,5.18,13.78,0.76,8.73,2500.0
162,80.0,0.0,20.0,0.0,0.0,2404.0
163,80.0,0.0,20.0,0.0,0.0,2378.0
164,72.02,5.4,16.33,0.57,5.67,2470.0
165,75.0,0.0,20.0,5.0,0.0,2421.0
166,75.0,0.0,18.75,6.25,0.0,2412.0
167,75.0,0.0,15.0,10.0,0.0,2390.0
168,73.44,7.29,15.28,0.0,3.98,2443.0
169,74.63,9.96,14.87,0.53,0.0,2406.0
170,75.48,8.89,15.23,0.39,0.0,2410.0
171,74.79,7.43,17.35,0.42,0.0,2415.0
172,74.46,6.2,19.03,0.3,0.0,2421.0
173,74.66,5.14,19.93,0.27,0.0,2424.0
174,80.0,0.0,16.0,0.0,4.0,2412.0
175,76.92,0.0,15.38,0.0,7.69,2458.0
176,71.43,8.93,19.64,0.0,0.0,2439.0
177,76.25,0.0,18.37,0.0,5.38,2455.0
178,75.0,5.79,19.21,0.0,0.0,2461.0
179,75.0,0.0,19.04,0.0,5.96,2496.0
180,75.0,0.0,18.91,6.09,0.0,2444.0
181,74.89,0.0,17.4,7.71,0.0,2265.0
182,73.04,5.43,12.73,0.03,8.77,2490.0
183,72.87,6.6,12.31,1.04,7.17,2450.0
184,80.0,0.0,15.0,5.0,0.0,2404.0
185,78.0,0.0,19.6,2.4,0.0,2400.0
186,74.0,0.0,16.0,0.0,10.0,2482.0
187,74.0,0.0,16.0,0.0,10.0,2480.0
188,77.47,0.0,19.61,2.92,0.0,2402.0
189,75.44,0.0,19.04,5.52,0.0,2410.0
190,76.25,0.0,15.78,7.97,0.0,2401.0
191,75.0,0.0,18.75,6.25,0.0,2425.0
192,77.32,0.0,16.11,6.57,0.0,2402.0
193,78.3,0.0,17.4,4.3,0.0,2390.0
194,80.0,0.0,15.0,0.0,5.0,2412.0
195,75.0,0.0,20.0,0.0,5.0,2460.0
196,75.0,0.0,15.0,0.0,10.0,2481.0
197,72.17,0.0,16.3,6.16,5.37,2458.0
198,71.53,0.0,17.01,6.09,5.37,2464.0
199,77.85,3.87,15.6,1.18,1.5,2411.0
200,72.65,0.0,15.89,6.09,5.37,2461.0
201,78.05,2.56,14.88,2.02,2.49,2407.0
202,78.05,4.04,14.92,2.01,0.97,2395.0
203,78.14,4.95,14.9,2.01,0.0,2386.0
204,78.05,2.56,14.88,2.02,2.49,2395.0
205,78.0,5.0,15.0,2.0,0.0,2390.0
206,78.0,4.0,15.0,2.0,1.0,2400.0
207,77.23,2.97,14.85,1.98,2.97,2410.0
208,80.0,0.0,15.0,0.0,5.0,2410.0
209,73.0,0.0,16.0,6.0,5.0,2460.0
210,78.0,0.0,15.0,2.0,5.0,2420.0
211,75.0,0.0,15.0,0.0,10.0,2480.0
212,74.0,0.0,19.0,0.0,7.0,2482.0
213,80.0,0.0,20.0,0.0,0.0,2370.0
214,72.2,5.5,12.3,1.1,8.9,2500.0
215,79.5,4.0,13.5,2.0,1.0,2400.0
216,71.25,5.94,13.25,1.12,8.44,2520.0
217,80.0,0.0,20.0,0.0,0.0,2382.0
218,72.0,4.0,14.0,0.0,10.0,2512.0
219,72.0,4.5,15.0,1.5,7.0,2486.0
220,72.0,6.0,12.0,1.0,9.0,2500.0
221,71.84,6.11,12.63,0.3,9.12,2500.0
222,77.0,0.0,13.9,0.0,9.1,2470.0
223,80.0,0.0,12.1,0.0,7.9,2430.0
224,74.1,0.0,18.5,7.4,0.0,2400.0
225,70.4,3.7,18.5,7.4,0.0,2420.0
226,70.4,0.0,18.5,7.4,3.7,2450.0
227,74.0,0.0,16.0,0.0,10.0,2490.0
228,78.0,0.0,15.0,2.0,5.0,2436.0
229,78.0,2.5,15.0,2.0,2.5,2418.0
230,78.0,5.0,15.0,2.0,0.0,2396.0
231,75.0,6.0,17.0,2.0,0.0,2430.0
232,75.0,2.0,17.0,6.0,0.0,2428.0
233,77.0,0.0,13.9,0.0,9.1,2469.0
234,80.0,0.0,12.1,0.0,7.9,2432.0
235,80.0,6.0,14.0,0.0,0.0,2396.0
236,76.0,10.0,14.0,0.0,0.0,2421.0
237,79.8,4.04,13.13,2.02,1.01,2400.0
238,80.0,0.0,20.0,0.0,0.0,2387.0
239,71.7,6.1,12.6,0.3,9.3,2500.0
240,75.0,10.0,15.0,0.0,0.0,2397.0
241,75.0,5.0,15.0,0.0,5.0,2449.0
242,75.0,2.5,15.0,0.0,7.5,2450.0
243,75.0,7.5,15.0,0.0,2.5,2430.0
244,75.0,2.5,15.0,0.0,7.5,2451.0
245,75.0,3.75,15.0,0.0,6.25,2462.0
246,75.0,5.0,15.0,0.0,5.0,2441.0
247,75.0,5.5,15.0,0.0,4.5,2440.0
248,75.0,6.25,15.0,0.0,3.75,2446.0
249,75.0,7.0,15.0,0.0,3.0,2431.0
250,75.0,7.5,15.0,0.0,2.5,2419.0
251,75.0,10.0,15.0,0.0,0.0,2392.0
252,75.0,0.0,15.0,0.0,10.0,2476.0
253,73.0,5.0,14.0,4.0,4.0,2490.0
254,73.0,6.0,14.0,7.0,0.0,2440.0
255,73.0,0.0,14.0,7.0,6.0,2500.0
256,75.02,10.0,14.98,0.0,0.0,2430.0
257,73.0,6.0,14.0,7.0,0.0,2405.0
258,75.5,5.9,13.7,4.9,0.0,2392.0
259,73.0,8.0,14.0,5.0,0.0,2408.0
260,73.0,10.0,12.0,5.0,0.0,2410.0
261,72.0,10.0,12.0,6.0,0.0,2412.0
262,72.0,10.0,11.0,7.0,0.0,2409.0
263,72.0,9.0,12.0,7.0,0.0,2410.0
264,75.0,0.0,15.0,0.0,10.0,2484.0
265,75.31,4.61,14.0,6.08,0.0,2400.0
266,73.0,6.0,14.0,7.0,0.0,2410.0
267,71.5,7.5,13.5,7.5,0.0,2410.0
268,71.7,8.1,13.1,7.1,0.0,2410.0
269,72.4,6.0,14.1,7.5,0.0,2408.0
270,72.0,7.0,14.0,7.0,0.0,2410.0
271,73.6,6.0,13.4,7.0,0.0,2399.0
272,72.3,7.9,13.9,5.9,0.0,2410.0
273,72.6,7.0,13.4,7.0,0.0,2406.0
274,71.7,6.1,14.1,8.1,0.0,2410.0
275,74.3,5.9,12.9,6.9,0.0,2390.0
276,72.3,7.9,12.9,6.9,0.0,2410.0
277,72.0,7.0,13.5,7.5,0.0,2410.0
278,73.6,5.0,13.4,8.0,0.0,2390.0
279,72.2,7.5,13.5,6.8,0.0,2410.0
280,72.0,8.0,13.2,6.8,0.0,2410.0
281,73.0,8.5,12.5,6.0,0.0,2400.0
282,72.5,8.5,12.8,6.2,0.0,2410.0
283,72.7,8.5,12.5,6.3,0.0,2400.0
284,72.96,4.6,14.19,8.25,0.0,2400.0
285,72.0,10.0,12.0,6.0,0.0,2410.0
286,72.0,10.0,11.0,7.0,0.0,2410.0
287,75.0,5.88,14.22,4.9,0.0,2400.0
288,74.5,8.5,12.5,4.5,0.0,2400.0
289,74.5,5.5,13.5,6.5,0.0,2400.0
290,77.5,4.5,12.5,5.5,0.0,2370.0
291,72.0,3.0,15.4,9.6,0.0,2414.0
292,73.5,3.0,13.9,9.6,0.0,2394.0
293,74.0,5.0,14.0,7.0,0.0,2390.0
294,73.84,2.83,13.58,1.49,8.25,2462.0
295,72.49,8.5,12.8,6.2,0.0,2410.0
296,72.3,7.9,13.8,6.0,0.0,2412.0
297,80.0,0.0,20.0,0.0,0.0,2090.0
298,71.71,0.0,19.05,0.0,9.24,2502.0
299,75.0,0.0,15.0,0.0,10.0,2475.3
300,71.0,9.2,16.9,2.7,0.2,2430.0
301,74.82,8.07,13.84,1.16,2.11,2420.0
302,73.04,7.43,16.43,2.35,0.75,2400.0
303,75.48,0.0,15.3,0.0,9.22,2475.0
304,71.48,5.91,14.4,1.11,7.1,2500.0
305,71.12,0.0,13.64,7.35,7.89,2340.0
306,79.5,8.0,12.3,0.2,0.0,2364.0
307,79.3,0.0,12.5,0.2,8.0,2429.0
308,74.4,8.4,13.1,4.1,0.0,2399.0
309,74.48,0.0,12.91,4.1,8.51,2454.0
310,71.0,6.0,13.0,0.0,10.0,2490.0
311,73.9,0.0,16.3,9.8,0.0,2407.0
312,80.0,0.0,20.0,0.0,0.0,2470.0
313,74.0,3.0,12.0,1.0,10.0,2450.0
314,78.0,0.0,22.0,0.0,0.0,2400.0
315,76.0,0.0,24.0,0.0,0.0,2418.0
316,74.0,0.0,26.0,0.0,0.0,2435.0
317,72.0,0.0,28.0,0.0,0.0,2451.0
318,70.39,0.0,22.6,0.0,7.0,2504.0
319,70.49,0.0,24.2,0.0,5.31,2499.0
320,70.25,0.0,24.04,0.0,5.71,2496.0
321,70.15,0.0,24.88,0.0,4.96,2503.0
322,74.35,0.0,20.15,0.0,5.49,2469.0
323,73.82,0.0,22.88,0.0,3.3,2461.0
324,73.52,0.0,21.11,0.0,5.37,2474.0
325,73.45,0.0,22.23,0.0,4.31,2470.0
326,71.94,0.0,21.04,0.0,7.02,2495.0
327,71.19,0.0,20.72,0.0,8.09,2499.0
328,70.91,0.0,23.37,0.0,5.72,2495.0
329,70.11,0.0,27.86,2.03,0.0,2457.0
330,70.3,0.0,24.84,4.86,0.0,2445.0
331,70.63,0.0,24.45,4.92,0.0,2443.0
332,70.84,0.0,26.31,2.85,0.0,2451.0
333,70.88,0.0,22.63,6.49,0.0,2434.0
334,73.15,0.0,25.87,0.98,0.0,2440.0
335,73.81,0.0,21.5,4.69,0.0,2418.0
336,74.75,0.0,24.27,0.98,0.0,2428.0
337,74.88,0.0,22.12,3.0,0.0,2416.0
338,74.95,0.0,23.98,1.07,0.0,2423.0
339,74.98,0.0,23.02,2.0,0.0,2419.0
340,75.61,0.0,21.54,2.85,0.0,2412.0
341,77.71,0.0,21.36,0.93,0.0,2401.0
342,75.0,0.0,25.0,0.0,0.0,2419.0
343,70.5,0.0,21.5,0.0,8.0,2502.0
344,75.0,0.0,25.0,0.0,0.0,2430.0
345,75.0,0.0,25.0,0.0,0.0,2437.0
346,79.0,0.0,21.0,0.0,0.0,2397.0
347,78.0,0.0,22.0,0.0,0.0,2406.0
348,77.0,0.0,23.0,0.0,0.0,2414.0
349,76.0,0.0,24.0,0.0,0.0,2423.0
350,75.0,0.0,25.0,0.0,0.0,2438.0
351,75.0,0.0,25.0,0.0,0.0,2434.0
352,70.65,0.0,29.35,0.0,0.0,2410.0
353,70.67,0.0,22.35,0.0,6.98,2498.0
354,72.99,0.0,23.62,0.0,3.39,2464.0
355,75.22,0.0,24.77,0.0,0.0,2434.0
356,71.33,5.8,22.87,0.0,0.0,2460.0
357,71.33,0.0,22.72,0.0,5.95,2497.0
358,71.43,0.0,25.08,0.0,3.49,2484.0
359,74.06,0.0,22.68,0.0,3.26,2472.0
360,71.91,0.0,22.61,0.0,5.48,2499.0
361,70.6,0.0,25.27,4.12,0.0,2454.0
362,71.02,0.0,25.48,3.5,0.0,2453.0
363,70.9,0.0,28.52,0.58,0.0,2461.0
364,71.31,0.0,27.47,1.22,0.0,2457.0
365,72.3,0.0,24.76,2.94,0.0,2445.0
366,72.64,0.0,24.37,2.98,0.0,2443.0
367,72.27,0.0,26.02,1.71,0.0,2451.0
368,73.34,0.0,22.7,3.95,0.0,2434.0
369,74.04,0.0,25.38,0.58,0.0,2440.0
370,75.77,0.0,21.39,2.83,0.0,2418.0
371,75.62,0.0,23.8,0.58,0.0,2428.0
372,76.34,0.0,21.86,1.8,0.0,2416.0
373,75.84,0.0,23.52,0.63,0.0,2423.0
374,76.14,0.0,22.66,1.2,0.0,2419.0
375,77.02,0.0,21.27,1.71,0.0,2415.0
376,78.52,0.0,20.92,0.55,0.0,2401.0
377,75.0,0.0,25.0,0.0,0.0,2432.0
378,75.0,0.0,25.0,0.0,0.0,2439.0
379,70.99,0.0,20.38,0.0,8.63,2510.0
380,77.8,0.0,22.2,0.0,0.0,2570.0
381,75.0,0.0,25.0,0.0,0.0,2420.0
382,76.86,0.0,23.14,0.0,0.0,2400.0
383,77.55,0.0,22.45,0.0,0.0,2470.0
384,77.64,0.0,22.35,0.0,0.0,2470.0
385,77.5,0.0,22.5,0.0,0.0,2405.0
386,72.5,0.0,27.5,0.0,0.0,2452.0
387,75.0,0.0,25.0,0.0,0.0,2410.0
388,75.0,0.0,25.0,0.0,0.0,2424.0
389,76.56,0.0,23.44,0.0,0.0,2420.0
390,75.0,0.0,25.0,0.0,0.0,2446.0
391,77.84,0.0,22.16,0.0,0.0,2402.0
392,75.23,0.0,24.77,0.0,0.0,2423.0
393,74.19,0.0,25.81,0.0,0.0,2429.0
394,73.41,0.0,26.59,0.0,0.0,2440.0
395,70.91,0.0,29.09,0.0,0.0,2456.0
396,78.0,0.0,22.0,0.0,0.0,2414.0
397,75.76,0.0,24.24,0.0,0.0,2429.0
398,75.58,0.0,24.42,0.0,0.0,2431.0
399,73.29,0.0,26.71,0.0,0.0,2449.0
400,71.44,0.0,28.56,0.0,0.0,2459.0
401,70.55,0.0,29.45,0.0,0.0,2215.0
402,79.13,0.0,20.87,0.0,0.0,2395.0
403,78.38,0.0,21.62,0.0,0.0,2401.0
404,77.25,0.0,22.75,0.0,0.0,2414.0
405,77.2,0.0,22.8,0.0,0.0,2413.0
406,77.15,0.0,22.85,0.0,0.0,2413.0
407,75.86,0.0,24.14,0.0,0.0,2426.0
408,75.27,0.0,24.73,0.0,0.0,2433.0
409,74.75,0.0,25.25,0.0,0.0,2438.0
410,74.51,0.0,25.49,0.0,0.0,2439.0
411,73.61,0.0,26.39,0.0,0.0,2442.0
412,72.94,0.0,27.06,0.0,0.0,2451.0
413,72.77,0.0,27.23,0.0,0.0,2452.0
414,71.73,0.0,28.27,0.0,0.0,2454.0
415,71.08,0.0,28.92,0.0,0.0,2462.0
416,70.3,0.0,29.7,0.0,0.0,2465.0
417,76.6,0.0,23.4,0.0,0.0,2431.0
418,76.0,0.0,24.0,0.0,0.0,2437.0
419,75.1,0.0,24.9,0.0,0.0,2439.0
420,79.7,0.0,20.3,0.0,0.0,2384.0
421,76.0,0.0,24.0,0.0,0.0,2420.0
422,75.0,0.0,25.0,0.0,0.0,2435.0
423,72.2,0.0,27.8,0.0,0.0,2451.0
424,74.99,0.0,25.0,0.0,0.0,2427.0
425,75.38,0.0,24.62,0.0,0.0,2426.0
426,75.0,0.0,25.0,0.0,0.0,2203.0
427,75.0,0.0,25.0,0.0,0.0,2441.0
428,73.29,4.43,20.16,0.0,2.12,2421.0
429,71.21,4.42,20.13,0.0,4.24,2465.0
430,70.09,7.32,22.59,0.0,0.0,2451.0
431,78.67,0.0,21.33,0.0,0.0,2428.0
432,79.49,0.0,20.51,0.0,0.0,2386.0
433,70.3,0.0,22.15,7.55,0.0,2450.0
434,77.1,0.0,22.9,0.0,0.0,2415.0
435,76.9,0.0,23.1,0.0,0.0,2392.0
436,71.4,0.0,28.6,0.0,0.0,2463.0
437,76.7,0.0,23.3,0.0,0.0,2414.0
438,75.95,0.0,24.05,0.0,0.0,2426.0
439,75.0,0.0,25.0,0.0,0.0,2340.0
440,75.0,0.0,25.0,0.0,0.0,2448.0
441,77.0,0.0,23.0,0.0,0.0,2412.0
442,75.0,0.0,25.0,0.0,0.0,2427.0
443,73.0,0.0,27.0,0.0,0.0,2442.0
444,72.0,0.0,25.0,3.0,0.0,2455.0
445,73.22,4.43,20.14,0.0,2.21,2421.0
446,71.92,7.32,20.76,0.0,0.0,2442.0
447,74.78,3.69,21.38,0.15,0.0,2427.0
448,74.14,2.74,22.67,0.44,0.0,2430.0
449,74.62,1.5,23.66,0.22,0.0,2432.0
450,75.3,0.0,22.11,2.57,0.02,2425.0
451,70.91,0.0,29.08,0.0,0.0,2456.0
452,79.13,0.0,20.87,0.0,0.0,2394.0
453,77.25,0.0,22.75,0.0,0.0,2413.0
454,77.15,0.0,22.85,0.0,0.0,2414.0
455,75.86,0.0,24.13,0.0,0.0,2426.0
456,75.27,0.0,24.73,0.0,0.0,2431.0
457,74.75,0.0,25.25,0.0,0.0,2434.0
458,72.94,0.0,27.05,0.0,0.0,2448.0
459,72.77,0.0,27.23,0.0,0.0,2449.0
460,71.08,0.0,28.92,0.0,0.0,2460.0
461,70.85,0.0,29.15,0.0,0.0,2461.0
462,70.3,0.0,29.7,0.0,0.0,2464.0
463,77.47,0.0,22.53,0.0,0.0,2413.0
464,72.06,0.0,27.94,0.0,0.0,2457.0
465,71.43,3.57,25.0,0.0,0.0,2453.0
466,71.43,5.36,23.21,0.0,0.0,2448.0
467,71.43,7.14,21.43,0.0,0.0,2444.0
468,70.29,0.0,24.33,0.0,5.38,2495.0
469,75.77,0.0,24.23,0.0,0.0,2429.0
470,73.29,0.0,26.7,0.0,0.0,2449.0
471,77.02,0.0,21.27,1.71,0.0,2402.0
472,76.92,0.0,23.08,0.0,0.0,2413.0
473,75.58,0.0,24.42,0.0,0.0,2440.0
474,72.18,0.0,21.38,0.0,6.44,2490.0
475,75.0,0.0,25.0,0.0,0.0,2400.0
476,75.0,0.0,25.0,0.0,0.0,2539.0
477,75.0,0.0,20.8,4.2,0.0,2416.0
478,71.0,0.0,25.8,3.2,0.0,2460.0
479,75.0,0.0,25.0,0.0,0.0,2390.0
480,75.0,0.0,25.0,0.0,0.0,2624.0
481,75.0,0.0,25.0,0.0,0.0,2431.0
482,74.0,0.0,26.0,0.0,0.0,2440.0
483,74.0,0.0,22.0,0.0,4.0,2450.0
484,77.5,0.0,22.5,0.0,0.0,2399.0
485,75.0,0.0,25.0,0.0,0.0,2422.0
486,72.5,0.0,27.5,0.0,0.0,2443.0
487,75.0,0.0,25.0,0.0,0.0,2440.0
488,71.43,0.0,28.57,0.0,0.0,2460.0
489,70.6,0.0,25.28,4.12,0.0,2454.0
