SiO2,Al2O3,MgO,CaO,Na2O,K2O,SO3,Poisson Ratio
 *, , , , *, *, , 0.231
 *, , , , *, *, , 0.239
 *, , , , *, *, , 0.222
 *, , , , *, *, , 0.225
 *, , , , *, *, , 0.23
 *, , , , *, *, , 0.226
 *, , , , *, *, , 0.218
 *, , , , *, *, , 0.219
 *, , , , *, *, , 0.242
 *, , , , *, *, , 0.245
 *, , , , *, *, , 0.231
 *, , , , *, *, , 0.263
 *, , , , *, *, , 0.256
 *, , , , *, *, , 0.261
 *, , , , *, *, , 0.268
 *, , , , *, *, , 0.258
 *, , , , *, *, , 0.285
 *, , , , *, *, , 0.21
 *, , , , *, *, , 0.207
 *, , , , *, *, , 0.213
 *, , , , *, *, , 0.219
 *, , , , *, *, , 0.205
 *, , , , *, *, , 0.205
 *, , , , *, *, , 0.261
 *, , , , *, *, , 0.247
 *, , , , *, *, , 0.255
 *, , , , *, *, , 0.234
 *, , , , *, *, , 0.26
 *, , , , *, *, , 0.269
 *, , , , *, *, , 0.281
 *, , , , *, *, , 0.279
 *, , , , *, *, , 0.262
 *, , , , *, *, , 0.273
 *, , , , *, *, , 0.266
 *, , , , *, *, , 0.266
 *, , , , *, *, , 0.244
 *, , , , *, *, , 0.236
 *, , , , *, *, , 0.254
 *, , , , *, *, , 0.233
 *, , , , *, *, , 0.247
 *, , , , *, *, , 0.24
 *, , , , *, *, , 0.25
 *, , , , *, *, , 0.229
 *, , , , *, *, , 0.242
 *, *, , *, *, *, , 0.192
 *, *, , *, *, *, , 0.202
 *, *, , *, *, *, , 0.222
 *, *, , *, *, *, , 0.223
 *, *, , *, *, *, , 0.197
 *, , , , *, *, , 0.24
 *, , , , *, *, , 0.238
 *, , , , *, *, , 0.214
 *, *, , , *, *, , 0.253
 *, *, , , *, *, , 0.233
 *, *, , , *, *, , 0.241
 *, *, , , *, *, , 0.241
 *, *, , , *, *, , 0.241
 *, *, , , *, *, , 0.259
 *, *, , , *, *, , 0.237
 *, *, , , *, *, , 0.226
 *, *, , , *, *, , 0.26
 *, *, , , *, *, , 0.278
 *, *, , , *, *, , 0.287
 *, , , , *, *, , 0.21
 *, , , , *, *, , 0.204
 *, , , , *, *, , 0.222
 *, , , , *, *, , 0.208
 *, , , , *, *, , 0.212
 *, , , , *, *, , 0.213
 *, , , , *, *, , 0.205
 *, , , , *, *, , 0.234
 *, , , , *, *, , 0.212
 *, *, , *, *, *, , 0.22
 *, *, , *, *, *, , 0.212
 *, *, , *, *, *, , 0.227
 *, *, , *, *, *, , 0.218
 *, *, , , , *, , 0.251
 *, *, , , , *, , 0.245
 *, *, , , , *, , 0.205
 *, *, , , , *, , 0.287
 *, *, , , , *, , 0.29
 *, *, , , , *, , 0.286
 *, , , , *, *, , 0.204
 *, , , , *, *, , 0.209
 *, , , , *, *, , 0.207
 *, , , , *, *, , 0.235
 *, , , , *, *, , 0.293
 61.78, 19.53, , , 9.39, 0.07, , 0.222
 72.88, 2.09, , , 10.55, 4.46, , 0.245
 72.88, 2.09, , , 10.55, 4.46, , 0.21
 *, *, , , , *, , 0.235
 *, *, , , , *, , 0.24
 *, *, , , , *, , 0.227
 *, *, , , , *, , 0.296
 *, *, , , , *, , 0.298
 *, , , , *, *, , 0.206
 *, , , , *, *, , 0.205
 *, , , , *, *, , 0.209
 *, *, , , *, *, , 0.234
 *, *, , , *, *, , 0.238
 *, *, , , *, *, , 0.228
 *, *, , , *, *, , 0.278
 *, *, , , *, *, , 0.292
 *, *, , , *, *, , 0.285
 *, , , , *, *, , 0.209
 *, , , , *, *, , 0.221
 *, , , , *, *, , 0.204
 *, , , , *, *, , 0.216
 *, , , , *, *, , 0.207
 *, , , , *, *, , 0.204
 *, , , , *, *, , 0.207
 *, , , , *, *, , 0.226
 *, , , , *, *, , 0.222
 *, *, , *, *, *, , 0.215
 *, *, , *, *, *, , 0.209
 *, *, , *, *, *, , 0.22
 *, *, , *, *, *, , 0.218
 *, *, , *, *, *, , 0.215
 *, *, , *, *, *, , 0.238
 *, *, , *, *, *, , 0.219
 *, *, , *, *, *, , 0.224
 *, , , , *, *, , 0.238
 *, , , , *, *, , 0.215
 *, , , , *, *, , 0.238
 *, , , , *, *, , 0.213
 *, *, , , *, *, , 0.243
 *, *, , , *, *, , 0.231
 *, *, , , *, *, , 0.243
 *, *, , , *, *, , 0.229
 *, *, , , *, *, , 0.244
 *, , , , *, *, , 0.249
 *, , , , *, *, , 0.257
 *, , , , *, *, , 0.248
 *, , , , *, *, , 0.23
 *, , , , *, *, , 0.254
 *, , , , *, *, , 0.234
 *, , , , *, *, , 0.212
 *, , , , *, *, , 0.216
 *, , , , *, *, , 0.221
 *, , , , *, *, , 0.215
 *, , , , *, *, , 0.205
 *, , , , *, *, , 0.212
 *, , , , *, *, , 0.236
 *, , , , *, *, , 0.234
 *, , , , *, *, , 0.241
 *, , , , *, *, , 0.239
 *, , , , *, *, , 0.245
 *, , , , *, *, , 0.255
 *, , , , *, *, , 0.243
 *, , , , *, *, , 0.261
 *, , , , *, *, , 0.267
 *, , , , *, *, , 0.272
 *, , , , *, *, , 0.277
 *, , , , *, *, , 0.26
 *, , , , *, *, , 0.272
 *, , , , *, *, , 0.265
 *, , , , *, *, , 0.273
 *, , , , *, *, , 0.254
 *, , , , *, *, , 0.22
 *, , , , *, *, , 0.225
 *, , , , *, *, , 0.217
 *, , , , *, *, , 0.22
 *, , , , *, *, , 0.219
 *, , , , *, *, , 0.22
 *, , , , *, *, , 0.212
 *, , , , *, *, , 0.216
 *, , , , *, *, , 0.226
 *, , , , *, *, , 0.222
 *, , , , *, *, , 0.221
 *, , , , *, *, , 0.223
 *, , , , *, *, , 0.221
 *, , , , *, *, , 0.225
 *, , , , *, *, , 0.222
 *, , , , *, *, , 0.223
 *, , , , *, *, , 0.224
 *, , , , *, *, , 0.224
 *, , , , *, *, , 0.238
 *, , , , *, *, , 0.231
 *, , , , *, *, , 0.241
 *, , , , *, *, , 0.23
 *, , , , *, *, , 0.27
 *, , , , *, *, , 0.235
 *, , , , *, *, , 0.266
 *, , , , *, *, , 0.275
 *, , , , *, *, , 0.279
 *, , , , *, *, , 0.258
 *, , , , *, *, , 0.248
 *, , , , *, *, , 0.269
 *, , , , *, *, , 0.261
 *, , , , *, *, , 0.263
 *, , , , *, *, , 0.233
 *, , , , *, *, , 0.229
 *, , , , *, *, , 0.237
 *, , , , *, *, , 0.239
 *, , , , *, *, , 0.23
 *, , , , *, *, , 0.244
 *, , , , *, *, , 0.228
 *, , , , *, *, , 0.231
 *, , , , *, *, , 0.225
 *, , , , *, *, , 0.23
 *, , , , *, *, , 0.24
 *, , , , *, *, , 0.229
 *, , , , *, *, , 0.232
 *, , , , *, *, , 0.237
 *, , , , *, *, , 0.23
 *, , , , *, *, , 0.233
 *, , , , *, *, , 0.224
 *, , , , *, *, , 0.233
 *, , , , *, *, , 0.25
 *, , , , *, *, , 0.237
 *, , , , *, *, , 0.261
 *, , , , *, *, , 0.257
 *, , , , *, *, , 0.251
 *, , , , *, *, , 0.262
 *, *, , , , *, , 0.213
 *, *, , , , *, , 0.216
 *, *, , , , *, , 0.215
 *, *, , , , *, , 0.208
 *, *, , , *, *, , 0.239
 *, , , , *, *, , 0.261
 *, , , , *, *, , 0.239
 *, , , , *, *, , 0.239
 *, , , , *, *, , 0.265
 *, , , , *, *, , 0.264
 *, , , , *, *, , 0.257
 , , , , , *, , 0.267
 , *, , , , *, , 0.256
 63.0, 1.0, , , 8.0, 6.0, , 0.21
 71.0, 3.0, 5.0, 7.0, 13.0, 1.0, , 0.22
 73.0, 1.0, 4.0, 5.0, 17.0, , , 0.22
 56.0, 2.0, , , 4.0, 9.0, , 0.22
 52.5, 1.0, , , 0.5, 13.0, , 0.23
 55.1, 2.04, 2.04, 3.06, 6.12, 8.16, , 0.24
 65.0, 2.0, , , 7.0, 7.0, , 0.22
 61.0, 17.0, 4.0, , 13.0, 3.0, , 0.22
 62.0, 17.0, , 8.0, 1.0, 7.0, , 0.24
 41.0, , , , 5.0, 12.0, , 0.25
 76.0, 2.0, , , 4.0, 2.0, , 0.19
 60.0, 10.0, , 5.0, 8.0, 2.0, , 0.21
 67.0, 3.0, , , 4.0, 3.0, , 0.23
 64.0, 8.0, , , 2.0, 3.0, , 0.22
 68.0, 3.0, , , 1.0, 9.0, , 0.21
 72.0, 1.0, , , 0.5, 1.0, , 0.22
 78.0, 2.0, , , 3.0, 1.0, , 0.2
 *, , , , , *, , 0.24
 65.0, 2.0, 1.0, 2.0, 7.0, 9.0, , 0.23
 72.23, 17.72, , , 0.41, 0.1, , 0.24
 46.0, 16.0, 17.0, , , 10.0, , 0.26
 *, , , *, *, *, , 0.21
 *, , , *, *, *, , 0.21
 *, , , *, *, *, , 0.21
 *, , , *, *, *, , 0.21
 *, , , *, *, *, , 0.21
 *, , , *, *, *, , 0.21
