SiO2,Al2O3,MgO,CaO,Na2O,K2O,SO3,Poisson Ratio
 28.5, , , , 1.2, 7.0, , 0.25
 26.0, , , , , 10.0, , 0.25
 63.0, 4.0, , 13.0, 4.0, 5.0, , 0.24
 63.0, 4.0, , 13.0, 5.0, 5.0, , 0.238
 63.0, 5.0, , 12.0, 5.0, 5.0, , 0.237
 65.0, 5.0, , 13.0, 4.0, 6.0, , 0.24
 65.0, 5.0, , 12.0, 4.0, 6.0, , 0.24
 74.32, 3.6, , , , 3.3, , 0.205
 75.08, , 0.7, , , 2.2, , 0.22
 67.0, , 14.0, , , 10.0, , 0.268
 54.76, 5.9, , 10.54, 3.59, 6.81, , 0.24
 54.9, 5.91, , 10.57, 4.49, 6.83, , 0.238
 54.54, 7.34, , 9.7, 4.46, 6.78, , 0.237
 56.51, 7.38, , 10.55, 3.59, 8.18, , 0.24
 55.74, 7.27, , 9.6, 3.54, 8.07, , 0.24
 74.32, 3.6, , , , 3.3, , 0.205
 75.08, , 0.7, , , 2.2, , 0.22
 45.0, 12.0, 11.0, , , 2.5, , 0.297
 , , , , 11.74, , 2.06, 0.3
 , , , , 11.22, , 4.17, 0.3
 , , , , 10.69, , 6.3, 0.31
 , , , , 10.16, , 8.48, 0.31
 , , , , 9.05, , 12.96, 0.3
 , , , , 7.9, , 17.6, 0.31
 , , , , 6.71, , 22.42, 0.31
 , , , , 5.47, , 27.43, 0.32
 , , , , 4.19, , 32.64, 0.32
 80.54, 2.54, 0.01, 0.02, 3.54, 0.64, , 0.195
 73.41, 1.45, 0.08, 10.3, 14.74, 0.01, , 0.222
 , 3.9, 2.03, 0.86, 4.28, 9.15, , 0.26
 , 3.36, 3.43, 0.74, 3.69, 7.91, , 0.26
 1.29, 3.56, 2.49, 0.79, 3.92, 8.37, , 0.26
 , 3.39, 3.46, 0.75, 3.72, 7.96, , 0.26
 0.63, 3.48, 2.99, 0.77, 3.82, 8.17, , 0.26
 , 3.39, 2.37, 0.75, 3.72, 7.96, , 0.26
 1.25, 3.45, 3.53, 0.77, 3.79, 8.11, , 0.26
 , 3.89, 2.71, 0.86, 4.27, 9.14, , 0.26
 1.17, 3.25, 2.27, 0.72, 3.57, 7.63, , 0.26
 , 3.34, 2.33, 0.74, 3.67, 7.85, , 0.26
 , 3.9, 2.03, 0.86, 4.28, 9.15, , 0.26
 , 3.36, 3.43, 0.74, 3.69, 7.91, , 0.26
 1.29, 3.56, 2.49, 0.79, 3.92, 8.37, , 0.26
 , 3.39, 3.46, 0.75, 3.72, 7.96, , 0.26
 0.63, 3.48, 2.99, 0.77, 3.82, 8.17, , 0.26
 , 3.39, 2.37, 0.75, 3.72, 7.96, , 0.26
 1.25, 3.45, 3.53, 0.77, 3.79, 8.11, , 0.26
 , 3.89, 2.71, 0.86, 4.27, 9.14, , 0.26
 1.18, 3.28, 2.29, 0.72, 3.6, 7.7, , 0.26
 , 3.37, 2.35, 0.74, 3.7, 7.92, , 0.26
 , 3.9, 2.03, 0.86, 4.28, 9.15, , 0.26
 , 3.36, 3.43, 0.74, 3.69, 7.91, , 0.26
 1.29, 3.56, 2.49, 0.79, 3.92, 8.37, , 0.26
 , 3.39, 3.46, 0.75, 3.72, 7.96, , 0.26
 0.63, 3.48, 2.99, 0.77, 3.82, 8.17, , 0.26
 , 3.39, 2.37, 0.75, 3.72, 7.96, , 0.26
 1.25, 3.45, 3.53, 0.77, 3.79, 8.11, , 0.26
 , 3.89, 2.71, 0.86, 4.27, 9.14, , 0.26
 1.17, 3.25, 2.27, 0.72, 3.57, 7.63, , 0.26
 , 3.34, 2.33, 0.74, 3.67, 7.85, , 0.26
 60.47, , , , , 18.96, , 0.25
 69.55, , , 8.65, , 21.8, , 0.23
 , 3.9, 2.03, 0.86, 4.28, 9.15, , 0.26
 , 3.36, 3.43, 0.74, 3.69, 7.91, , 0.26
 1.29, 3.56, 2.49, 0.79, 3.92, 8.37, , 0.26
 , 3.39, 3.46, 0.75, 3.72, 7.96, , 0.26
 0.63, 3.48, 2.99, 0.77, 3.82, 8.17, , 0.26
 , 3.93, 2.04, 0.87, 4.32, 9.24, , 0.26
 , 3.39, 3.46, 0.75, 3.72, 7.96, , 0.26
 1.3, 3.59, 2.51, 0.79, 3.95, 8.45, , 0.26
 , 3.42, 3.49, 0.75, 3.75, 8.02, , 0.26
 0.63, 3.5, 3.01, 0.78, 3.85, 8.23, , 0.26
 54.76, 5.9, , 10.54, 3.59, 6.81, , 0.24
 54.9, 5.91, , 10.57, 4.49, 6.83, , 0.238
 54.54, 7.34, , 9.7, 4.46, 6.78, , 0.237
 56.51, 7.38, , 10.55, 3.59, 8.18, , 0.24
 55.74, 7.27, , 9.6, 3.54, 8.07, , 0.24
 62.19, 18.91, 2.36, 0.04, 13.48, 0.01, , 0.216
 62.07, 18.85, 2.28, 0.03, 12.41, 1.38, , 0.202
 62.2, 18.91, 2.07, 0.41, 13.43, 0.01, , 0.211
 61.97, 18.76, 2.02, 0.42, 12.42, 1.38, , 0.21
 61.97, 18.82, 2.07, 0.05, 13.5, 0.04, , 0.202
 61.61, 18.73, 2.07, 0.04, 12.62, 1.35, , 0.214
 61.66, 18.73, 1.73, 0.41, 12.48, 1.38, , 0.221
 61.52, 18.68, 1.69, 0.04, 12.55, 1.38, , 0.209
 59.03, 7.9, 4.93, 3.48, 9.03, 12.99, , 0.23
 58.14, 8.34, 3.3, 3.4, 9.01, 12.98, , 0.23
 60.75, 9.6, 6.96, 0.09, 11.68, 5.92, , 0.22
 70.37, 3.35, 6.89, 0.28, 10.99, 7.11, , 0.18
 60.92, 12.83, 6.66, 0.09, 12.2, 5.93, , 0.23
 45.11, 20.86, 0.2, 2.78, 12.29, 0.58, , 0.278
 52.4, 22.76, 1.47, 0.03, 13.92, 0.04, , 0.264
 50.31, 22.97, 1.43, 0.03, 14.07, 0.07, , 0.236
 56.45, 21.03, 1.5, 0.04, 12.09, 0.04, , 0.189
 55.43, 21.74, 1.8, 0.04, 12.41, 0.04, , 0.192
 57.4, 20.66, 0.01, 0.06, 12.51, 0.72, , 0.226
 57.39, 22.61, 0.01, 0.05, 12.76, 0.73, , 0.221
 59.03, 20.91, 0.01, 0.04, 12.89, 0.37, , 0.221
 58.89, 19.84, 0.01, 0.2, 10.81, 2.82, , 0.226
 56.93, 23.11, 0.01, 0.11, 12.09, 1.42, , 0.215
 56.71, 22.59, 0.01, 0.05, 12.45, 0.7, , 0.218
 59.34, 20.79, 0.46, 0.03, 13.01, 0.14, , 0.222
 47.58, 28.16, 0.01, 0.1, 16.32, 1.21, , 0.238
 57.68, 21.52, 0.005997, 0.05, 12.55, 0.71, , 0.215
 57.59, 21.99, 0.006, 0.05, 12.78, 0.01, , 0.239
 50.92, 25.54, 0.01, 0.1, 14.7, 1.36, , 0.224
 59.31, 20.22, 0.006048, 0.008415, 12.88, 0.01, , 0.225
 57.68, 21.23, 0.006015, 0.05, 12.86, 0.01, , 0.238
 53.07, 24.82, 0.005925, 0.02, 15.24, 0.1, , 0.224
 64.19, 19.04, 0.01, 0.06, 11.58, 0.73, , 0.209
 47.48, 27.14, 0.005835, 0.04, 16.57, 0.35, , 0.233
 57.41, 21.12, 0.005989, 0.05, 12.08, 0.73, , 0.229
 56.51, 21.21, 0.01, 0.05, 12.87, 0.7, , 0.218
 58.15, 21.26, 0.62, 0.02, 12.75, 0.14, , 0.223
 61.08, 19.67, 0.006058, 0.06, 11.93, 0.72, , 0.211
 60.46, 20.14, 1.23, 0.03, 12.3, 0.29, , 0.216
 58.23, 21.51, 1.56, 0.05, 12.9, 0.72, , 0.209
 59.6, 21.33, 1.29, 0.03, 12.1, 0.16, , 0.219
 56.55, 21.34, 0.01, 0.3, 10.93, 4.6, , 0.212
 56.48, 20.39, 0.005994, 0.02, 12.19, 1.32, , 0.223
 55.35, 20.88, 0.01, 0.29, 10.74, 4.44, , 0.219
 57.75, 18.98, 0.006028, 0.02, 11.8, 1.32, , 0.213
 57.96, 21.5, 0.005982, 0.008322, 11.7, 1.37, , 0.214
 57.73, 21.19, 0.006004, 0.05, 12.81, 0.72, , 0.23
 58.64, 21.15, 0.00602, 0.05, 13.03, 0.37, , 0.199
 57.21, 20.99, 0.01, 0.06, 12.4, 0.72, , 0.225
 55.41, 20.57, , 0.02, 12.55, 1.41, , 0.22
 58.91, 19.78, 0.006043, 0.05, 12.9, 0.72, , 0.215
 54.61, 20.47, 0.005977, 0.02, 12.62, 1.49, , 0.226
 55.75, 19.97, 0.005993, 0.02, 11.89, 1.39, , 0.225
 57.79, 19.75, 0.006011, 0.05, 12.72, 2.08, , 0.208
 54.87, 24.83, 4.96, 0.08, 14.89, , , 0.22
 51.13, 28.54, 5.41, 0.08, 14.48, , , 0.215
 53.75, 24.41, 0.08, 6.77, 14.63, , , 0.22
 50.53, 28.05, 0.08, 6.72, 14.29, , , 0.237
 54.16, 24.61, 2.07, 4.14, 14.66, , , 0.225
 58.76, 22.43, 3.17, 1.83, 13.46, , , 0.216
 66.66, 18.17, , , 0.03, 0.001183, , 0.23
 55.41, 15.43, , , 29.16, 0.002473, , 0.255
 49.55, 13.73, , , 0.008362, 36.72, , 0.262
 56.94, 20.37, 0.01, 0.03, 10.46, 2.8, , 0.209
 59.46, 17.36, , , 10.74, 1.84, , 0.218
 57.13, 21.2, 1.21, 0.04, 10.49, 3.5, , 0.219
 55.17, 21.14, 1.2, 0.04, 11.84, 4.2, , 0.216
 59.73, 15.89, 0.01, 0.04, 10.78, 1.85, , 0.213
 68.43, 9.94, 6.75, , 12.09, 1.53, , 0.2
 56.9, 21.38, 0.62, 0.06, 12.81, 0.7, , 0.23
 59.36, 20.79, 0.47, 0.03, 13.09, 0.14, , 0.23
 58.36, 21.36, 0.88, 0.05, 12.6, 0.71, , 0.2
 57.74, 22.48, 1.27, 0.03, 12.59, 0.28, , 0.22
 60.13, 21.44, 1.23, 0.03, 11.35, 0.28, , 0.2
 58.15, 21.26, 0.62, 0.02, 12.75, 0.14, , 0.22
 59.4, 21.25, 0.65, 0.03, 12.96, 0.16, , 0.21
 59.64, 21.45, 0.94, 0.06, 12.33, 0.4, , 0.21
 59.74, 20.34, 1.67, 0.03, 12.43, 0.1, , 0.22
 59.75, 20.45, 1.77, 0.04, 12.23, 0.1, , 0.21
 59.2, 21.65, 1.58, 0.03, 12.42, 0.01, , 0.21
 73.19, 1.01, 3.52, 8.47, 13.1, 0.6, , 0.23
 , , , , , , 18.57, 0.317
 , , , , 13.82, , 17.24, 0.303
 , , , , , , 13.48, 0.294
 , , , , , , 12.51, 0.369
 , 0.43, , , , , 10.13, 0.369
 , , , , , , 16.35, 0.317
 , , , , 13.27, , 15.45, 0.303
 , , , , , 19.58, 15.39, 0.3
 , , , , , , 12.88, 0.294
 62.19, 18.91, 2.36, 0.04, 13.48, 0.01, , 0.216
 61.97, 18.82, 2.07, 0.05, 13.5, 0.04, , 0.202
 60.49, 19.75, 1.74, 0.41, 12.13, 1.36, , 0.209
 61.69, 18.71, 1.7, 0.42, 12.23, 1.35, , 0.203
 60.35, 19.65, 1.09, 0.03, 13.25, 0.01, , 0.216
 61.22, 19.57, 1.51, 0.04, 13.67, 0.01, , 0.215
 61.25, 19.69, 1.36, 0.03, 13.12, 0.01, , 0.225
 61.43, 19.64, 1.12, 0.05, 13.16, 0.01, , 0.207
 61.33, 19.62, 1.52, 0.03, 13.07, 0.01, , 0.224
 61.47, 19.53, 1.49, 0.03, 12.88, 0.01, , 0.217
 62.31, 11.27, 0.02, 1.84, 10.33, 3.71, , 0.237
 62.41, 15.97, 2.28, 1.35, 7.71, 1.47, , 0.212
 65.97, 16.42, 4.1, 0.95, 3.98, 4.53, , 0.228
 62.73, 12.79, 1.02, 0.62, 9.35, 1.87, , 0.216
 63.5, 17.96, 0.65, 1.57, 8.93, 0.38, , 0.217
 63.15, 15.25, 1.91, 0.12, 11.45, 1.87, , 0.214
 64.4, 16.46, 0.69, 1.63, 10.74, 0.41, , 0.207
 62.88, 15.08, 0.03, 3.14, 11.29, 1.83, , 0.222
 62.44, 17.34, 1.08, 1.66, 11.05, 0.39, , 0.22
 57.13, 21.2, 1.21, 0.04, 10.49, 3.5, , 0.219
 55.17, 21.14, 1.2, 0.04, 11.84, 4.2, , 0.21
 57.61, 18.48, , , 12.16, 1.37, , 0.21
 27.5, , , , 9.0, 2.0, , 0.265
 29.0, , , , , 6.0, , 0.232
 34.0, , , , 1.0, 3.0, , 0.263
 24.0, , , , 1.0, 10.5, , 0.231
 28.0, , , , , 8.0, , 0.269
 26.99, , , , , 10.07, , 0.244
 27.0, , , , , 6.0, , 0.244
 28.0, 1.0, , , , 6.0, , 0.25
 24.12, , , , , 13.07, , 0.278
 21.94, , , , , 14.29, , 0.257
 78.92, 2.14, , , 4.89, 0.76, , 0.2
 67.95, 3.18, , , 0.68, 7.18, , 0.206
 73.64, 2.57, 0.67, 9.18, 13.86, , , 0.207
 72.85, 2.51, 1.26, 9.58, 13.69, , , 0.204
 72.31, 2.58, 2.0, 9.72, 13.31, , , 0.211
 70.93, 2.59, 2.57, 9.73, 13.9, , 0.2, 0.214
 70.14, 2.58, 3.26, 9.62, 14.29, , , 0.217
 69.67, 2.64, 3.93, 9.74, 13.91, , , 0.213
 69.03, 2.5, 4.6, 9.84, 13.91, , , 0.214
 75.56, 2.46, 1.94, 6.75, 13.21, , , 0.197
 73.83, 2.53, 1.9, 7.7, 14.01, , , 0.199
 73.14, 2.61, 1.93, 8.69, 13.51, , , 0.201
 72.31, 2.58, 2.0, 9.72, 13.31, , , 0.211
 71.17, 2.57, 1.99, 10.69, 13.5, , , 0.213
 70.38, 2.53, 1.93, 11.48, 13.6, , , 0.217
 69.21, 2.59, 1.93, 12.49, 13.7, , , 0.207
 68.29, 2.52, 1.93, 13.43, 13.7, , , 0.213
 71.93, 2.13, 0.67, 11.3, 13.89, , , 0.211
 72.31, 2.58, 2.0, 9.72, 13.31, , , 0.211
 73.34, 2.02, 3.22, 7.72, 13.59, , , 0.207
 74.02, 2.01, 4.53, 5.86, 13.5, , , 0.199
 73.98, 2.11, 6.08, 3.92, 13.8, , , 0.205
 73.91, 2.19, 7.57, 1.94, 14.3, , , 0.203
 60.77, 9.6, 6.96, 0.09, 11.67, 5.91, , 0.22
 62.19, 18.91, 2.36, 0.04, 13.48, 0.01, , 0.216
 61.97, 18.82, 2.07, 0.05, 13.5, 0.04, , 0.202
 60.87, 19.82, 2.04, 0.04, 13.19, 0.04, , 0.213
 61.97, 18.81, 1.72, 0.42, 13.18, 0.01, , 0.223
 60.35, 19.66, 1.09, 0.03, 13.25, 0.01, , 0.216
 61.22, 19.57, 1.51, 0.04, 13.67, 0.01, , 0.215
 61.25, 19.69, 1.36, 0.03, 13.12, 0.01, , 0.225
 61.59, 19.48, 1.29, 0.03, 12.85, 0.01, , 0.223
 61.78, 19.53, 1.48, 0.03, 12.8, 0.01, , 0.221
 61.47, 19.53, 1.49, 0.03, 12.88, 0.01, , 0.217
 62.19, 18.91, 2.36, 0.04, 13.48, 0.01, , 0.216
 61.97, 18.82, 2.07, 0.05, 13.5, 0.04, , 0.202
 60.49, 19.75, 1.74, 0.41, 12.13, 1.36, , 0.209
 61.69, 18.71, 1.7, 0.42, 12.23, 1.35, , 0.203
 60.29, 19.68, 1.12, 0.41, 13.34, 0.01, , 0.205
 60.95, 19.27, 1.85, 0.1, 12.65, 0.95, , 0.212
 61.25, 19.69, 1.36, 0.03, 13.12, 0.01, , 0.225
 61.41, 19.63, 1.12, 0.05, 13.16, 0.04, , 0.207
 61.33, 19.62, 1.52, 0.03, 13.07, 0.01, , 0.224
 61.47, 19.53, 1.49, 0.03, 12.88, 0.01, , 0.217
 60.96, 18.36, , 3.22, 7.1, 6.17, , 0.2
 65.24, , , , , 17.8, , 0.221
 66.47, , , , , 18.14, , 0.223
 65.52, , , , 0.89, 16.53, , 0.222
 66.38, 3.04, , 2.21, , 18.61, , 0.21
 65.17, 2.98, , , , 18.26, , 0.215
 51.07, 23.31, 1.45, 0.03, 14.11, 0.05, , 0.236
 55.43, 21.74, 1.8, 0.04, 12.41, 0.04, , 0.192
 45.11, 20.86, 0.2, 2.78, 12.29, 0.58, , 0.278
 80.52, 2.53, , 0.02, 3.53, 0.64, , 0.18
 73.21, 1.45, 0.08, 10.28, 14.71, 0.009998, 0.009998, 0.203
 27.03, 0.3, , , 0.5, 1.27, , 0.2
 30.33, , , , , 1.5, , 0.211
 62.31, 11.27, 0.02, 1.84, 10.33, 3.71, , 0.237
 67.49, 16.57, 3.35, 1.88, 5.02, 1.52, , 0.214
 65.97, 16.42, 4.1, 0.95, 3.98, 4.53, , 0.228
 62.73, 12.79, 1.02, 0.62, 9.35, 1.87, , 0.216
 62.62, 11.54, 1.27, 2.83, 11.57, 0.36, , 0.23
 62.3, 14.91, 0.03, 2.19, 11.21, 1.81, , 0.217
 63.74, 16.33, 1.11, 0.96, 13.02, 0.4, , 0.214
 62.88, 15.08, 0.03, 3.14, 11.29, 1.83, , 0.222
 62.03, 18.1, 0.77, 1.67, 11.02, 0.39, , 0.214
 53.22, 12.33, 4.0, , 13.07, 5.4, , 0.23
 49.88, 15.37, 3.81, , 13.02, 5.73, , 0.231
 47.54, 18.25, 3.82, , 12.86, 5.8, , 0.238
 44.84, 21.16, 3.77, , 12.77, 6.0, , 0.238
 42.78, 24.01, 3.66, , 11.96, 6.19, , 0.238
 39.89, 26.25, 3.56, , 12.63, 5.99, , 0.244
 37.96, 28.77, 3.58, , 12.43, 5.8, , 0.25
 49.58, 23.96, 3.63, , 12.1, 6.41, , 0.231
 47.84, 23.89, 3.56, , 12.06, 6.39, , 0.232
 45.72, 23.92, 3.61, , 12.09, 6.49, , 0.238
 44.07, 23.77, 3.6, , 12.09, 6.36, , 0.241
 42.66, 23.92, 3.66, , 11.9, 6.22, , 0.245
 40.86, 23.95, 3.59, , 12.03, 6.05, , 0.247
 39.5, 23.94, 3.59, , 11.84, 5.9, , 0.251
 46.46, 23.9, 3.66, , 8.26, 6.2, , 0.242
 44.83, 24.02, 3.66, , 9.88, 6.2, , 0.246
 42.49, 23.84, 3.6, , 12.04, 6.33, , 0.246
 39.75, 24.12, 3.89, , 14.03, 6.32, , 0.245
 39.21, 23.73, 3.66, , 15.6, 5.78, , 0.247
 38.03, 24.19, 3.66, , 17.16, 5.65, , 0.248
 37.16, 24.65, 3.78, , 18.89, 5.11, , 0.248
 47.8, 23.94, 3.62, , 12.14, 1.26, , 0.241
 45.3, 23.96, 3.63, , 11.82, 3.77, , 0.242
 42.65, 23.97, 3.65, , 11.95, 6.19, , 0.244
 36.19, 25.51, 4.17, , 13.01, 8.81, , 0.249
 38.28, 23.9, 3.71, , 11.86, 10.44, , 0.246
 36.7, 23.71, 3.68, , 11.76, 12.63, , 0.255
 35.41, 23.92, 3.59, , 11.65, 14.51, , 0.253
 45.31, 23.72, 1.51, , 11.73, 6.26, , 0.241
 43.11, 23.44, 2.7, , 12.18, 6.72, , 0.243
 42.87, 24.14, 3.65, , 11.86, 6.19, , 0.241
 41.85, 24.27, 4.62, , 11.83, 6.08, , 0.241
 40.39, 24.56, 5.78, , 12.08, 5.98, , 0.245
 39.17, 24.73, 7.02, , 12.0, 5.89, , 0.248
 38.04, 24.93, 8.22, , 12.09, 5.65, , 0.248
 37.99, 32.23, , , , 29.78, , 0.236
 56.45, 21.03, 1.5, 0.04, 12.09, 0.04, , 0.189
 45.11, 20.86, 0.2, 2.78, 12.29, 0.58, , 0.278
 64.9, 20.07, 1.8, , 0.4, 0.07, , 0.25
 63.53, 14.98, 0.039, 0.07, 13.76, 0.5, , 0.213
 64.66, 14.38, 0.02, 0.06, 13.76, 0.5, , 0.211
 64.41, 14.95, 0.02, 0.06, 13.89, 0.52, , 0.221
 56.99, 19.12, 0.05, 0.06, 17.97, 0.26, , 0.218
 57.07, 18.8, 0.05, 0.05, 18.36, 0.26, , 0.238
 50.52, 21.09, 0.02, 0.13, 20.12, 0.98, , 0.238
 57.34, 19.1, 1.06, 0.05, 17.73, 0.25, , 0.227
 64.16, 14.77, 0.01, 0.03, 13.51, 0.2, , 0.217
 57.42, 18.59, 1.06, 0.05, 17.17, 0.26, , 0.221
 63.41, 13.96, 0.01, 0.06, 13.89, 1.49, , 0.216
 64.35, 14.0, 1.01, 0.06, 13.82, 0.51, , 0.211
 62.08, 15.57, 0.92, 0.04, 15.75, 0.06, , 0.223
 67.79, 13.01, 2.76, 0.04, 12.74, 0.1, , 0.208
 63.21, 13.45, 0.01, 0.02, 13.23, 0.94, , 0.223
 51.34, 20.22, 1.03, 0.13, 19.18, 0.97, , 0.24
 65.34, 13.89, 0.01, 0.06, 14.08, 0.26, , 0.199
 65.1, 13.93, 0.01, 0.06, 14.46, 0.01, , 0.213
 67.63, 13.22, 2.87, 0.04, 12.61, 0.1, , 0.203
 64.0, 14.65, 2.68, 0.03, 13.71, 0.21, , 0.223
 61.2, 16.86, 0.11, 0.02, 15.22, 1.42, , 0.231
 29.82, 4.82, , , , 4.45, , 0.2266
 26.4, 4.27, , , , 3.94, , 0.2827
 24.86, 4.02, , , , 3.71, , 0.2831
 23.42, 3.78, , , , 3.5, , 0.292
 20.79, 3.36, , , , 3.1, , 0.3054
 18.46, 2.98, , , , 2.76, , 0.3081
 17.39, 2.81, , , , 2.6, , 0.2408
 16.38, 2.65, , , , 2.45, , 0.2762
 64.0, 7.0, , , 6.0, 6.0, , 0.2
 70.0, 1.0, , 7.0, 8.0, 8.0, , 0.2
 61.0, 18.0, , 1.0, 10.0, 1.0, , 0.2
 68.69, 9.09, , 2.02, 5.05, 2.02, , 0.2
 70.0, 8.0, , , 3.0, 6.0, , 0.2
 67.0, 6.0, , , 5.0, 4.0, , 0.2
 60.0, 7.0, , , 8.0, 5.0, , 0.2
 57.2, 22.2, , 0.04, 12.39, 0.28, , 0.213
 57.52, 22.31, , 0.04, 12.46, 0.28, , 0.213
 57.78, 22.41, 0.6, 0.04, 12.51, 0.28, , 0.213
 57.69, 21.25, 0.006004, 0.05, 12.77, 0.72, , 0.213
 58.75, 23.01, 1.82, , 12.96, 0.14, , 0.213
 64.35, 17.58, 3.31, 9.7, 3.48, 0.99, , 0.228
 63.86, 17.18, 3.29, 9.67, 3.4, 0.97, , 0.234
 63.19, 16.99, 3.26, 9.51, 3.34, 0.96, , 0.234
 63.12, 16.64, 3.21, 9.34, 3.28, 0.95, , 0.231
 , , , , 7.43, 11.3, , 0.289
 , , , , 26.25, , 3.99, 0.277
 , , , , 27.24, , 7.82, 0.283
 , , , , 28.21, , 11.5, 0.291
 , , , , 29.13, , 15.06, 0.293
 , , , , 24.93, , 4.02, 0.282
 , , , , 27.24, , 7.82, 0.283
 , , , , 29.45, , 11.41, 0.295
 , , , , 31.51, , 14.81, 0.294
 , , , , , , 3.41, 0.299
 , , , , , , 7.01, 0.302
 , , , , , , 3.65, 0.301
 , , , , , , 5.55, 0.302
 , , , , , , 2.39, 0.3
 , , , , , , 4.03, 0.303
 72.2, 3.4, , , , 3.2, , 0.216
 72.2, 3.4, , , , 3.2, , 0.222
 72.2, 3.4, , , , 3.2, , 0.228
 58.71, 19.98, 0.93, 0.07, 12.22, 0.72, , 0.22
 59.05, 20.71, 1.55, 0.07, 10.96, 0.72, , 0.22
 44.2, 29.54, 0.59, 0.1, 17.03, 1.31, , 0.24
 57.69, 20.25, 1.22, 0.07, 13.57, 0.7, , 0.22
 58.17, 19.94, 0.62, 0.06, 12.88, 0.71, , 0.24
 58.7, 18.56, 1.25, 0.06, 12.98, 0.7, , 0.23
 57.94, 18.33, 0.006045, 0.05, 13.21, 0.71, , 0.22
 59.34, 20.79, 0.46, 0.03, 13.01, 0.14, , 0.22
 58.36, 21.36, 0.88, 0.05, 12.6, 0.71, , 0.2
 57.74, 22.48, 1.27, 0.03, 12.59, 0.28, , 0.22
 60.27, 21.06, 1.23, 0.02, 11.57, 0.28, , 0.21
 59.0, 21.53, 3.16, 0.04, 11.12, 0.14, , 0.23
 58.49, 22.77, 2.51, 0.03, 12.55, 0.28, , 0.23
 61.38, 20.8, 1.77, 0.03, 12.27, 0.01, , 0.22
 53.04, 24.8, 0.07, 0.02, 15.23, 0.1, , 0.22
 58.34, 21.34, 0.94, 0.06, 12.38, 0.4, , 0.21
 59.64, 20.47, 1.34, 0.03, 12.8, 0.1, , 0.22
 59.94, 19.84, 1.02, 0.03, 13.5, 0.1, , 0.21
 57.26, 22.9, 1.55, 0.03, 12.37, 0.01, , 0.22
 56.31, 23.3, 2.21, 0.03, 11.52, 0.01, , 0.22
 59.07, 21.51, 0.97, 0.03, 13.31, 0.01, , 0.21
 59.66, 21.45, 0.36, 0.03, 12.38, 0.01, , 0.22
 58.56, 22.89, 1.0, 0.03, 12.4, 0.01, , 0.22
 60.82, 21.51, 0.98, 0.03, 11.57, 0.01, , 0.21
 60.3, 21.0, 1.21, 0.03, 12.47, 0.03, , 0.21
 59.57, 20.58, 1.49, 0.03, 13.03, 0.01, , 0.22
 48.46, 18.92, 0.01, 0.02, 17.41, 0.05, , 0.221
 49.8, 18.56, 0.01, 0.02, 17.4, 0.48, , 0.216
 49.25, 18.74, 0.01, 0.02, 17.15, 1.35, , 0.218
 53.16, 18.83, 0.47, 0.02, 17.1, 0.04, , 0.21
 48.51, 19.64, 0.01, 0.02, 16.67, 0.05, , 0.22
 51.77, 16.83, 0.01, 0.02, 17.7, 1.65, , 0.222
 51.35, 17.49, 0.01, 0.02, 17.6, 0.52, , 0.218
 51.03, 17.58, 0.01, 0.02, 17.61, 1.14, , 0.221
 50.11, 17.58, 0.01, 0.02, 17.43, 1.98, , 0.224
 58.41, 16.73, 0.01, 0.03, 17.93, 0.37, , 0.223
 58.16, 16.8, 0.005977, 0.02, 17.69, 0.92, , 0.212
 58.56, 16.84, 0.01, 0.03, 17.66, 0.73, , 0.222
 71.29, 13.16, 3.96, 8.31, 1.76, 0.83, 0.69, 0.22
 57.44, 18.94, , 0.02, 11.51, 1.41, , 0.214
 59.33, 18.08, , , 10.71, 1.84, , 0.212
 59.19, 18.04, 0.01, 0.03, 10.22, 1.96, , 0.222
 59.55, 16.45, 0.01, 0.04, 10.75, 1.96, , 0.216
 57.46, 20.09, 1.14, 0.04, 11.28, 3.98, , 0.217
 56.32, 20.58, 1.17, 0.04, 11.59, 4.09, , 0.217
 57.47, 19.8, 1.21, 0.04, 11.48, 3.52, , 0.208
 60.5, 20.84, 1.46, 0.03, 12.73, 0.01, , 0.219
 58.76, 22.19, 1.45, 0.04, 12.69, 0.01, , 0.209
 56.98, 23.59, 1.45, 0.03, 12.67, 0.03, , 0.214
 57.9, 23.11, 1.47, 0.03, 12.14, 0.03, , 0.215
 60.08, 21.72, 1.49, 0.03, 11.24, 0.03, , 0.213
 62.05, 20.35, 1.51, 0.03, 10.4, 0.03, , 0.214
 49.89, 19.47, , , 13.18, 2.47, , 0.21
 49.76, 19.47, , , 12.31, 3.68, , 0.216
 49.6, 19.45, , , 11.43, 4.88, , 0.212
 46.52, 23.27, , , 12.99, 2.44, , 0.212
 46.43, 23.15, , , 12.14, 3.64, , 0.219
 46.05, 23.05, , , 11.3, 4.84, , 0.201
 51.98, 16.88, 0.005534, , 11.59, 4.91, , 0.211
 54.37, 14.25, 0.005601, , 11.7, 4.95, , 0.208
 54.52, 15.81, 0.005628, , 11.75, 5.02, , 0.21
 52.06, 18.4, 0.01, , 11.66, 4.99, , 0.208
 52.49, 17.11, 0.01, , 12.56, 4.99, , 0.211
 52.29, 15.6, 0.005564, , 12.48, 4.9, , 0.209
 53.17, 18.31, 0.005606, , 11.8, 5.07, , 0.21
 52.02, 19.58, 0.005573, , 11.73, 5.07, , 0.21
 52.4, 18.38, 0.005607, , 12.63, 5.06, , 0.21225
